iso3,year,variable,old_value,new_value,reason,evidence
CHE,2010,irregular_proxy_detections,12630.0,12020.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
CHE,2011,irregular_proxy_detections,14170.0,12630.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
CHE,2012,irregular_proxy_detections,15045.0,14170.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
CHE,2013,irregular_proxy_detections,13800.0,15045.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
CHE,2014,irregular_proxy_detections,15555.0,13800.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
CHE,2015,irregular_proxy_detections,15765.0,15555.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
CHE,2016,irregular_proxy_detections,13940.0,15765.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
CHE,2017,irregular_proxy_detections,14420.0,13940.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
CHE,2018,irregular_proxy_detections,13885.0,14420.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
CHE,2019,irregular_proxy_detections,11020.0,13885.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
CHE,2020,irregular_proxy_detections,12175.0,11020.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
CHE,2021,irregular_proxy_detections,15130.0,12175.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
CHE,2022,irregular_proxy_detections,19280.0,15130.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
PRT,2010,irregular_proxy_detections,9230.0,10085.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
PRT,2011,irregular_proxy_detections,9110.0,9230.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
