iso3,country,variable,n_years,coverage,years,modal_grade,sources,usable_for_trend,comparability
AUS,Australia,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
AUS,Australia,foreign_born,13,13/13,2010-2022,A,OECD International Migration Database (stocks of foreign-bor,YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
AUS,Australia,foreign_nationals,0,0/13,,,,NO - no data,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
AUS,Australia,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
AUS,Australia,irregular_proxy_overstayers,3,3/13,2010-2016,C,"ANU Press, A Long Way to Go, Chapter 2, Table 2.3 Estimated  | Australian Department of Immigration and Border Protection, ",NO - too few years for a trend (use as a level only),NOT comparable across countries. Administrative register counts that capture only recorded overstays.
AUS,Australia,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
AUT,Austria,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
AUT,Austria,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
AUT,Austria,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
AUT,Austria,irregular_stock,1,1/13,2017-2017,C,"Pew Research Center (2019), Europe's Unauthorized Immigrant ",NO - too few years for a trend (use as a level only),"NOT comparable across countries. Different estimation methods, different years, different definitions."
AUT,Austria,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
AUT,Austria,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
BEL,Belgium,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
BEL,Belgium,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
BEL,Belgium,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
BEL,Belgium,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
BEL,Belgium,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
BEL,Belgium,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
BGR,Bulgaria,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
BGR,Bulgaria,foreign_born,12,12/13,2011-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
BGR,Bulgaria,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
BGR,Bulgaria,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
BGR,Bulgaria,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
BGR,Bulgaria,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
CHE,Switzerland,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
CHE,Switzerland,foreign_born,12,12/13,2011-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
