iso3,country,variable,n_values,years,evidence_page,pdf_extract,artifacts
AUS,Australia,population,13,2010-2022,evidence-pages/AUS__population.html,evidence/extracts/AUS/population.pdf,3
AUS,Australia,foreign_born,13,2010-2022,evidence-pages/AUS__foreign_born.html,evidence/extracts/AUS/foreign_born.pdf,4
AUS,Australia,irregular_proxy_overstayers,3,2010-2016,evidence-pages/AUS__irregular_proxy_overstayers.html,evidence/extracts/AUS/irregular_proxy_overstayers.pdf,4
AUT,Austria,population,13,2010-2022,evidence-pages/AUT__population.html,evidence/extracts/AUT/population.pdf,3
AUT,Austria,foreign_born,13,2010-2022,evidence-pages/AUT__foreign_born.html,evidence/extracts/AUT/foreign_born.pdf,3
AUT,Austria,foreign_nationals,13,2010-2022,evidence-pages/AUT__foreign_nationals.html,evidence/extracts/AUT/foreign_nationals.pdf,3
AUT,Austria,irregular_stock,1,2017-2017,evidence-pages/AUT__irregular_stock.html,evidence/extracts/AUT/irregular_stock.pdf,3
AUT,Austria,irregular_proxy_detections,13,2010-2022,evidence-pages/AUT__irregular_proxy_detections.html,evidence/extracts/AUT/irregular_proxy_detections.pdf,3
BEL,Belgium,population,13,2010-2022,evidence-pages/BEL__population.html,evidence/extracts/BEL/population.pdf,3
BEL,Belgium,foreign_born,13,2010-2022,evidence-pages/BEL__foreign_born.html,evidence/extracts/BEL/foreign_born.pdf,3
BEL,Belgium,foreign_nationals,13,2010-2022,evidence-pages/BEL__foreign_nationals.html,evidence/extracts/BEL/foreign_nationals.pdf,3
BEL,Belgium,irregular_proxy_detections,13,2010-2022,evidence-pages/BEL__irregular_proxy_detections.html,evidence/extracts/BEL/irregular_proxy_detections.pdf,3
BGR,Bulgaria,population,13,2010-2022,evidence-pages/BGR__population.html,evidence/extracts/BGR/population.pdf,3
BGR,Bulgaria,foreign_born,12,2011-2022,evidence-pages/BGR__foreign_born.html,evidence/extracts/BGR/foreign_born.pdf,3
BGR,Bulgaria,foreign_nationals,13,2010-2022,evidence-pages/BGR__foreign_nationals.html,evidence/extracts/BGR/foreign_nationals.pdf,3
BGR,Bulgaria,irregular_proxy_detections,13,2010-2022,evidence-pages/BGR__irregular_proxy_detections.html,evidence/extracts/BGR/irregular_proxy_detections.pdf,3
CHE,Switzerland,population,13,2010-2022,evidence-pages/CHE__population.html,evidence/extracts/CHE/population.pdf,3
CHE,Switzerland,foreign_born,12,2011-2022,evidence-pages/CHE__foreign_born.html,evidence/extracts/CHE/foreign_born.pdf,3
CHE,Switzerland,foreign_nationals,13,2010-2022,evidence-pages/CHE__foreign_nationals.html,evidence/extracts/CHE/foreign_nationals.pdf,3
CHE,Switzerland,irregular_stock,2,2015-2017,evidence-pages/CHE__irregular_stock.html,evidence/extracts/CHE/irregular_stock.pdf,4
CHE,Switzerland,irregular_proxy_detections,13,2010-2022,evidence-pages/CHE__irregular_proxy_detections.html,evidence/extracts/CHE/irregular_proxy_detections.pdf,3
CHL,Chile,population,13,2010-2022,evidence-pages/CHL__population.html,evidence/extracts/CHL/population.pdf,3
CHL,Chile,foreign_born,11,2010-2022,evidence-pages/CHL__foreign_born.html,evidence/extracts/CHL/foreign_born.pdf,5
CHL,Chile,foreign_nationals,6,2017-2022,evidence-pages/CHL__foreign_nationals.html,evidence/extracts/CHL/foreign_nationals.pdf,5
CHL,Chile,irregular_stock,5,2018-2022,evidence-pages/CHL__irregular_stock.html,evidence/extracts/CHL/irregular_stock.pdf,1
CHN,China,population,13,2010-2022,evidence-pages/CHN__population.html,evidence/extracts/CHN/population.pdf,3
CHN,China,foreign_born,3,2010-2020,evidence-pages/CHN__foreign_born.html,evidence/extracts/CHN/foreign_born.pdf,3
CHN,China,foreign_nationals,2,2010-2020,evidence-pages/CHN__foreign_nationals.html,evidence/extracts/CHN/foreign_nationals.pdf,6
CZE,Czech Republic,population,13,2010-2022,evidence-pages/CZE__population.html,evidence/extracts/CZE/population.pdf,3
CZE,Czech Republic,foreign_born,13,2010-2022,evidence-pages/CZE__foreign_born.html,evidence/extracts/CZE/foreign_born.pdf,3
CZE,Czech Republic,foreign_nationals,13,2010-2022,evidence-pages/CZE__foreign_nationals.html,evidence/extracts/CZE/foreign_nationals.pdf,3
CZE,Czech Republic,irregular_stock,1,2017-2017,evidence-pages/CZE__irregular_stock.html,evidence/extracts/CZE/irregular_stock.pdf,3
CZE,Czech Republic,irregular_proxy_detections,13,2010-2022,evidence-pages/CZE__irregular_proxy_detections.html,evidence/extracts/CZE/irregular_proxy_detections.pdf,3
DEU,Germany,population,13,2010-2022,evidence-pages/DEU__population.html,evidence/extracts/DEU/population.pdf,3
DEU,Germany,foreign_born,13,2010-2022,evidence-pages/DEU__foreign_born.html,evidence/extracts/DEU/foreign_born.pdf,3
DEU,Germany,foreign_nationals,13,2010-2022,evidence-pages/DEU__foreign_nationals.html,evidence/extracts/DEU/foreign_nationals.pdf,3
DEU,Germany,irregular_stock,4,2014-2017,evidence-pages/DEU__irregular_stock.html,evidence/extracts/DEU/irregular_stock.pdf,3
DEU,Germany,irregular_proxy_detections,13,2010-2022,evidence-pages/DEU__irregular_proxy_detections.html,evidence/extracts/DEU/irregular_proxy_detections.pdf,3
DNK,Denmark,population,13,2010-2022,evidence-pages/DNK__population.html,evidence/extracts/DNK/population.pdf,3
DNK,Denmark,foreign_born,13,2010-2022,evidence-pages/DNK__foreign_born.html,evidence/extracts/DNK/foreign_born.pdf,3
DNK,Denmark,foreign_nationals,13,2010-2022,evidence-pages/DNK__foreign_nationals.html,evidence/extracts/DNK/foreign_nationals.pdf,3
DNK,Denmark,irregular_proxy_detections,13,2010-2022,evidence-pages/DNK__irregular_proxy_detections.html,evidence/extracts/DNK/irregular_proxy_detections.pdf,3
ESP,Spain,population,13,2010-2022,evidence-pages/ESP__population.html,evidence/extracts/ESP/population.pdf,3
ESP,Spain,foreign_born,13,2010-2022,evidence-pages/ESP__foreign_born.html,evidence/extracts/ESP/foreign_born.pdf,3
ESP,Spain,foreign_nationals,13,2010-2022,evidence-pages/ESP__foreign_nationals.html,evidence/extracts/ESP/foreign_nationals.pdf,3
