source,verified_on,n,exact,rate,earlier_date,earlier_n,earlier_exact,earlier_rate
S1 UN WPP2024,2026-08-17,520,520,100.0,,,,
World Bank SP.POP.TOTL,2026-08-17,507,507,100.0,,,,
Eurostat migr_pop1ctz,2026-08-17,293,293,100.0,,,,
Eurostat migr_pop3ctb,2026-08-17,291,291,100.0,,,,
Eurostat migr_eipre,2026-08-18,283,283,100.0,2026-08-17,283,244,86.2
S3 Eurostat migr_eipre,2026-08-17,274,274,100.0,,,,
S2 UN DESA IMS2024,2026-08-17,120,120,100.0,,,,
World Bank SM.POP.TOTL,2026-08-17,27,27,100.0,,,,
OECD IMD AUS_B14,2026-08-17,13,13,100.0,,,,
OECD IMD TUR_B15,2026-08-17,13,13,100.0,,,,
OECD IMD ISR_B14,2026-08-17,13,13,100.0,,,,
OECD IMD KOR_B15,2026-08-17,13,13,100.0,,,,
OECD IMD JPN_B15,2026-08-17,13,13,100.0,,,,
OECD IMD USA_B14,2026-08-17,13,13,100.0,,,,
OECD IMD USA_B15,2026-08-17,13,13,100.0,,,,
OECD IMD MEX_B15,2026-08-17,12,12,100.0,,,,
OECD IMD CHL_B14,2026-08-17,11,11,100.0,,,,
OECD IMD TUR_B14,2026-08-17,9,9,100.0,,,,
OECD IMD MEX_B14,2026-08-17,8,8,100.0,,,,
OECD IMD CHL_B15,2026-08-17,6,6,100.0,,,,
OECD IMD NZL_B14,2026-08-17,2,2,100.0,,,,
