iso3,variable,years,n_obs,from_workbook,source_name,source_url,retrieval,local_file,note,outcome,superseded_source_name,superseded_source_url
AUS,foreign_born,2010-2020,3,FILE1,"UN DESA Population Division, International Migrant Stock 2024: Total destination, Table 1",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2024_ims_stock_by_sex_and_destination.xlsx,VERIFIED_API,data_raw/,Re-queried live and compared value by value on 2026-08-17,VERIFIED_API,,
AUS,foreign_born,2010-2022,13,FILE2,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",VERIFIED_API,data_raw/,Re-queried live and compared value by value on 2026-08-17,VERIFIED_API,,
AUS,irregular,2011-2011,1,FILE1,"Australian Department of Immigration and Citizenship, Trends in Migration: Australia 2010–11, Table 11",https://www.homeaffairs.gov.au/research-and-stats/files/trends-in-migration-2010-11.pdf,ARCHIVED,irregular__4ff1da10a5__www.homeaffairs.gov.au.pdf,,DOWNLOADED,,
AUS,irregular,2015-2016,2,FILE1,"Australian Department of Immigration and Border Protection, Annual Report 2015–16",https://www.homeaffairs.gov.au/reports-and-pubs/Annualreports/dibp-annual-report-2015-16.pdf,ARCHIVED,irregular__9fcb57f01c__www.homeaffairs.gov.au.pdf,,DOWNLOADED,,
AUS,irregular_proxy_overstayers,2010-2011,2,FILE2,"ANU Press, A Long Way to Go, Chapter 2, Table 2.3 Estimated size of irregular migrant populations by region/country",https://press-files.anu.edu.au/downloads/press/n4016/html/ch02.xhtml,ARCHIVED,irregular_proxy_overstayers__6b569b4ed3__press-files.anu.edu.au.html,,DOWNLOADED,,
AUS,irregular_proxy_overstayers,2016-2016,1,FILE2,"Australian Department of Immigration and Border Protection, Senate Legal and Constitutional Affairs Committee, Budget Estimates Question on Notice BE17171",https://www.aph.gov.au/~/media/Committees/legcon_ctte/estimates/bud_1718/DIBP/QoNs/BE17171.pdf,ARCHIVED,irregular_proxy_overstayers__f49a534fbe__www.aph.gov.au.pdf,,DOWNLOADED,,
AUS,population,2010-2022,13,FILE1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,VERIFIED_API,data_raw/,Re-queried live and compared value by value on 2026-08-17,VERIFIED_API,,
AUS,population,2010-2022,13,FILE2,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,VERIFIED_API,data_raw/,Re-queried live and compared value by value on 2026-08-17,VERIFIED_API,,
AUT,foreign_born,2010-2020,3,FILE1,"UN DESA Population Division, International Migrant Stock 2024: Total destination, Table 1",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2024_ims_stock_by_sex_and_destination.xlsx,VERIFIED_API,data_raw/,Re-queried live and compared value by value on 2026-08-17,VERIFIED_API,,
AUT,foreign_born,2010-2022,13,FILE2,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=AT&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,VERIFIED_API,data_raw/,Re-queried live and compared value by value on 2026-08-17,VERIFIED_API,,
AUT,foreign_nationals,2010-2022,13,FILE2,Eurostat [migr_pop1ctz],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&geo=AT&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,VERIFIED_API,data_raw/,Re-queried live and compared value by value on 2026-08-17,VERIFIED_API,,
AUT,irregular,2010-2022,13,FILE1,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=AT&lang=en,VERIFIED_API,data_raw/,Re-queried live and compared value by value on 2026-08-17,VERIFIED_API,,
AUT,irregular_proxy_detections,2010-2022,13,FILE2,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,VERIFIED_API,data_raw/,Re-queried live and compared value by value on 2026-08-17,VERIFIED_API,,
AUT,irregular_stock,2014-2017,1,TRACED,"Pew Research Center (2019), Appendix B: unauthorized immigrant population trends WITH waiting asylum seekers, by country",https://www.pewresearch.org/global/2019/11/13/eu-unauthorized-immigrants-appendix-b-unauthorized-immigrant-population-trends-with-waiting-asylum-seekers-by-country/,ARCHIVED,irregular_stock__Pew2019_AppendixB_published_ranges.pdf,The published range table. Panel values are midpoints of these ranges and are flagged as derived.,DOWNLOADED,,
