iso3,variable,source_url,pdf_mirror,png_screenshot,pdf_bytes,png_bytes,captured,snapshot_status,archived_html,note
AUS,irregular_proxy_overstayers,https://press-files.anu.edu.au/downloads/press/n4016/html/ch02.xhtml,SNAPSHOT__irregular_proxy_overstayer__press-files.anu.edu.au_downloads_press_n4016_h.pdf,SNAPSHOT__irregular_proxy_overstayer__press-files.anu.edu.au_downloads_press_n4016_h.png,448737,562577,2026-08-17,live_render_verified,irregular_proxy_overstayers__6b569b4ed3__press-files.anu.edu.au.html,
AUT,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.pdf,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.png,904196,567620,2026-08-17,live_render_verified,irregular_stock__dccd321871__www.pewresearch.org.html,
CHE,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.pdf,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.png,904196,567620,2026-08-17,live_render_verified,irregular_stock__dccd321871__www.pewresearch.org.html,
CHL,irregular_stock,https://www.ine.gob.cl/sala-de-prensa/prensa/general/noticia/2023/12/29/poblaci%C3%B3n-extranjera-residente-en-chile-super%C3%B3-los-1-6-millones-de-personas-en-2022-con-un-6-6-de-ellas-en-situaci%C3%B3n-irregular,SNAPSHOT__irregular_stock__www.ine.gob.cl_sala-de-prensa_prensa_general_n.pdf,SNAPSHOT__irregular_stock__www.ine.gob.cl_sala-de-prensa_prensa_general_n.png,233935,991877,2026-08-17,live_render_verified,irregular_stock__84522ec4c7__www.ine.gob.cl.html,
CHN,foreign_nationals,https://www.stats.gov.cn/english/NewsEvents/201104/t20110429_26451.html,SNAPSHOT__foreign_nationals__www.stats.gov.cn_english_NewsEvents_201104_t20.pdf,SNAPSHOT__foreign_nationals__www.stats.gov.cn_english_NewsEvents_201104_t20.png,236877,290607,2026-08-17,live_render_verified,foreign_nationals__06858e32fc__www.stats.gov.cn.html,
CHN,foreign_nationals,https://www.stats.gov.cn/english/PressRelease/202105/t20210510_1817193.html,SNAPSHOT__foreign_nationals__www.stats.gov.cn_english_PressRelease_202105_t.pdf,SNAPSHOT__foreign_nationals__www.stats.gov.cn_english_PressRelease_202105_t.png,233546,271773,2026-08-17,live_render_verified,foreign_nationals__0bdd1c303b__www.stats.gov.cn.html,
CZE,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.pdf,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.png,904196,567620,2026-08-17,live_render_verified,irregular_stock__dccd321871__www.pewresearch.org.html,
DEU,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.pdf,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.png,904196,567620,2026-08-17,live_render_verified,irregular_stock__dccd321871__www.pewresearch.org.html,
DEU,irregular_stock,https://www.bpb.de/themen/migration-integration/regionalprofile/deutschland/256275/irregulaere-migration-in-deutschland/,SNAPSHOT__irregular_stock__www.bpb.de_themen_migration-integration_region.pdf,SNAPSHOT__irregular_stock__www.bpb.de_themen_migration-integration_region.png,218188,1692225,2026-08-17,live_render_verified,irregular_stock__f2d4f3db84__www.bpb.de.html,
ESP,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.pdf,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.png,904196,567620,2026-08-17,live_render_verified,irregular_stock__dccd321871__www.pewresearch.org.html,
