workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Austria,AUT,2010,foreign_born,S2 UN DESA IMS2024,1285706.0,1285706.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2010,foreign_born,Eurostat migr_pop3ctb,1274901.0,1274901.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2011,foreign_born,Eurostat migr_pop3ctb,1294224.0,1294224.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2012,foreign_born,Eurostat migr_pop3ctb,1322656.0,1322656.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2013,foreign_born,Eurostat migr_pop3ctb,1364003.0,1364003.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2014,foreign_born,Eurostat migr_pop3ctb,1414215.0,1414215.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2015,foreign_born,S2 UN DESA IMS2024,1540486.0,1540486.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2015,foreign_born,Eurostat migr_pop3ctb,1483123.0,1483123.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2016,foreign_born,Eurostat migr_pop3ctb,1588209.0,1588209.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2017,foreign_born,Eurostat migr_pop3ctb,1649008.0,1649008.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2018,foreign_born,Eurostat migr_pop3ctb,1690619.0,1690619.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2019,foreign_born,Eurostat migr_pop3ctb,1722833.0,1722833.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2020,foreign_born,S2 UN DESA IMS2024,1781046.0,1781046.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2020,foreign_born,Eurostat migr_pop3ctb,1760595.0,1760595.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2021,foreign_born,Eurostat migr_pop3ctb,1792053.0,1792053.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2022,foreign_born,Eurostat migr_pop3ctb,1834342.0,1834342.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2010,foreign_nationals,Eurostat migr_pop1ctz,879102.0,879102.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2011,foreign_nationals,Eurostat migr_pop1ctz,908591.0,908591.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2012,foreign_nationals,Eurostat migr_pop1ctz,946610.0,946610.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2013,foreign_nationals,Eurostat migr_pop1ctz,999095.0,999095.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2014,foreign_nationals,Eurostat migr_pop1ctz,1060446.0,1060446.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2015,foreign_nationals,Eurostat migr_pop1ctz,1139736.0,1139736.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2016,foreign_nationals,Eurostat migr_pop1ctz,1260188.0,1260188.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2017,foreign_nationals,Eurostat migr_pop1ctz,1333239.0,1333239.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2018,foreign_nationals,Eurostat migr_pop1ctz,1385823.0,1385823.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2019,foreign_nationals,Eurostat migr_pop1ctz,1427105.0,1427105.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2020,foreign_nationals,Eurostat migr_pop1ctz,1473453.0,1473453.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2021,foreign_nationals,Eurostat migr_pop1ctz,1517372.0,1517372.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2022,foreign_nationals,Eurostat migr_pop1ctz,1572316.0,1572316.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2010,irregular_detections,S3 Eurostat migr_eipre,15220.0,15220.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2010,irregular_detections,Eurostat migr_eipre,15220.0,15220.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2011,irregular_detections,S3 Eurostat migr_eipre,20080.0,20080.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2011,irregular_detections,Eurostat migr_eipre,20080.0,20080.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2012,irregular_detections,S3 Eurostat migr_eipre,23135.0,23135.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2012,irregular_detections,Eurostat migr_eipre,23135.0,23135.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2013,irregular_detections,S3 Eurostat migr_eipre,25960.0,25960.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2013,irregular_detections,Eurostat migr_eipre,25960.0,25960.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2014,irregular_detections,S3 Eurostat migr_eipre,33055.0,33055.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2014,irregular_detections,Eurostat migr_eipre,33055.0,33055.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2015,irregular_detections,S3 Eurostat migr_eipre,86220.0,86220.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2015,irregular_detections,Eurostat migr_eipre,86220.0,86220.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2016,irregular_detections,S3 Eurostat migr_eipre,49810.0,49810.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2016,irregular_detections,Eurostat migr_eipre,49810.0,49810.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2017,irregular_detections,S3 Eurostat migr_eipre,26660.0,26660.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2017,irregular_detections,Eurostat migr_eipre,26660.0,26660.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2018,irregular_detections,S3 Eurostat migr_eipre,18840.0,18840.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2018,irregular_detections,Eurostat migr_eipre,18840.0,18840.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2019,irregular_detections,S3 Eurostat migr_eipre,16090.0,16090.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2019,irregular_detections,Eurostat migr_eipre,16090.0,16090.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2020,irregular_detections,S3 Eurostat migr_eipre,18715.0,18715.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2020,irregular_detections,Eurostat migr_eipre,18715.0,18715.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2021,irregular_detections,S3 Eurostat migr_eipre,38410.0,38410.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2021,irregular_detections,Eurostat migr_eipre,38410.0,38410.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2022,irregular_detections,S3 Eurostat migr_eipre,105545.0,105545.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2022,irregular_detections,Eurostat migr_eipre,105545.0,105545.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2010,population,S1 UN WPP2024,8365092.0,8365092.000000001,-9.313225746154783e-10,-1.1133440906752472e-14,EXACT,
FILE2,Austria,AUT,2010,population,World Bank SP.POP.TOTL,8363404.0,8363404.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2011,population,S1 UN WPP2024,8393270.0,8393270.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2011,population,World Bank SP.POP.TOTL,8391643.0,8391643.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2012,population,S1 UN WPP2024,8431601.0,8431601.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2012,population,World Bank SP.POP.TOTL,8429991.0,8429991.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2013,population,S1 UN WPP2024,8481406.0,8481406.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2013,population,World Bank SP.POP.TOTL,8479823.0,8479823.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2014,population,S1 UN WPP2024,8547817.0,8547817.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2014,population,World Bank SP.POP.TOTL,8546356.0,8546356.0,0.0,0.0,EXACT,
FILE1,Austria,AUT,2015,population,S1 UN WPP2024,8644039.0,8644039.0,0.0,0.0,EXACT,
FILE2,Austria,AUT,2015,population,World Bank SP.POP.TOTL,8642699.0,8642699.0,0.0,0.0,EXACT,
