workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Belgium,BEL,2010,foreign_born,S2 UN DESA IMS2024,1567639.0,1567639.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2010,foreign_born,Eurostat migr_pop3ctb,1503806.0,1503806.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2011,foreign_born,Eurostat migr_pop3ctb,1628793.0,1628793.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2012,foreign_born,Eurostat migr_pop3ctb,1677737.0,1677737.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2013,foreign_born,Eurostat migr_pop3ctb,1722265.0,1722265.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2014,foreign_born,Eurostat migr_pop3ctb,1748748.0,1748748.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2015,foreign_born,S2 UN DESA IMS2024,1814949.0,1814949.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2015,foreign_born,Eurostat migr_pop3ctb,1783488.0,1783488.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2016,foreign_born,Eurostat migr_pop3ctb,1845631.0,1845631.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2017,foreign_born,Eurostat migr_pop3ctb,1876726.0,1876726.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2018,foreign_born,Eurostat migr_pop3ctb,1916272.0,1916272.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2019,foreign_born,Eurostat migr_pop3ctb,1968060.0,1968060.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2020,foreign_born,S2 UN DESA IMS2024,2046975.0,2046975.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2020,foreign_born,Eurostat migr_pop3ctb,2027763.0,2027763.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2021,foreign_born,Eurostat migr_pop3ctb,2065727.0,2065727.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2022,foreign_born,Eurostat migr_pop3ctb,2119691.0,2119691.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2010,foreign_nationals,Eurostat migr_pop1ctz,1052844.0,1052844.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2011,foreign_nationals,Eurostat migr_pop1ctz,1162608.0,1162608.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2012,foreign_nationals,Eurostat migr_pop1ctz,1197598.0,1197598.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2013,foreign_nationals,Eurostat migr_pop1ctz,1222741.0,1222741.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2014,foreign_nationals,Eurostat migr_pop1ctz,1237696.0,1237696.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2015,foreign_nationals,Eurostat migr_pop1ctz,1272751.0,1272751.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2016,foreign_nationals,Eurostat migr_pop1ctz,1327421.0,1327421.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2017,foreign_nationals,Eurostat migr_pop1ctz,1346358.0,1346358.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2018,foreign_nationals,Eurostat migr_pop1ctz,1366070.0,1366070.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2019,foreign_nationals,Eurostat migr_pop1ctz,1400238.0,1400238.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2020,foreign_nationals,Eurostat migr_pop1ctz,1437580.0,1437580.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2021,foreign_nationals,Eurostat migr_pop1ctz,1454039.0,1454039.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2022,foreign_nationals,Eurostat migr_pop1ctz,1488896.0,1488896.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2010,irregular_detections,S3 Eurostat migr_eipre,12115.0,12115.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2010,irregular_detections,Eurostat migr_eipre,12115.0,12115.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2011,irregular_detections,S3 Eurostat migr_eipre,13550.0,13550.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2011,irregular_detections,Eurostat migr_eipre,13550.0,13550.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2012,irregular_detections,S3 Eurostat migr_eipre,15085.0,15085.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2012,irregular_detections,Eurostat migr_eipre,15085.0,15085.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2013,irregular_detections,S3 Eurostat migr_eipre,15075.0,15075.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2013,irregular_detections,Eurostat migr_eipre,15075.0,15075.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2014,irregular_detections,S3 Eurostat migr_eipre,15540.0,15540.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2014,irregular_detections,Eurostat migr_eipre,15540.0,15540.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2015,irregular_detections,S3 Eurostat migr_eipre,16275.0,16275.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2015,irregular_detections,Eurostat migr_eipre,16275.0,16275.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2016,irregular_detections,S3 Eurostat migr_eipre,19320.0,19320.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2016,irregular_detections,Eurostat migr_eipre,19320.0,19320.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2017,irregular_detections,S3 Eurostat migr_eipre,18285.0,18285.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2017,irregular_detections,Eurostat migr_eipre,18285.0,18285.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2018,irregular_detections,S3 Eurostat migr_eipre,19145.0,19145.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2018,irregular_detections,Eurostat migr_eipre,19145.0,19145.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2019,irregular_detections,S3 Eurostat migr_eipre,17585.0,17585.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2019,irregular_detections,Eurostat migr_eipre,17585.0,17585.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2020,irregular_detections,S3 Eurostat migr_eipre,11495.0,11495.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2020,irregular_detections,Eurostat migr_eipre,11495.0,11495.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2021,irregular_detections,S3 Eurostat migr_eipre,10885.0,10885.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2021,irregular_detections,Eurostat migr_eipre,10885.0,10885.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2022,irregular_detections,S3 Eurostat migr_eipre,10965.0,10965.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2022,irregular_detections,Eurostat migr_eipre,10965.0,10965.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2010,population,S1 UN WPP2024,10936626.0,10936626.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2010,population,World Bank SP.POP.TOTL,10895586.0,10895586.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2011,population,S1 UN WPP2024,11038631.0,11038631.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2011,population,World Bank SP.POP.TOTL,11038264.0,11038264.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2012,population,S1 UN WPP2024,11107518.0,11107518.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2012,population,World Bank SP.POP.TOTL,11106932.0,11106932.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2013,population,S1 UN WPP2024,11160276.0,11160276.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2013,population,World Bank SP.POP.TOTL,11159407.0,11159407.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2014,population,S1 UN WPP2024,11210119.0,11210119.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2014,population,World Bank SP.POP.TOTL,11209057.0,11209057.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2015,population,S1 UN WPP2024,11275335.0,11275335.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2015,population,World Bank SP.POP.TOTL,11274196.0,11274196.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2016,population,S1 UN WPP2024,11332701.0,11332701.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2016,population,World Bank SP.POP.TOTL,11331422.0,11331422.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2017,population,S1 UN WPP2024,11376581.0,11376581.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2017,population,World Bank SP.POP.TOTL,11375158.0,11375158.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2018,population,S1 UN WPP2024,11428605.0,11428605.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2018,population,World Bank SP.POP.TOTL,11427054.0,11427054.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2019,population,S1 UN WPP2024,11490618.0,11490618.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2019,population,World Bank SP.POP.TOTL,11488980.0,11488980.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2020,population,S1 UN WPP2024,11540107.0,11540107.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2020,population,World Bank SP.POP.TOTL,11538604.0,11538604.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2021,population,S1 UN WPP2024,11570844.0,11570844.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2021,population,World Bank SP.POP.TOTL,11586195.0,11586195.0,0.0,0.0,EXACT,
FILE1,Belgium,BEL,2022,population,S1 UN WPP2024,11641820.0,11641820.0,0.0,0.0,EXACT,
FILE2,Belgium,BEL,2022,population,World Bank SP.POP.TOTL,11680210.0,11680210.0,0.0,0.0,EXACT,
