workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Bulgaria,BGR,2010,foreign_born,S2 UN DESA IMS2024,76287.0,76287.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2011,foreign_born,Eurostat migr_pop3ctb,78621.0,78621.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2012,foreign_born,Eurostat migr_pop3ctb,85076.0,85076.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2013,foreign_born,Eurostat migr_pop3ctb,95180.0,95180.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2014,foreign_born,Eurostat migr_pop3ctb,107275.0,107275.0,0.0,0.0,EXACT,
FILE1,Bulgaria,BGR,2015,foreign_born,S2 UN DESA IMS2024,123803.0,123803.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2015,foreign_born,Eurostat migr_pop3ctb,120635.0,120635.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2016,foreign_born,Eurostat migr_pop3ctb,131924.0,131924.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2017,foreign_born,Eurostat migr_pop3ctb,139655.0,139655.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2018,foreign_born,Eurostat migr_pop3ctb,149096.0,149096.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2019,foreign_born,Eurostat migr_pop3ctb,162346.0,162346.0,0.0,0.0,EXACT,
FILE1,Bulgaria,BGR,2020,foreign_born,S2 UN DESA IMS2024,184363.0,184363.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2020,foreign_born,Eurostat migr_pop3ctb,176321.0,176321.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2021,foreign_born,Eurostat migr_pop3ctb,188519.0,188519.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2022,foreign_born,Eurostat migr_pop3ctb,142214.0,142214.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2010,foreign_nationals,Eurostat migr_pop1ctz,38002.0,38002.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2011,foreign_nationals,Eurostat migr_pop1ctz,38815.0,38815.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2012,foreign_nationals,Eurostat migr_pop1ctz,39432.0,39432.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2013,foreign_nationals,Eurostat migr_pop1ctz,44506.0,44506.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2014,foreign_nationals,Eurostat migr_pop1ctz,53253.0,53253.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2015,foreign_nationals,Eurostat migr_pop1ctz,63879.0,63879.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2016,foreign_nationals,Eurostat migr_pop1ctz,71491.0,71491.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2017,foreign_nationals,Eurostat migr_pop1ctz,76562.0,76562.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2018,foreign_nationals,Eurostat migr_pop1ctz,82370.0,82370.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2019,foreign_nationals,Eurostat migr_pop1ctz,91243.0,91243.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2020,foreign_nationals,Eurostat migr_pop1ctz,100768.0,100768.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2021,foreign_nationals,Eurostat migr_pop1ctz,108438.0,108438.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2022,foreign_nationals,Eurostat migr_pop1ctz,63861.0,63861.0,0.0,0.0,EXACT,
FILE1,Bulgaria,BGR,2010,irregular_detections,S3 Eurostat migr_eipre,1705.0,1705.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2010,irregular_detections,Eurostat migr_eipre,1705.0,1705.0,0.0,0.0,EXACT,
FILE1,Bulgaria,BGR,2011,irregular_detections,S3 Eurostat migr_eipre,1355.0,1355.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2011,irregular_detections,Eurostat migr_eipre,1355.0,1355.0,0.0,0.0,EXACT,
FILE1,Bulgaria,BGR,2012,irregular_detections,S3 Eurostat migr_eipre,2050.0,2050.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2012,irregular_detections,Eurostat migr_eipre,2050.0,2050.0,0.0,0.0,EXACT,
FILE1,Bulgaria,BGR,2013,irregular_detections,S3 Eurostat migr_eipre,5260.0,5260.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2013,irregular_detections,Eurostat migr_eipre,5260.0,5260.0,0.0,0.0,EXACT,
FILE1,Bulgaria,BGR,2014,irregular_detections,S3 Eurostat migr_eipre,12870.0,12870.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2014,irregular_detections,Eurostat migr_eipre,12870.0,12870.0,0.0,0.0,EXACT,
FILE1,Bulgaria,BGR,2015,irregular_detections,S3 Eurostat migr_eipre,20810.0,20810.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2015,irregular_detections,Eurostat migr_eipre,20810.0,20810.0,0.0,0.0,EXACT,
FILE1,Bulgaria,BGR,2016,irregular_detections,S3 Eurostat migr_eipre,14125.0,14125.0,0.0,0.0,EXACT,
FILE2,Bulgaria,BGR,2016,irregular_detections,Eurostat migr_eipre,14125.0,14125.0,0.0,0.0,EXACT,
