iso3,variable,years,n_obs,source_name,source_url,local_file,note,superseded_source_name,superseded_source_url
CHE,foreign_born,2010-2020,3,"UN DESA Population Division, International Migrant Stock 2024: Total destination, Table 1",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2024_ims_stock_by_sex_and_destination.xlsx,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
CHE,foreign_born,2011-2022,12,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=CH&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
CHE,foreign_nationals,2010-2022,13,Eurostat [migr_pop1ctz],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&geo=CH&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
CHE,irregular,2010-2022,13,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=CH&lang=en,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
CHE,irregular_proxy_detections,2010-2022,13,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
CHE,irregular_stock,2014-2017,1,"Pew Research Center (2019), Appendix B: unauthorized immigrant population trends WITH waiting asylum seekers, by country",https://www.pewresearch.org/global/2019/11/13/eu-unauthorized-immigrants-appendix-b-unauthorized-immigrant-population-trends-with-waiting-asylum-seekers-by-country/,irregular_stock__Pew2019_AppendixB_published_ranges.pdf,The published range table. Panel values are midpoints of these ranges and are flagged as derived.,,
CHE,irregular_stock,2015-2015,1,"SRF News, ""SEM schatzt Zahl der Sans-Papiers in der Schweiz auf 76'000"" (25 April 2016), reporting the SEM study on its release",https://www.srf.ch/news/schweiz/schweiz-sem-schaetzt-zahl-der-sans-papiers-in-der-schweiz-auf-76-000,irregular_stock__SRF_SEM_76000_sanspapiers_CORROBORATION.html,"The SEM study PDF originally cited now returns HTTP 404. The 76,000 figure is stated in this report on the study's release; the study's own range was 58,000-105,000.","Morlok, Oswald, Meier, Efionayi-Mader, Ruedin, Bader, Wanner (2015), Sans-Papiers in der Schweiz 2015, State Secretariat for Migration (SEM)",https://www.sem.admin.ch/dam/sem/de/data/internationales/illegale-migration/sans_papiers/ber-sanspapiers-2015-d.pdf
CHE,irregular_stock,2017-2017,1,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off",https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,irregular_stock__dccd321871__www.pewresearch.org.html,,,
CHE,population,2010-2022,13,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
CHE,population,2010-2022,13,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
