workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Switzerland,CHE,2010,foreign_born,S2 UN DESA IMS2024,2053953.0,2053953.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2011,foreign_born,Eurostat migr_pop3ctb,1940349.0,1940349.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2012,foreign_born,Eurostat migr_pop3ctb,2033702.0,2033702.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2013,foreign_born,Eurostat migr_pop3ctb,2102964.0,2102964.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2014,foreign_born,Eurostat migr_pop3ctb,2183206.0,2183206.0,0.0,0.0,EXACT,
FILE1,Switzerland,CHE,2015,foreign_born,S2 UN DESA IMS2024,2385713.0,2385713.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2015,foreign_born,Eurostat migr_pop3ctb,2258196.0,2258196.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2016,foreign_born,Eurostat migr_pop3ctb,2324461.0,2324461.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2017,foreign_born,Eurostat migr_pop3ctb,2391480.0,2391480.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2018,foreign_born,Eurostat migr_pop3ctb,2432519.0,2432519.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2019,foreign_born,Eurostat migr_pop3ctb,2469381.0,2469381.0,0.0,0.0,EXACT,
FILE1,Switzerland,CHE,2020,foreign_born,S2 UN DESA IMS2024,2610189.0,2610189.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2020,foreign_born,Eurostat migr_pop3ctb,2509692.0,2509692.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2021,foreign_born,Eurostat migr_pop3ctb,2553225.0,2553225.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2022,foreign_born,Eurostat migr_pop3ctb,2598146.0,2598146.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2010,foreign_nationals,Eurostat migr_pop1ctz,1714004.0,1714004.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2011,foreign_nationals,Eurostat migr_pop1ctz,1765750.0,1765750.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2012,foreign_nationals,Eurostat migr_pop1ctz,1815063.0,1815063.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2013,foreign_nationals,Eurostat migr_pop1ctz,1869070.0,1869070.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2014,foreign_nationals,Eurostat migr_pop1ctz,1936412.0,1936412.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2015,foreign_nationals,Eurostat migr_pop1ctz,1997179.0,1997179.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2016,foreign_nationals,Eurostat migr_pop1ctz,2047200.0,2047200.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2017,foreign_nationals,Eurostat migr_pop1ctz,2099319.0,2099319.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2018,foreign_nationals,Eurostat migr_pop1ctz,2124540.0,2124540.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2019,foreign_nationals,Eurostat migr_pop1ctz,2146381.0,2146381.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2020,foreign_nationals,Eurostat migr_pop1ctz,2173429.0,2173429.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2021,foreign_nationals,Eurostat migr_pop1ctz,2208864.0,2208864.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2022,foreign_nationals,Eurostat migr_pop1ctz,2242343.0,2242343.0,0.0,0.0,EXACT,
FILE1,Switzerland,CHE,2010,irregular_detections,S3 Eurostat migr_eipre,12020.0,12020.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2010,irregular_detections,Eurostat migr_eipre,12630.0,12020.0,610.0,5.074875207986689,MISMATCH,
FILE1,Switzerland,CHE,2011,irregular_detections,S3 Eurostat migr_eipre,12630.0,12630.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2011,irregular_detections,Eurostat migr_eipre,14170.0,12630.0,1540.0,12.193190815518609,MISMATCH,
FILE1,Switzerland,CHE,2012,irregular_detections,S3 Eurostat migr_eipre,14170.0,14170.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2012,irregular_detections,Eurostat migr_eipre,15045.0,14170.0,875.0,6.175017642907552,MISMATCH,
FILE1,Switzerland,CHE,2013,irregular_detections,S3 Eurostat migr_eipre,15045.0,15045.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2013,irregular_detections,Eurostat migr_eipre,13800.0,15045.0,-1245.0,-8.275174476570289,MISMATCH,
FILE1,Switzerland,CHE,2014,irregular_detections,S3 Eurostat migr_eipre,13800.0,13800.0,0.0,0.0,EXACT,
FILE2,Switzerland,CHE,2014,irregular_detections,Eurostat migr_eipre,15555.0,13800.0,1755.0,12.717391304347824,MISMATCH,
FILE1,Switzerland,CHE,2015,irregular_detections,S3 Eurostat migr_eipre,15555.0,15555.0,0.0,0.0,EXACT,
