iso3,year,variable,value,source_name,source_url,notes,used_in_panel,live_source_check
CHL,2010,foreign_born,352344,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",OECD IMD foreign-born stock for Chile; derived from INE/SERMIG foreign-resident estimates and Censo 2017. NOTE: OECD labels this series one year later than the corresponding B15 foreign-national series (e.g. 1534813 appears as 2021 here and as 2020 under B15). Values recorded exactly as published.,yes,EXACT
CHL,2011,foreign_born,369436,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",OECD IMD foreign-born stock for Chile; derived from INE/SERMIG foreign-resident estimates and Censo 2017. NOTE: OECD labels this series one year later than the corresponding B15 foreign-national series (e.g. 1534813 appears as 2021 here and as 2020 under B15). Values recorded exactly as published.,yes,EXACT
CHL,2012,foreign_born,388229,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",OECD IMD foreign-born stock for Chile; derived from INE/SERMIG foreign-resident estimates and Censo 2017. NOTE: OECD labels this series one year later than the corresponding B15 foreign-national series (e.g. 1534813 appears as 2021 here and as 2020 under B15). Values recorded exactly as published.,yes,EXACT
CHL,2013,foreign_born,415540,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",OECD IMD foreign-born stock for Chile; derived from INE/SERMIG foreign-resident estimates and Censo 2017. NOTE: OECD labels this series one year later than the corresponding B15 foreign-national series (e.g. 1534813 appears as 2021 here and as 2020 under B15). Values recorded exactly as published.,yes,EXACT
CHL,2014,foreign_born,441529,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",OECD IMD foreign-born stock for Chile; derived from INE/SERMIG foreign-resident estimates and Censo 2017. NOTE: OECD labels this series one year later than the corresponding B15 foreign-national series (e.g. 1534813 appears as 2021 here and as 2020 under B15). Values recorded exactly as published.,yes,EXACT
CHL,2015,foreign_born,465319,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",OECD IMD foreign-born stock for Chile; derived from INE/SERMIG foreign-resident estimates and Censo 2017. NOTE: OECD labels this series one year later than the corresponding B15 foreign-national series (e.g. 1534813 appears as 2021 here and as 2020 under B15). Values recorded exactly as published.,yes,EXACT
CHL,2017,foreign_born,746435,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",OECD IMD foreign-born stock for Chile; derived from INE/SERMIG foreign-resident estimates and Censo 2017. NOTE: OECD labels this series one year later than the corresponding B15 foreign-national series (e.g. 1534813 appears as 2021 here and as 2020 under B15). Values recorded exactly as published.,yes,EXACT
CHL,2019,foreign_born,1306859,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",OECD IMD foreign-born stock for Chile; derived from INE/SERMIG foreign-resident estimates and Censo 2017. NOTE: OECD labels this series one year later than the corresponding B15 foreign-national series (e.g. 1534813 appears as 2021 here and as 2020 under B15). Values recorded exactly as published.,yes,EXACT
CHL,2020,foreign_born,1486810,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",OECD IMD foreign-born stock for Chile; derived from INE/SERMIG foreign-resident estimates and Censo 2017. NOTE: OECD labels this series one year later than the corresponding B15 foreign-national series (e.g. 1534813 appears as 2021 here and as 2020 under B15). Values recorded exactly as published.,yes,EXACT
CHL,2021,foreign_born,1534813,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",OECD IMD foreign-born stock for Chile; derived from INE/SERMIG foreign-resident estimates and Censo 2017. NOTE: OECD labels this series one year later than the corresponding B15 foreign-national series (e.g. 1534813 appears as 2021 here and as 2020 under B15). Values recorded exactly as published.,yes,EXACT
