workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,China,CHN,2010,foreign_born,S2 UN DESA IMS2024,1010008.0,1010008.0,0.0,0.0,EXACT,
FILE2,China,CHN,2010,foreign_born,World Bank SM.POP.TOTL,1010008.0,1010008.0,0.0,0.0,EXACT,
FILE1,China,CHN,2015,foreign_born,S2 UN DESA IMS2024,1196007.0,1196007.0,0.0,0.0,EXACT,
FILE2,China,CHN,2015,foreign_born,World Bank SM.POP.TOTL,1196007.0,1196007.0,0.0,0.0,EXACT,
FILE1,China,CHN,2020,foreign_born,S2 UN DESA IMS2024,1415116.0,1415116.0,0.0,0.0,EXACT,
FILE2,China,CHN,2020,foreign_born,World Bank SM.POP.TOTL,1415116.0,1415116.0,0.0,0.0,EXACT,
FILE1,China,CHN,2010,population,S1 UN WPP2024,1351561514.0,1351561514.0,0.0,0.0,EXACT,
FILE2,China,CHN,2010,population,World Bank SP.POP.TOTL,1337705000.0,1337705000.0,0.0,0.0,EXACT,
FILE1,China,CHN,2011,population,S1 UN WPP2024,1360250664.0,1360250664.0,0.0,0.0,EXACT,
FILE2,China,CHN,2011,population,World Bank SP.POP.TOTL,1345035000.0,1345035000.0,0.0,0.0,EXACT,
FILE1,China,CHN,2012,population,S1 UN WPP2024,1369520864.0,1369520864.0,0.0,0.0,EXACT,
FILE2,China,CHN,2012,population,World Bank SP.POP.TOTL,1354190000.0,1354190000.0,0.0,0.0,EXACT,
FILE1,China,CHN,2013,population,S1 UN WPP2024,1379008040.0,1379008040.0,0.0,0.0,EXACT,
FILE2,China,CHN,2013,population,World Bank SP.POP.TOTL,1363240000.0,1363240000.0,0.0,0.0,EXACT,
FILE1,China,CHN,2014,population,S1 UN WPP2024,1387951972.0,1387951972.0,0.0,0.0,EXACT,
FILE2,China,CHN,2014,population,World Bank SP.POP.TOTL,1371860000.0,1371860000.0,0.0,0.0,EXACT,
FILE1,China,CHN,2015,population,S1 UN WPP2024,1396134174.0,1396134174.0,0.0,0.0,EXACT,
FILE2,China,CHN,2015,population,World Bank SP.POP.TOTL,1379860000.0,1379860000.0,0.0,0.0,EXACT,
FILE1,China,CHN,2016,population,S1 UN WPP2024,1404052632.0,1404052632.0,0.0,0.0,EXACT,
FILE2,China,CHN,2016,population,World Bank SP.POP.TOTL,1387790000.0,1387790000.0,0.0,0.0,EXACT,
FILE1,China,CHN,2017,population,S1 UN WPP2024,1412354727.0,1412354727.0,0.0,0.0,EXACT,
FILE2,China,CHN,2017,population,World Bank SP.POP.TOTL,1396215000.0,1396215000.0,0.0,0.0,EXACT,
FILE1,China,CHN,2018,population,S1 UN WPP2024,1419008956.0,1419008956.0,0.0,0.0,EXACT,
FILE2,China,CHN,2018,population,World Bank SP.POP.TOTL,1402760000.0,1402760000.0,0.0,0.0,EXACT,
FILE1,China,CHN,2019,population,S1 UN WPP2024,1423520357.0,1423520357.0,0.0,0.0,EXACT,
FILE2,China,CHN,2019,population,World Bank SP.POP.TOTL,1407745000.0,1407745000.0,0.0,0.0,EXACT,
FILE1,China,CHN,2020,population,S1 UN WPP2024,1426106093.0,1426106093.0,0.0,0.0,EXACT,
FILE2,China,CHN,2020,population,World Bank SP.POP.TOTL,1411100000.0,1411100000.0,0.0,0.0,EXACT,
FILE1,China,CHN,2021,population,S1 UN WPP2024,1426437267.0,1426437267.0,0.0,0.0,EXACT,
FILE2,China,CHN,2021,population,World Bank SP.POP.TOTL,1412360000.0,1412360000.0,0.0,0.0,EXACT,
FILE1,China,CHN,2022,population,S1 UN WPP2024,1425179569.0,1425179569.0,0.0,0.0,EXACT,
FILE2,China,CHN,2022,population,World Bank SP.POP.TOTL,1412175000.0,1412175000.0,0.0,0.0,EXACT,
