workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Czech Republic,CZE,2010,foreign_born,S2 UN DESA IMS2024,692197.0,692197.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2010,foreign_born,Eurostat migr_pop3ctb,398493.0,398493.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2011,foreign_born,Eurostat migr_pop3ctb,387971.0,387971.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2012,foreign_born,Eurostat migr_pop3ctb,390843.0,390843.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2013,foreign_born,Eurostat migr_pop3ctb,387337.0,387337.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2014,foreign_born,Eurostat migr_pop3ctb,396156.0,396156.0,0.0,0.0,EXACT,
FILE1,Czech Republic,CZE,2015,foreign_born,S2 UN DESA IMS2024,688047.0,688047.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2015,foreign_born,Eurostat migr_pop3ctb,416454.0,416454.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2016,foreign_born,Eurostat migr_pop3ctb,433290.0,433290.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2017,foreign_born,Eurostat migr_pop3ctb,465056.0,465056.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2018,foreign_born,Eurostat migr_pop3ctb,467580.0,467580.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2019,foreign_born,Eurostat migr_pop3ctb,507051.0,507051.0,0.0,0.0,EXACT,
FILE1,Czech Republic,CZE,2020,foreign_born,S2 UN DESA IMS2024,680221.0,680221.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2020,foreign_born,Eurostat migr_pop3ctb,533639.0,533639.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2021,foreign_born,Eurostat migr_pop3ctb,409220.0,409220.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2022,foreign_born,Eurostat migr_pop3ctb,685840.0,685840.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2010,foreign_nationals,Eurostat migr_pop1ctz,424419.0,424419.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2011,foreign_nationals,Eurostat migr_pop1ctz,416737.0,416737.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2012,foreign_nationals,Eurostat migr_pop1ctz,422966.0,422966.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2013,foreign_nationals,Eurostat migr_pop1ctz,422280.0,422280.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2014,foreign_nationals,Eurostat migr_pop1ctz,434581.0,434581.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2015,foreign_nationals,Eurostat migr_pop1ctz,457323.0,457323.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2016,foreign_nationals,Eurostat migr_pop1ctz,476345.0,476345.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2017,foreign_nationals,Eurostat migr_pop1ctz,510841.0,510841.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2018,foreign_nationals,Eurostat migr_pop1ctz,515422.0,515422.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2019,foreign_nationals,Eurostat migr_pop1ctz,557458.0,557458.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2020,foreign_nationals,Eurostat migr_pop1ctz,586646.0,586646.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2021,foreign_nationals,Eurostat migr_pop1ctz,488532.0,488532.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2022,foreign_nationals,Eurostat migr_pop1ctz,538237.0,538237.0,0.0,0.0,EXACT,
FILE1,Czech Republic,CZE,2010,irregular_detections,S3 Eurostat migr_eipre,2655.0,2655.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2010,irregular_detections,Eurostat migr_eipre,2655.0,2655.0,0.0,0.0,EXACT,
FILE1,Czech Republic,CZE,2011,irregular_detections,S3 Eurostat migr_eipre,3085.0,3085.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2011,irregular_detections,Eurostat migr_eipre,3085.0,3085.0,0.0,0.0,EXACT,
FILE1,Czech Republic,CZE,2012,irregular_detections,S3 Eurostat migr_eipre,3315.0,3315.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2012,irregular_detections,Eurostat migr_eipre,3315.0,3315.0,0.0,0.0,EXACT,
FILE1,Czech Republic,CZE,2013,irregular_detections,S3 Eurostat migr_eipre,3695.0,3695.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2013,irregular_detections,Eurostat migr_eipre,3695.0,3695.0,0.0,0.0,EXACT,
FILE1,Czech Republic,CZE,2014,irregular_detections,S3 Eurostat migr_eipre,4430.0,4430.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2014,irregular_detections,Eurostat migr_eipre,4430.0,4430.0,0.0,0.0,EXACT,
FILE1,Czech Republic,CZE,2015,irregular_detections,S3 Eurostat migr_eipre,8165.0,8165.0,0.0,0.0,EXACT,
FILE2,Czech Republic,CZE,2015,irregular_detections,Eurostat migr_eipre,8165.0,8165.0,0.0,0.0,EXACT,
FILE1,Czech Republic,CZE,2016,irregular_detections,S3 Eurostat migr_eipre,4885.0,4885.0,0.0,0.0,EXACT,
