workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Germany,DEU,2010,foreign_born,S2 UN DESA IMS2024,11665950.0,11665950.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2010,foreign_born,Eurostat migr_pop3ctb,9812263.0,9812263.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2011,foreign_born,Eurostat migr_pop3ctb,8935603.0,8935603.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2012,foreign_born,Eurostat migr_pop3ctb,9117874.0,9117874.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2013,foreign_born,Eurostat migr_pop3ctb,9456225.0,9456225.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2014,foreign_born,Eurostat migr_pop3ctb,9807877.0,9807877.0,0.0,0.0,EXACT,
FILE1,Germany,DEU,2015,foreign_born,S2 UN DESA IMS2024,12646813.0,12646813.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2015,foreign_born,Eurostat migr_pop3ctb,10220418.0,10220418.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2016,foreign_born,Eurostat migr_pop3ctb,10908255.0,10908255.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2017,foreign_born,Eurostat migr_pop3ctb,12105436.0,12105436.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2018,foreign_born,Eurostat migr_pop3ctb,13745843.0,13745843.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2019,foreign_born,Eurostat migr_pop3ctb,14879635.0,14879635.0,0.0,0.0,EXACT,
FILE1,Germany,DEU,2020,foreign_born,S2 UN DESA IMS2024,15021300.0,15021300.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2020,foreign_born,Eurostat migr_pop3ctb,15040708.0,15040708.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2021,foreign_born,Eurostat migr_pop3ctb,15162728.0,15162728.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2022,foreign_born,Eurostat migr_pop3ctb,15287650.0,15287650.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2010,foreign_nationals,Eurostat migr_pop1ctz,7130919.0,7130919.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2011,foreign_nationals,Eurostat migr_pop1ctz,6107216.0,6107216.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2012,foreign_nationals,Eurostat migr_pop1ctz,6342394.0,6342394.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2013,foreign_nationals,Eurostat migr_pop1ctz,6643699.0,6643699.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2014,foreign_nationals,Eurostat migr_pop1ctz,7015236.0,7015236.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2015,foreign_nationals,Eurostat migr_pop1ctz,7539774.0,7539774.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2016,foreign_nationals,Eurostat migr_pop1ctz,8651958.0,8651958.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2017,foreign_nationals,Eurostat migr_pop1ctz,9219989.0,9219989.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2018,foreign_nationals,Eurostat migr_pop1ctz,9678868.0,9678868.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2019,foreign_nationals,Eurostat migr_pop1ctz,10089292.0,10089292.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2020,foreign_nationals,Eurostat migr_pop1ctz,10398022.0,10398022.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2021,foreign_nationals,Eurostat migr_pop1ctz,10585053.0,10585053.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2022,foreign_nationals,Eurostat migr_pop1ctz,10893053.0,10893053.0,0.0,0.0,EXACT,
FILE1,Germany,DEU,2010,irregular_detections,S3 Eurostat migr_eipre,50250.0,50250.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2010,irregular_detections,Eurostat migr_eipre,50250.0,50250.0,0.0,0.0,EXACT,
FILE1,Germany,DEU,2011,irregular_detections,S3 Eurostat migr_eipre,56345.0,56345.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2011,irregular_detections,Eurostat migr_eipre,56345.0,56345.0,0.0,0.0,EXACT,
FILE1,Germany,DEU,2012,irregular_detections,S3 Eurostat migr_eipre,64815.0,64815.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2012,irregular_detections,Eurostat migr_eipre,64815.0,64815.0,0.0,0.0,EXACT,
FILE1,Germany,DEU,2013,irregular_detections,S3 Eurostat migr_eipre,86305.0,86305.0,0.0,0.0,EXACT,
FILE2,Germany,DEU,2013,irregular_detections,Eurostat migr_eipre,86305.0,86305.0,0.0,0.0,EXACT,
FILE1,Germany,DEU,2014,irregular_detections,S3 Eurostat migr_eipre,128290.0,128290.0,0.0,0.0,EXACT,
