workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Denmark,DNK,2010,foreign_born,S2 UN DESA IMS2024,509751.0,509751.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2010,foreign_born,Eurostat migr_pop3ctb,500772.0,500772.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2011,foreign_born,Eurostat migr_pop3ctb,517230.0,517230.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2012,foreign_born,Eurostat migr_pop3ctb,531540.0,531540.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2013,foreign_born,Eurostat migr_pop3ctb,548411.0,548411.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2014,foreign_born,Eurostat migr_pop3ctb,569596.0,569596.0,0.0,0.0,EXACT,
FILE1,Denmark,DNK,2015,foreign_born,S2 UN DESA IMS2024,616741.0,616741.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2015,foreign_born,Eurostat migr_pop3ctb,595876.0,595876.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2016,foreign_born,Eurostat migr_pop3ctb,636666.0,636666.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2017,foreign_born,Eurostat migr_pop3ctb,668090.0,668090.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2018,foreign_born,Eurostat migr_pop3ctb,690549.0,690549.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2019,foreign_born,Eurostat migr_pop3ctb,707880.0,707880.0,0.0,0.0,EXACT,
FILE1,Denmark,DNK,2020,foreign_born,S2 UN DESA IMS2024,718856.0,718856.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2020,foreign_born,Eurostat migr_pop3ctb,715936.0,715936.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2021,foreign_born,Eurostat migr_pop3ctb,721135.0,721135.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2022,foreign_born,Eurostat migr_pop3ctb,745851.0,745851.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2010,foreign_nationals,Eurostat migr_pop1ctz,329797.0,329797.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2011,foreign_nationals,Eurostat migr_pop1ctz,345884.0,345884.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2012,foreign_nationals,Eurostat migr_pop1ctz,358714.0,358714.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2013,foreign_nationals,Eurostat migr_pop1ctz,374569.0,374569.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2014,foreign_nationals,Eurostat migr_pop1ctz,397221.0,397221.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2015,foreign_nationals,Eurostat migr_pop1ctz,422492.0,422492.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2016,foreign_nationals,Eurostat migr_pop1ctz,463088.0,463088.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2017,foreign_nationals,Eurostat migr_pop1ctz,484934.0,484934.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2018,foreign_nationals,Eurostat migr_pop1ctz,505934.0,505934.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2019,foreign_nationals,Eurostat migr_pop1ctz,525849.0,525849.0,0.0,0.0,EXACT,
FILE2,Denmark,DNK,2020,foreign_nationals,Eurostat migr_pop1ctz,537071.0,537071.0,0.0,0.0,EXACT,
