workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Spain,ESP,2010,foreign_born,S2 UN DESA IMS2024,6281193.0,6281193.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2010,foreign_born,Eurostat migr_pop3ctb,6280062.0,6280062.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2011,foreign_born,Eurostat migr_pop3ctb,6282205.0,6282205.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2012,foreign_born,Eurostat migr_pop3ctb,6294954.0,6294954.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2013,foreign_born,Eurostat migr_pop3ctb,6165635.0,6165635.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2014,foreign_born,Eurostat migr_pop3ctb,5952770.0,5952770.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2015,foreign_born,S2 UN DESA IMS2024,5892847.0,5892847.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2015,foreign_born,Eurostat migr_pop3ctb,5883891.0,5883891.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2016,foreign_born,Eurostat migr_pop3ctb,5913165.0,5913165.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2017,foreign_born,Eurostat migr_pop3ctb,6014708.0,6014708.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2018,foreign_born,Eurostat migr_pop3ctb,6207509.0,6207509.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2019,foreign_born,Eurostat migr_pop3ctb,6549309.0,6549309.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2020,foreign_born,S2 UN DESA IMS2024,7146130.0,7146130.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2020,foreign_born,Eurostat migr_pop3ctb,7014753.0,7014753.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2021,foreign_born,Eurostat migr_pop3ctb,7254797.0,7254797.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2022,foreign_born,Eurostat migr_pop3ctb,7468144.0,7468144.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2010,foreign_nationals,Eurostat migr_pop1ctz,5402575.0,5402575.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2011,foreign_nationals,Eurostat migr_pop1ctz,5312439.0,5312439.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2012,foreign_nationals,Eurostat migr_pop1ctz,5236030.0,5236030.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2013,foreign_nationals,Eurostat migr_pop1ctz,5064584.0,5064584.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2014,foreign_nationals,Eurostat migr_pop1ctz,4676352.0,4676352.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2015,foreign_nationals,Eurostat migr_pop1ctz,4453985.0,4453985.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2016,foreign_nationals,Eurostat migr_pop1ctz,4419334.0,4419334.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2017,foreign_nationals,Eurostat migr_pop1ctz,4417653.0,4417653.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2018,foreign_nationals,Eurostat migr_pop1ctz,4577322.0,4577322.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2019,foreign_nationals,Eurostat migr_pop1ctz,4850762.0,4850762.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2020,foreign_nationals,Eurostat migr_pop1ctz,5241278.0,5241278.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2021,foreign_nationals,Eurostat migr_pop1ctz,5402702.0,5402702.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2022,foreign_nationals,Eurostat migr_pop1ctz,5509134.0,5509134.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2010,irregular_detections,S3 Eurostat migr_eipre,70315.0,70315.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2010,irregular_detections,Eurostat migr_eipre,70315.0,70315.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2011,irregular_detections,S3 Eurostat migr_eipre,68825.0,68825.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2011,irregular_detections,Eurostat migr_eipre,68825.0,68825.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2012,irregular_detections,S3 Eurostat migr_eipre,52485.0,52485.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2012,irregular_detections,Eurostat migr_eipre,52485.0,52485.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2013,irregular_detections,S3 Eurostat migr_eipre,46195.0,46195.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2013,irregular_detections,Eurostat migr_eipre,46195.0,46195.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2014,irregular_detections,S3 Eurostat migr_eipre,47885.0,47885.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2014,irregular_detections,Eurostat migr_eipre,47885.0,47885.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2015,irregular_detections,S3 Eurostat migr_eipre,42605.0,42605.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2015,irregular_detections,Eurostat migr_eipre,42605.0,42605.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2016,irregular_detections,S3 Eurostat migr_eipre,37295.0,37295.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2016,irregular_detections,Eurostat migr_eipre,37295.0,37295.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2017,irregular_detections,S3 Eurostat migr_eipre,44625.0,44625.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2017,irregular_detections,Eurostat migr_eipre,44625.0,44625.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2018,irregular_detections,S3 Eurostat migr_eipre,78280.0,78280.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2018,irregular_detections,Eurostat migr_eipre,78280.0,78280.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2019,irregular_detections,S3 Eurostat migr_eipre,62865.0,62865.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2019,irregular_detections,Eurostat migr_eipre,62865.0,62865.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2020,irregular_detections,S3 Eurostat migr_eipre,72265.0,72265.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2020,irregular_detections,Eurostat migr_eipre,72265.0,72265.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2021,irregular_detections,S3 Eurostat migr_eipre,30615.0,30615.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2021,irregular_detections,Eurostat migr_eipre,30615.0,30615.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2022,irregular_detections,S3 Eurostat migr_eipre,68100.0,68100.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2022,irregular_detections,Eurostat migr_eipre,68100.0,68100.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2010,population,S1 UN WPP2024,46840471.0,46840471.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2010,population,World Bank SP.POP.TOTL,46576897.0,46576897.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2011,population,S1 UN WPP2024,46998043.0,46998043.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2011,population,World Bank SP.POP.TOTL,46742697.0,46742697.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2012,population,S1 UN WPP2024,47018323.0,47018323.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2012,population,World Bank SP.POP.TOTL,46773055.0,46773055.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2013,population,S1 UN WPP2024,46860389.0,46860389.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2013,population,World Bank SP.POP.TOTL,46604197.0,46604197.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2014,population,S1 UN WPP2024,46720188.0,46720188.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2014,population,World Bank SP.POP.TOTL,46460733.0,46460733.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2015,population,S1 UN WPP2024,46683686.0,46683686.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2015,population,World Bank SP.POP.TOTL,46422303.0,46422303.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2016,population,S1 UN WPP2024,46732771.0,46732771.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2016,population,World Bank SP.POP.TOTL,46458139.0,46458139.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2017,population,S1 UN WPP2024,46868596.0,46868596.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2017,population,World Bank SP.POP.TOTL,46571232.0,46571232.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2018,population,S1 UN WPP2024,47092821.0,47092821.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2018,population,World Bank SP.POP.TOTL,46782011.0,46782011.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2019,population,S1 UN WPP2024,47435119.0,47435119.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2019,population,World Bank SP.POP.TOTL,47118501.0,47118501.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2020,population,S1 UN WPP2024,47679489.0,47679489.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2020,population,World Bank SP.POP.TOTL,47359424.0,47359424.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2021,population,S1 UN WPP2024,47735664.0,47735664.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2021,population,World Bank SP.POP.TOTL,47443821.0,47443821.0,0.0,0.0,EXACT,
FILE1,Spain,ESP,2022,population,S1 UN WPP2024,47828382.0,47828382.0,0.0,0.0,EXACT,
FILE2,Spain,ESP,2022,population,World Bank SP.POP.TOTL,47786102.0,47786102.0,0.0,0.0,EXACT,
