workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Finland,FIN,2010,foreign_born,S2 UN DESA IMS2024,228481.0,228481.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2010,foreign_born,Eurostat migr_pop3ctb,228481.0,228481.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2011,foreign_born,Eurostat migr_pop3ctb,243217.0,243217.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2012,foreign_born,Eurostat migr_pop3ctb,260856.0,260856.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2013,foreign_born,Eurostat migr_pop3ctb,279743.0,279743.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2014,foreign_born,Eurostat migr_pop3ctb,297812.0,297812.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2015,foreign_born,S2 UN DESA IMS2024,314856.0,314856.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2015,foreign_born,Eurostat migr_pop3ctb,314856.0,314856.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2016,foreign_born,Eurostat migr_pop3ctb,329219.0,329219.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2017,foreign_born,Eurostat migr_pop3ctb,348986.0,348986.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2018,foreign_born,Eurostat migr_pop3ctb,363717.0,363717.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2019,foreign_born,Eurostat migr_pop3ctb,377360.0,377360.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2020,foreign_born,S2 UN DESA IMS2024,386052.0,386052.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2020,foreign_born,Eurostat migr_pop3ctb,393555.0,393555.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2021,foreign_born,Eurostat migr_pop3ctb,408676.0,408676.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2022,foreign_born,Eurostat migr_pop3ctb,428409.0,428409.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2010,foreign_nationals,Eurostat migr_pop1ctz,154623.0,154623.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2011,foreign_nationals,Eurostat migr_pop1ctz,166627.0,166627.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2012,foreign_nationals,Eurostat migr_pop1ctz,181697.0,181697.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2013,foreign_nationals,Eurostat migr_pop1ctz,194250.0,194250.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2014,foreign_nationals,Eurostat migr_pop1ctz,206168.0,206168.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2015,foreign_nationals,Eurostat migr_pop1ctz,218215.0,218215.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2016,foreign_nationals,Eurostat migr_pop1ctz,228224.0,228224.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2017,foreign_nationals,Eurostat migr_pop1ctz,242003.0,242003.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2018,foreign_nationals,Eurostat migr_pop1ctz,247848.0,247848.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2019,foreign_nationals,Eurostat migr_pop1ctz,256026.0,256026.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2020,foreign_nationals,Eurostat migr_pop1ctz,266079.0,266079.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2021,foreign_nationals,Eurostat migr_pop1ctz,277217.0,277217.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2022,foreign_nationals,Eurostat migr_pop1ctz,294638.0,294638.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2010,irregular_detections,S3 Eurostat migr_eipre,3755.0,3755.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2010,irregular_detections,Eurostat migr_eipre,3755.0,3755.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2011,irregular_detections,S3 Eurostat migr_eipre,3305.0,3305.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2011,irregular_detections,Eurostat migr_eipre,3305.0,3305.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2012,irregular_detections,S3 Eurostat migr_eipre,3620.0,3620.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2012,irregular_detections,Eurostat migr_eipre,3620.0,3620.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2013,irregular_detections,S3 Eurostat migr_eipre,3365.0,3365.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2013,irregular_detections,Eurostat migr_eipre,3365.0,3365.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2014,irregular_detections,S3 Eurostat migr_eipre,2930.0,2930.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2014,irregular_detections,Eurostat migr_eipre,2930.0,2930.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2015,irregular_detections,S3 Eurostat migr_eipre,14285.0,14285.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2015,irregular_detections,Eurostat migr_eipre,14285.0,14285.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2016,irregular_detections,S3 Eurostat migr_eipre,2130.0,2130.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2016,irregular_detections,Eurostat migr_eipre,2130.0,2130.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2017,irregular_detections,S3 Eurostat migr_eipre,930.0,930.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2017,irregular_detections,Eurostat migr_eipre,930.0,930.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2018,irregular_detections,S3 Eurostat migr_eipre,1305.0,1305.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2018,irregular_detections,Eurostat migr_eipre,1305.0,1305.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2019,irregular_detections,S3 Eurostat migr_eipre,1220.0,1220.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2019,irregular_detections,Eurostat migr_eipre,1220.0,1220.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2020,irregular_detections,S3 Eurostat migr_eipre,1145.0,1145.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2020,irregular_detections,Eurostat migr_eipre,1145.0,1145.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2021,irregular_detections,S3 Eurostat migr_eipre,1090.0,1090.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2021,irregular_detections,Eurostat migr_eipre,1090.0,1090.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2022,irregular_detections,S3 Eurostat migr_eipre,1190.0,1190.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2022,irregular_detections,Eurostat migr_eipre,1190.0,1190.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2010,population,S1 UN WPP2024,5363350.0,5363350.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2010,population,World Bank SP.POP.TOTL,5363352.0,5363352.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2011,population,S1 UN WPP2024,5388241.0,5388241.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2011,population,World Bank SP.POP.TOTL,5388272.0,5388272.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2012,population,S1 UN WPP2024,5413971.0,5413971.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2012,population,World Bank SP.POP.TOTL,5413971.0,5413971.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2013,population,S1 UN WPP2024,5439053.0,5439053.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2013,population,World Bank SP.POP.TOTL,5438972.0,5438972.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2014,population,S1 UN WPP2024,5461684.0,5461684.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2014,population,World Bank SP.POP.TOTL,5461512.0,5461512.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2015,population,S1 UN WPP2024,5479717.0,5479717.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2015,population,World Bank SP.POP.TOTL,5479531.0,5479531.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2016,population,S1 UN WPP2024,5495469.0,5495469.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2016,population,World Bank SP.POP.TOTL,5495303.0,5495303.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2017,population,S1 UN WPP2024,5508396.0,5508396.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2017,population,World Bank SP.POP.TOTL,5508214.0,5508214.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2018,population,S1 UN WPP2024,5515736.0,5515736.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2018,population,World Bank SP.POP.TOTL,5515525.0,5515525.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2019,population,S1 UN WPP2024,5521759.0,5521759.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2019,population,World Bank SP.POP.TOTL,5521606.0,5521606.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2020,population,S1 UN WPP2024,5529612.0,5529612.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2020,population,World Bank SP.POP.TOTL,5529543.0,5529543.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2021,population,S1 UN WPP2024,5541075.0,5541075.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2021,population,World Bank SP.POP.TOTL,5541017.0,5541017.0,0.0,0.0,EXACT,
FILE1,Finland,FIN,2022,population,S1 UN WPP2024,5569299.0,5569299.0,0.0,0.0,EXACT,
FILE2,Finland,FIN,2022,population,World Bank SP.POP.TOTL,5556106.0,5556106.0,0.0,0.0,EXACT,
