workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,France,FRA,2010,foreign_born,S2 UN DESA IMS2024,7322210.0,7322210.0,0.0,0.0,EXACT,
FILE2,France,FRA,2010,foreign_born,Eurostat migr_pop3ctb,7309986.0,7309986.0,0.0,0.0,EXACT,
FILE2,France,FRA,2011,foreign_born,Eurostat migr_pop3ctb,7335966.0,7335966.0,0.0,0.0,EXACT,
FILE2,France,FRA,2012,foreign_born,Eurostat migr_pop3ctb,7463157.0,7463157.0,0.0,0.0,EXACT,
FILE2,France,FRA,2013,foreign_born,Eurostat migr_pop3ctb,7543950.0,7543950.0,0.0,0.0,EXACT,
FILE2,France,FRA,2014,foreign_born,Eurostat migr_pop3ctb,7746520.0,7746520.0,0.0,0.0,EXACT,
FILE1,France,FRA,2015,foreign_born,S2 UN DESA IMS2024,7978076.0,7978076.0,0.0,0.0,EXACT,
FILE2,France,FRA,2015,foreign_born,Eurostat migr_pop3ctb,7915838.0,7915838.0,0.0,0.0,EXACT,
FILE2,France,FRA,2016,foreign_born,Eurostat migr_pop3ctb,8028227.0,8028227.0,0.0,0.0,EXACT,
FILE2,France,FRA,2017,foreign_born,Eurostat migr_pop3ctb,8098872.0,8098872.0,0.0,0.0,EXACT,
FILE2,France,FRA,2018,foreign_born,Eurostat migr_pop3ctb,8199663.0,8199663.0,0.0,0.0,EXACT,
FILE2,France,FRA,2019,foreign_born,Eurostat migr_pop3ctb,8368280.0,8368280.0,0.0,0.0,EXACT,
FILE1,France,FRA,2020,foreign_born,S2 UN DESA IMS2024,8610719.0,8610719.0,0.0,0.0,EXACT,
FILE2,France,FRA,2020,foreign_born,Eurostat migr_pop3ctb,8473346.0,8473346.0,0.0,0.0,EXACT,
FILE2,France,FRA,2021,foreign_born,Eurostat migr_pop3ctb,8548924.0,8548924.0,0.0,0.0,EXACT,
FILE2,France,FRA,2022,foreign_born,Eurostat migr_pop3ctb,8635504.0,8635504.0,0.0,0.0,EXACT,
FILE2,France,FRA,2010,foreign_nationals,Eurostat migr_pop1ctz,3824590.0,3824590.0,0.0,0.0,EXACT,
FILE2,France,FRA,2011,foreign_nationals,Eurostat migr_pop1ctz,3875096.0,3875096.0,0.0,0.0,EXACT,
FILE2,France,FRA,2012,foreign_nationals,Eurostat migr_pop1ctz,3944725.0,3944725.0,0.0,0.0,EXACT,
FILE2,France,FRA,2013,foreign_nationals,Eurostat migr_pop1ctz,4092106.0,4092106.0,0.0,0.0,EXACT,
FILE2,France,FRA,2014,foreign_nationals,Eurostat migr_pop1ctz,4227226.0,4227226.0,0.0,0.0,EXACT,
FILE2,France,FRA,2015,foreign_nationals,Eurostat migr_pop1ctz,4431376.0,4431376.0,0.0,0.0,EXACT,
FILE2,France,FRA,2016,foreign_nationals,Eurostat migr_pop1ctz,4544793.0,4544793.0,0.0,0.0,EXACT,
FILE2,France,FRA,2017,foreign_nationals,Eurostat migr_pop1ctz,4605669.0,4605669.0,0.0,0.0,EXACT,
FILE2,France,FRA,2018,foreign_nationals,Eurostat migr_pop1ctz,4950717.0,4950717.0,0.0,0.0,EXACT,
