workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,United Kingdom,GBR,2010,foreign_born,S2 UN DESA IMS2024,7713303.0,7713303.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2010,foreign_born,Eurostat migr_pop3ctb,7119664.0,7119664.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2011,foreign_born,Eurostat migr_pop3ctb,7342547.0,7342547.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2012,foreign_born,Eurostat migr_pop3ctb,7762334.0,7762334.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2013,foreign_born,Eurostat migr_pop3ctb,7923428.0,7923428.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2014,foreign_born,Eurostat migr_pop3ctb,8039324.0,8039324.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2015,foreign_born,S2 UN DESA IMS2024,9071431.0,9071431.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2015,foreign_born,Eurostat migr_pop3ctb,8406996.0,8406996.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2016,foreign_born,Eurostat migr_pop3ctb,8696511.0,8696511.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2017,foreign_born,Eurostat migr_pop3ctb,9298018.0,9298018.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2018,foreign_born,Eurostat migr_pop3ctb,9512464.0,9512464.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2019,foreign_born,Eurostat migr_pop3ctb,9469015.0,9469015.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2020,foreign_born,S2 UN DESA IMS2024,10520870.0,10520870.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2010,foreign_nationals,Eurostat migr_pop1ctz,4435587.0,4435587.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2011,foreign_nationals,Eurostat migr_pop1ctz,4546862.0,4546862.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2012,foreign_nationals,Eurostat migr_pop1ctz,4884405.0,4884405.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2013,foreign_nationals,Eurostat migr_pop1ctz,4978600.0,4978600.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2014,foreign_nationals,Eurostat migr_pop1ctz,5049401.0,5049401.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2015,foreign_nationals,Eurostat migr_pop1ctz,5419192.0,5419192.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2016,foreign_nationals,Eurostat migr_pop1ctz,5639712.0,5639712.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2017,foreign_nationals,Eurostat migr_pop1ctz,6073524.0,6073524.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2018,foreign_nationals,Eurostat migr_pop1ctz,6285974.0,6285974.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2019,foreign_nationals,Eurostat migr_pop1ctz,6171948.0,6171948.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2010,irregular_detections,Eurostat migr_eipre,53700.0,53700.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2011,irregular_detections,Eurostat migr_eipre,54150.0,54150.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2012,irregular_detections,Eurostat migr_eipre,49365.0,49365.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2013,irregular_detections,Eurostat migr_eipre,57415.0,57415.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2014,irregular_detections,Eurostat migr_eipre,65365.0,65365.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2015,irregular_detections,Eurostat migr_eipre,70020.0,70020.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2016,irregular_detections,Eurostat migr_eipre,59895.0,59895.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2017,irregular_detections,Eurostat migr_eipre,54910.0,54910.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2018,irregular_detections,Eurostat migr_eipre,27830.0,27830.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2019,irregular_detections,Eurostat migr_eipre,22275.0,22275.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2010,population,S1 UN WPP2024,63006483.0,63006483.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2010,population,World Bank SP.POP.TOTL,62766365.0,62766365.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2011,population,S1 UN WPP2024,63509285.0,63509285.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2011,population,World Bank SP.POP.TOTL,63258810.0,63258810.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2012,population,S1 UN WPP2024,63960484.0,63960484.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2012,population,World Bank SP.POP.TOTL,63711000.0,63711000.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2013,population,S1 UN WPP2024,64389388.0,64389388.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2013,population,World Bank SP.POP.TOTL,64138000.0,64138000.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2014,population,S1 UN WPP2024,64865916.0,64865916.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2014,population,World Bank SP.POP.TOTL,64619000.0,64619000.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2015,population,S1 UN WPP2024,65382110.0,65382110.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2015,population,World Bank SP.POP.TOTL,65087000.0,65087000.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2016,population,S1 UN WPP2024,65893358.0,65893357.99999999,7.450580596923828e-09,1.1307028239361892e-14,EXACT,
FILE2,United Kingdom,GBR,2016,population,World Bank SP.POP.TOTL,65606000.0,65606000.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2017,population,S1 UN WPP2024,66354471.0,66354471.00000001,-7.450580596923828e-09,-1.1228453010986746e-14,EXACT,
FILE2,United Kingdom,GBR,2017,population,World Bank SP.POP.TOTL,65964000.0,65964000.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2018,population,S1 UN WPP2024,66752475.0,66752475.00000001,-7.450580596923828e-09,-1.1161504643721191e-14,EXACT,
FILE2,United Kingdom,GBR,2018,population,World Bank SP.POP.TOTL,66287000.0,66287000.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2019,population,S1 UN WPP2024,67110958.0,67110958.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2019,population,World Bank SP.POP.TOTL,66628000.0,66628000.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2020,population,S1 UN WPP2024,67351861.0,67351861.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2020,population,World Bank SP.POP.TOTL,66740000.0,66740000.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2021,population,S1 UN WPP2024,67668792.0,67668792.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2021,population,World Bank SP.POP.TOTL,66978000.0,66978000.0,0.0,0.0,EXACT,
FILE1,United Kingdom,GBR,2022,population,S1 UN WPP2024,68179315.0,68179315.0,0.0,0.0,EXACT,
FILE2,United Kingdom,GBR,2022,population,World Bank SP.POP.TOTL,67636000.0,67636000.0,0.0,0.0,EXACT,
