workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Croatia,HRV,2010,foreign_born,S2 UN DESA IMS2024,573248.0,573248.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2013,foreign_born,Eurostat migr_pop3ctb,569220.0,569220.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2014,foreign_born,Eurostat migr_pop3ctb,558092.0,558092.0,0.0,0.0,EXACT,
FILE1,Croatia,HRV,2015,foreign_born,S2 UN DESA IMS2024,561093.0,561093.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2015,foreign_born,Eurostat migr_pop3ctb,545115.0,545115.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2016,foreign_born,Eurostat migr_pop3ctb,526279.0,526279.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2017,foreign_born,Eurostat migr_pop3ctb,512411.0,512411.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2018,foreign_born,Eurostat migr_pop3ctb,496265.0,496265.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2019,foreign_born,Eurostat migr_pop3ctb,488393.0,488393.0,0.0,0.0,EXACT,
FILE1,Croatia,HRV,2020,foreign_born,S2 UN DESA IMS2024,528056.0,528056.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2020,foreign_born,Eurostat migr_pop3ctb,486390.0,486390.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2021,foreign_born,Eurostat migr_pop3ctb,478056.0,478056.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2022,foreign_born,Eurostat migr_pop3ctb,472308.0,472308.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2013,foreign_nationals,Eurostat migr_pop1ctz,24142.0,24142.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2014,foreign_nationals,Eurostat migr_pop1ctz,23801.0,23801.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2015,foreign_nationals,Eurostat migr_pop1ctz,24125.0,24125.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2016,foreign_nationals,Eurostat migr_pop1ctz,24231.0,24231.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2017,foreign_nationals,Eurostat migr_pop1ctz,24102.0,24102.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2018,foreign_nationals,Eurostat migr_pop1ctz,24024.0,24024.0,0.0,0.0,EXACT,
FILE2,Croatia,HRV,2019,foreign_nationals,Eurostat migr_pop1ctz,23878.0,23878.0,0.0,0.0,EXACT,
