workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Hungary,HUN,2010,foreign_born,S2 UN DESA IMS2024,436616.0,436616.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2010,foreign_born,Eurostat migr_pop3ctb,436616.0,436616.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2011,foreign_born,Eurostat migr_pop3ctb,443295.0,443295.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2012,foreign_born,Eurostat migr_pop3ctb,401769.0,401769.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2013,foreign_born,Eurostat migr_pop3ctb,423317.0,423317.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2014,foreign_born,Eurostat migr_pop3ctb,447029.0,447029.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2015,foreign_born,S2 UN DESA IMS2024,475508.0,475508.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2015,foreign_born,Eurostat migr_pop3ctb,475508.0,475508.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2016,foreign_born,Eurostat migr_pop3ctb,503787.0,503787.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2017,foreign_born,Eurostat migr_pop3ctb,513649.0,513649.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2018,foreign_born,Eurostat migr_pop3ctb,536182.0,536182.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2019,foreign_born,Eurostat migr_pop3ctb,564761.0,564761.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2020,foreign_born,S2 UN DESA IMS2024,584567.0,584567.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2020,foreign_born,Eurostat migr_pop3ctb,593937.0,593937.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2021,foreign_born,Eurostat migr_pop3ctb,597440.0,597440.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2022,foreign_born,Eurostat migr_pop3ctb,612618.0,612618.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2010,foreign_nationals,Eurostat migr_pop1ctz,200005.0,200005.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2011,foreign_nationals,Eurostat migr_pop1ctz,209202.0,209202.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2012,foreign_nationals,Eurostat migr_pop1ctz,143125.0,143125.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2013,foreign_nationals,Eurostat migr_pop1ctz,141122.0,141122.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2014,foreign_nationals,Eurostat migr_pop1ctz,140301.0,140301.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2015,foreign_nationals,Eurostat migr_pop1ctz,145727.0,145727.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2016,foreign_nationals,Eurostat migr_pop1ctz,156366.0,156366.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2017,foreign_nationals,Eurostat migr_pop1ctz,150885.0,150885.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2018,foreign_nationals,Eurostat migr_pop1ctz,161549.0,161549.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2019,foreign_nationals,Eurostat migr_pop1ctz,180525.0,180525.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2020,foreign_nationals,Eurostat migr_pop1ctz,199707.0,199707.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2021,foreign_nationals,Eurostat migr_pop1ctz,194240.0,194240.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2022,foreign_nationals,Eurostat migr_pop1ctz,202299.0,202299.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2010,irregular_detections,S3 Eurostat migr_eipre,6970.0,6970.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2010,irregular_detections,Eurostat migr_eipre,6970.0,6970.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2011,irregular_detections,S3 Eurostat migr_eipre,9655.0,9655.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2011,irregular_detections,Eurostat migr_eipre,9655.0,9655.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2012,irregular_detections,S3 Eurostat migr_eipre,12175.0,12175.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2012,irregular_detections,Eurostat migr_eipre,12175.0,12175.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2013,irregular_detections,S3 Eurostat migr_eipre,28755.0,28755.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2013,irregular_detections,Eurostat migr_eipre,28755.0,28755.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2014,irregular_detections,S3 Eurostat migr_eipre,56170.0,56170.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2014,irregular_detections,Eurostat migr_eipre,56170.0,56170.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2015,irregular_detections,S3 Eurostat migr_eipre,424055.0,424055.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2015,irregular_detections,Eurostat migr_eipre,424055.0,424055.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2016,irregular_detections,S3 Eurostat migr_eipre,41560.0,41560.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2016,irregular_detections,Eurostat migr_eipre,41560.0,41560.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2017,irregular_detections,S3 Eurostat migr_eipre,25730.0,25730.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2017,irregular_detections,Eurostat migr_eipre,25730.0,25730.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2018,irregular_detections,S3 Eurostat migr_eipre,18915.0,18915.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2018,irregular_detections,Eurostat migr_eipre,18915.0,18915.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2019,irregular_detections,S3 Eurostat migr_eipre,36440.0,36440.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2019,irregular_detections,Eurostat migr_eipre,36440.0,36440.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2020,irregular_detections,S3 Eurostat migr_eipre,89370.0,89370.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2020,irregular_detections,Eurostat migr_eipre,89370.0,89370.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2021,irregular_detections,S3 Eurostat migr_eipre,134140.0,134140.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2021,irregular_detections,Eurostat migr_eipre,134140.0,134140.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2022,irregular_detections,S3 Eurostat migr_eipre,222515.0,222515.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2022,irregular_detections,Eurostat migr_eipre,222515.0,222515.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2010,population,S1 UN WPP2024,9979129.0,9979129.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2010,population,World Bank SP.POP.TOTL,10000023.0,10000023.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2011,population,S1 UN WPP2024,9946676.0,9946676.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2011,population,World Bank SP.POP.TOTL,9971727.0,9971727.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2012,population,S1 UN WPP2024,9916623.0,9916623.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2012,population,World Bank SP.POP.TOTL,9920362.0,9920362.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2013,population,S1 UN WPP2024,9889346.0,9889346.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2013,population,World Bank SP.POP.TOTL,9872734.0,9872734.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2014,population,S1 UN WPP2024,9862842.0,9862842.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2014,population,World Bank SP.POP.TOTL,9833038.0,9833038.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2015,population,S1 UN WPP2024,9839211.0,9839211.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2015,population,World Bank SP.POP.TOTL,9797755.0,9797755.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2016,population,S1 UN WPP2024,9810532.0,9810532.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2016,population,World Bank SP.POP.TOTL,9759755.0,9759755.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2017,population,S1 UN WPP2024,9785604.0,9785604.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2017,population,World Bank SP.POP.TOTL,9726756.0,9726756.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2018,population,S1 UN WPP2024,9774394.0,9774394.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2018,population,World Bank SP.POP.TOTL,9706964.0,9706964.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2019,population,S1 UN WPP2024,9770346.0,9770346.0,0.0,0.0,EXACT,
FILE2,Hungary,HUN,2019,population,World Bank SP.POP.TOTL,9694824.0,9694824.0,0.0,0.0,EXACT,
FILE1,Hungary,HUN,2020,population,S1 UN WPP2024,9749457.0,9749457.0,0.0,0.0,EXACT,
