workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,India,IND,2010,foreign_born,S2 UN DESA IMS2024,5601237.0,5601237.0,0.0,0.0,EXACT,
FILE2,India,IND,2010,foreign_born,World Bank SM.POP.TOTL,5601237.0,5601237.0,0.0,0.0,EXACT,
FILE1,India,IND,2015,foreign_born,S2 UN DESA IMS2024,5252296.0,5252296.0,0.0,0.0,EXACT,
FILE2,India,IND,2015,foreign_born,World Bank SM.POP.TOTL,5252296.0,5252296.0,0.0,0.0,EXACT,
FILE1,India,IND,2020,foreign_born,S2 UN DESA IMS2024,4929816.0,4929816.0,0.0,0.0,EXACT,
FILE2,India,IND,2020,foreign_born,World Bank SM.POP.TOTL,4929816.0,4929816.0,0.0,0.0,EXACT,
FILE1,India,IND,2010,population,S1 UN WPP2024,1243481564.0,1243481564.0,0.0,0.0,EXACT,
FILE2,India,IND,2010,population,World Bank SP.POP.TOTL,1243481564.0,1243481564.0,0.0,0.0,EXACT,
FILE1,India,IND,2011,population,S1 UN WPP2024,1261224954.0,1261224954.0,0.0,0.0,EXACT,
FILE2,India,IND,2011,population,World Bank SP.POP.TOTL,1261224954.0,1261224954.0,0.0,0.0,EXACT,
FILE1,India,IND,2012,population,S1 UN WPP2024,1278674502.0,1278674502.0,0.0,0.0,EXACT,
FILE2,India,IND,2012,population,World Bank SP.POP.TOTL,1278674502.0,1278674502.0,0.0,0.0,EXACT,
FILE1,India,IND,2013,population,S1 UN WPP2024,1295829511.0,1295829511.0,0.0,0.0,EXACT,
FILE2,India,IND,2013,population,World Bank SP.POP.TOTL,1295829511.0,1295829511.0,0.0,0.0,EXACT,
FILE1,India,IND,2014,population,S1 UN WPP2024,1312277191.0,1312277191.0,0.0,0.0,EXACT,
FILE2,India,IND,2014,population,World Bank SP.POP.TOTL,1312277191.0,1312277191.0,0.0,0.0,EXACT,
FILE1,India,IND,2015,population,S1 UN WPP2024,1328024498.0,1328024498.0,0.0,0.0,EXACT,
FILE2,India,IND,2015,population,World Bank SP.POP.TOTL,1328024498.0,1328024498.0,0.0,0.0,EXACT,
FILE1,India,IND,2016,population,S1 UN WPP2024,1343944296.0,1343944296.0,0.0,0.0,EXACT,
FILE2,India,IND,2016,population,World Bank SP.POP.TOTL,1343944296.0,1343944296.0,0.0,0.0,EXACT,
FILE1,India,IND,2017,population,S1 UN WPP2024,1359657400.0,1359657400.0,0.0,0.0,EXACT,
FILE2,India,IND,2017,population,World Bank SP.POP.TOTL,1359657400.0,1359657400.0,0.0,0.0,EXACT,
FILE1,India,IND,2018,population,S1 UN WPP2024,1374659064.0,1374659064.0,0.0,0.0,EXACT,
FILE2,India,IND,2018,population,World Bank SP.POP.TOTL,1374659064.0,1374659064.0,0.0,0.0,EXACT,
FILE1,India,IND,2019,population,S1 UN WPP2024,1389030312.0,1389030312.0,0.0,0.0,EXACT,
FILE2,India,IND,2019,population,World Bank SP.POP.TOTL,1389030312.0,1389030312.0,0.0,0.0,EXACT,
FILE1,India,IND,2020,population,S1 UN WPP2024,1402617695.0,1402617695.0,0.0,0.0,EXACT,
FILE2,India,IND,2020,population,World Bank SP.POP.TOTL,1402617695.0,1402617695.0,0.0,0.0,EXACT,
FILE1,India,IND,2021,population,S1 UN WPP2024,1414203896.0,1414203896.0,0.0,0.0,EXACT,
FILE2,India,IND,2021,population,World Bank SP.POP.TOTL,1414203896.0,1414203896.0,0.0,0.0,EXACT,
FILE1,India,IND,2022,population,S1 UN WPP2024,1425423212.0,1425423212.0,0.0,0.0,EXACT,
FILE2,India,IND,2022,population,World Bank SP.POP.TOTL,1425423212.0,1425423212.0,0.0,0.0,EXACT,
