workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Iceland,ISL,2010,foreign_born,S2 UN DESA IMS2024,35091.0,35091.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2010,foreign_born,Eurostat migr_pop3ctb,35091.0,35091.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2011,foreign_born,Eurostat migr_pop3ctb,34650.0,34650.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2012,foreign_born,Eurostat migr_pop3ctb,34550.0,34550.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2013,foreign_born,Eurostat migr_pop3ctb,35319.0,35319.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2014,foreign_born,Eurostat migr_pop3ctb,37116.0,37116.0,0.0,0.0,EXACT,
FILE1,Iceland,ISL,2015,foreign_born,S2 UN DESA IMS2024,39072.0,39072.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2015,foreign_born,Eurostat migr_pop3ctb,39072.0,39072.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2016,foreign_born,Eurostat migr_pop3ctb,41853.0,41853.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2017,foreign_born,Eurostat migr_pop3ctb,46080.0,46080.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2018,foreign_born,Eurostat migr_pop3ctb,53540.0,53540.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2019,foreign_born,Eurostat migr_pop3ctb,59999.0,59999.0,0.0,0.0,EXACT,
FILE1,Iceland,ISL,2020,foreign_born,S2 UN DESA IMS2024,65424.0,65424.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2020,foreign_born,Eurostat migr_pop3ctb,65205.0,65205.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2021,foreign_born,Eurostat migr_pop3ctb,67438.0,67438.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2022,foreign_born,Eurostat migr_pop3ctb,71767.0,71767.0,0.0,0.0,EXACT,
FILE2,Iceland,ISL,2010,foreign_nationals,Eurostat migr_pop1ctz,21701.0,21701.0,0.0,0.0,EXACT,
