iso3,year,variable,value,source_name,source_url,notes,used_in_panel,live_source_check
ISR,2010,foreign_born,1877700,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2011,foreign_born,1869000,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2012,foreign_born,1850000,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2013,foreign_born,1835000,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2014,foreign_born,1821000,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2015,foreign_born,1817000,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2016,foreign_born,1817500,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2017,foreign_born,1812420,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2018,foreign_born,1811240,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2019,foreign_born,1808920,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2020,foreign_born,1812180,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2021,foreign_born,1797300,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2022,foreign_born,1792880,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Population born abroad; OECD IMD series sourced from Israel CBS. Reference date 31 December. Figures for 2010-2015 are rounded by the source to the nearest 100 or 1000.,yes,EXACT
ISR,2020,irregular_stock,30100,"Israel Population and Immigration Authority (רשות האוכלוסין וההגירה), Foreigners in Israel (נתוני זרים בישראל), Q1 2022",https://www.gov.il/BlobFolder/generalpage/foreign_workers_stats/he/zarim_2022_q1.pdf,"Reference date end of 2020. Administrative register count of persons who entered Israel as tourists and remained without a valid permit; published as '30.1 thousand'. Excludes infiltrators and lapsed foreign workers, which PIBA counts separately.",yes,not_machine_checkable
ISR,2022,irregular_stock,26798,"Israel Population and Immigration Authority (רשות האוכלוסין וההגירה), Foreigners in Israel (נתוני זרים בישראל), Q1 2022",https://www.gov.il/BlobFolder/generalpage/foreign_workers_stats/he/zarim_2022_q1.pdf,"Reference date 31 March 2022. Administrative register count of 'infiltrators' (מסתננים) resident in Israel, i.e. persons who entered irregularly via the Egyptian border; 76% Eritrean, 14% Sudanese. Separate PIBA category from tourist overstayers and lapsed workers.",yes,not_machine_checkable
ISR,2022,irregular_stock,22571,"Israel Population and Immigration Authority (רשות האוכלוסין וההגירה), Foreigners in Israel (נתוני זרים בישראל), Q1 2022",https://www.gov.il/BlobFolder/generalpage/foreign_workers_stats/he/zarim_2022_q1.pdf,Reference date 31 March 2022. Administrative register count of foreign workers without valid status (עובדים זרים ללא היתר). Separate PIBA category; not additive with the infiltrator or tourist-overstayer rows without double-counting checks.,no,not_machine_checkable
ISR,2010,population,7623600,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ISR,2011,population,7765800,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ISR,2012,population,7910500,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ISR,2013,population,8059500,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ISR,2014,population,8215700,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ISR,2015,population,8380100,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ISR,2016,population,8546000,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ISR,2017,population,8713300,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ISR,2018,population,8882800,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ISR,2019,population,9054000,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ISR,2020,population,9215100,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ISR,2021,population,9371400,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ISR,2022,population,9557500,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
