workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Israel,ISR,2010,foreign_born,S2 UN DESA IMS2024,1953214.0,1953214.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2010,foreign_born,OECD IMD ISR_B14,1877700.0,1877700.0,0.0,0.0,EXACT,ok
FILE2,Israel,ISR,2011,foreign_born,OECD IMD ISR_B14,1869000.0,1869000.0,0.0,0.0,EXACT,ok
FILE2,Israel,ISR,2012,foreign_born,OECD IMD ISR_B14,1850000.0,1850000.0,0.0,0.0,EXACT,ok
FILE2,Israel,ISR,2013,foreign_born,OECD IMD ISR_B14,1835000.0,1835000.0,0.0,0.0,EXACT,ok
FILE2,Israel,ISR,2014,foreign_born,OECD IMD ISR_B14,1821000.0,1821000.0,0.0,0.0,EXACT,ok
FILE1,Israel,ISR,2015,foreign_born,S2 UN DESA IMS2024,2019891.0,2019891.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2015,foreign_born,OECD IMD ISR_B14,1817000.0,1817000.0,0.0,0.0,EXACT,ok
FILE2,Israel,ISR,2016,foreign_born,OECD IMD ISR_B14,1817500.0,1817500.0,0.0,0.0,EXACT,ok
FILE2,Israel,ISR,2017,foreign_born,OECD IMD ISR_B14,1812420.0,1812420.0,0.0,0.0,EXACT,ok
FILE2,Israel,ISR,2018,foreign_born,OECD IMD ISR_B14,1811240.0,1811240.0,0.0,0.0,EXACT,ok
FILE2,Israel,ISR,2019,foreign_born,OECD IMD ISR_B14,1808920.0,1808920.0,0.0,0.0,EXACT,ok
FILE1,Israel,ISR,2020,foreign_born,S2 UN DESA IMS2024,2068830.0,2068830.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2020,foreign_born,OECD IMD ISR_B14,1812180.0,1812180.0,0.0,0.0,EXACT,ok
FILE2,Israel,ISR,2021,foreign_born,OECD IMD ISR_B14,1797300.0,1797300.0,0.0,0.0,EXACT,ok
FILE2,Israel,ISR,2022,foreign_born,OECD IMD ISR_B14,1792880.0,1792880.0,0.0,0.0,EXACT,ok
FILE1,Israel,ISR,2010,population,S1 UN WPP2024,7336735.0,7336735.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2010,population,World Bank SP.POP.TOTL,7623600.0,7623600.0,0.0,0.0,EXACT,
FILE1,Israel,ISR,2011,population,S1 UN WPP2024,7471023.0,7471023.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2011,population,World Bank SP.POP.TOTL,7765800.0,7765800.0,0.0,0.0,EXACT,
FILE1,Israel,ISR,2012,population,S1 UN WPP2024,7607780.0,7607780.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2012,population,World Bank SP.POP.TOTL,7910500.0,7910500.0,0.0,0.0,EXACT,
FILE1,Israel,ISR,2013,population,S1 UN WPP2024,7749379.0,7749379.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2013,population,World Bank SP.POP.TOTL,8059500.0,8059500.0,0.0,0.0,EXACT,
FILE1,Israel,ISR,2014,population,S1 UN WPP2024,7897179.0,7897179.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2014,population,World Bank SP.POP.TOTL,8215700.0,8215700.0,0.0,0.0,EXACT,
FILE1,Israel,ISR,2015,population,S1 UN WPP2024,8052908.0,8052908.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2015,population,World Bank SP.POP.TOTL,8380100.0,8380100.0,0.0,0.0,EXACT,
FILE1,Israel,ISR,2016,population,S1 UN WPP2024,8210005.0,8210004.999999999,9.313225746154783e-10,1.1343751613007283e-14,EXACT,
FILE2,Israel,ISR,2016,population,World Bank SP.POP.TOTL,8546000.0,8546000.0,0.0,0.0,EXACT,
FILE1,Israel,ISR,2017,population,S1 UN WPP2024,8361797.0,8361797.000000001,-9.313225746154783e-10,-1.1137828084267992e-14,EXACT,
FILE2,Israel,ISR,2017,population,World Bank SP.POP.TOTL,8713300.0,8713300.0,0.0,0.0,EXACT,
FILE1,Israel,ISR,2018,population,S1 UN WPP2024,8510067.0,8510067.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2018,population,World Bank SP.POP.TOTL,8882800.0,8882800.0,0.0,0.0,EXACT,
FILE1,Israel,ISR,2019,population,S1 UN WPP2024,8657474.0,8657474.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2019,population,World Bank SP.POP.TOTL,9054000.0,9054000.0,0.0,0.0,EXACT,
FILE1,Israel,ISR,2020,population,S1 UN WPP2024,8800376.0,8800376.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2020,population,World Bank SP.POP.TOTL,9215100.0,9215100.0,0.0,0.0,EXACT,
FILE1,Israel,ISR,2021,population,S1 UN WPP2024,8942924.0,8942924.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2021,population,World Bank SP.POP.TOTL,9371400.0,9371400.0,0.0,0.0,EXACT,
FILE1,Israel,ISR,2022,population,S1 UN WPP2024,9103151.0,9103151.0,0.0,0.0,EXACT,
FILE2,Israel,ISR,2022,population,World Bank SP.POP.TOTL,9557500.0,9557500.0,0.0,0.0,EXACT,
