iso3,variable,years,n_obs,source_name,source_url,local_file,note,superseded_source_name,superseded_source_url
ITA,foreign_born,2010-2020,3,"UN DESA Population Division, International Migrant Stock 2024: Total destination, Table 1",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2024_ims_stock_by_sex_and_destination.xlsx,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
ITA,foreign_born,2010-2022,13,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=IT&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
ITA,foreign_nationals,2010-2022,13,Eurostat [migr_pop1ctz],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&geo=IT&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
ITA,irregular,2010-2022,13,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=IT&lang=en,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
ITA,irregular_proxy_detections,2010-2022,13,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
ITA,irregular_stock,2014-2017,4,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off",https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,irregular_stock__dccd321871__www.pewresearch.org.html,,,
ITA,irregular_stock,2015-2016,2,"Fondazione ISMU, XXII Rapporto sulle migrazioni 2016",https://www.antoniocasella.eu/nume/Ismu_1dic2016.pdf,irregular_stock__a0f7dc3c81__www.antoniocasella.eu.pdf,,,
ITA,irregular_stock,2017-2017,1,"Fondazione ISMU estimate, reported in Neodemos",https://www.neodemos.info/2018/07/27/irregolari-sanatorie-e-rimpatri/,irregular_stock__eeb1002910__www.neodemos.info.html,,,
ITA,irregular_stock,2018-2018,1,"Fondazione ISMU, XXIV Rapporto sulle migrazioni 2018",https://www.vita.it/rapporto-ismu-calano-gli-sbarcati-ma-sale-la-quota-degli-irregolari/,irregular_stock__77693a7efa__www.vita.it.html,,,
ITA,irregular_stock,2019-2019,1,"Fondazione ISMU, Stima della presenza straniera in Italia per status giuridico-amministrativo, 1991-2021 (aggiornamento maggio 2022)",https://test.ismu.org/wp-content/uploads/2022/11/Stime-irregolari-ISMU_1991_2021_agg_maggio-2022.xls,irregular_stock__ISMU_Stime_irregolari_1991_2021_agg_maggio2022.xls,"The originally cited press release returns HTTP 403 to every client, including a real browser. ISMU's own published series gives 2019 = 562,000.","Fondazione ISMU, XXV Rapporto sulle migrazioni 2019",https://www.ismu.org/comunicato-stampa-xxv-rapporto-ismu/
ITA,irregular_stock,2020-2020,1,"Fondazione ISMU, Stima della presenza straniera in Italia per status giuridico-amministrativo, 1991-2021 (aggiornamento maggio 2022)",https://test.ismu.org/wp-content/uploads/2022/11/Stime-irregolari-ISMU_1991_2021_agg_maggio-2022.xls,irregular_stock__ISMU_Stime_irregolari_1991_2021_agg_maggio2022.xls,"The originally cited host is unreachable. ISMU's own published series gives 2020 = 517,000.","Fondazione ISMU, XXVI Rapporto sulle migrazioni 2020",https://www.cinformi.it/Comunicazione/Notizie/I-dati-del-Rapporto-ISMU-sulle-migrazioni-2020
