workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Italy,ITA,2010,foreign_born,S2 UN DESA IMS2024,4719233.0,4719233.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2010,foreign_born,Eurostat migr_pop3ctb,4597046.0,4597046.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2011,foreign_born,Eurostat migr_pop3ctb,4834495.0,4834495.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2012,foreign_born,Eurostat migr_pop3ctb,5022967.0,5022967.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2013,foreign_born,Eurostat migr_pop3ctb,5220823.0,5220823.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2014,foreign_born,Eurostat migr_pop3ctb,5355018.0,5355018.0,0.0,0.0,EXACT,
FILE1,Italy,ITA,2015,foreign_born,S2 UN DESA IMS2024,5506199.0,5506199.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2015,foreign_born,Eurostat migr_pop3ctb,5383252.0,5383252.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2016,foreign_born,Eurostat migr_pop3ctb,5656510.0,5656510.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2017,foreign_born,Eurostat migr_pop3ctb,5770263.0,5770263.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2018,foreign_born,Eurostat migr_pop3ctb,5888837.0,5888837.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2019,foreign_born,Eurostat migr_pop3ctb,6069000.0,6069000.0,0.0,0.0,EXACT,
FILE1,Italy,ITA,2020,foreign_born,S2 UN DESA IMS2024,6223851.0,6223851.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2020,foreign_born,Eurostat migr_pop3ctb,6161391.0,6161391.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2021,foreign_born,Eurostat migr_pop3ctb,6262207.0,6262207.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2022,foreign_born,Eurostat migr_pop3ctb,6161003.0,6161003.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2010,foreign_nationals,Eurostat migr_pop1ctz,3836349.0,3836349.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2011,foreign_nationals,Eurostat migr_pop1ctz,4101335.0,4101335.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2012,foreign_nationals,Eurostat migr_pop1ctz,4319201.0,4319201.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2013,foreign_nationals,Eurostat migr_pop1ctz,4610493.0,4610493.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2014,foreign_nationals,Eurostat migr_pop1ctz,4787166.0,4787166.0,0.0,0.0,EXACT,
FILE2,Italy,ITA,2015,foreign_nationals,Eurostat migr_pop1ctz,4835245.0,4835245.0,0.0,0.0,EXACT,
