iso3,year,variable,value,source_name,source_url,notes,used_in_panel,live_source_check
JPN,2010,foreign_nationals,2184724,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/JPN.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Registered foreign residents (在留外国人), OECD IMD series sourced from Japan's Immigration Services Agency. Excludes short stays under 90 days. IMPORTANT REFERENCE-DATE CAVEAT (verified): the OECD year label is offset one year later than Japan's ISA 31-December series. ISA reports end-2021 = 2760635 and end-2020 = 2887116 (https://www.moj.go.jp/isa/publications/press/13_00001.html), whereas OECD labels 2887116 as 2021 and 2760635 as 2022. Values are recorded here exactly as OECD publishes them; to align with the ISA national series subtract one from the year label.",yes,EXACT
JPN,2011,foreign_nationals,2132913,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/JPN.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Registered foreign residents (在留外国人), OECD IMD series sourced from Japan's Immigration Services Agency. Excludes short stays under 90 days. IMPORTANT REFERENCE-DATE CAVEAT (verified): the OECD year label is offset one year later than Japan's ISA 31-December series. ISA reports end-2021 = 2760635 and end-2020 = 2887116 (https://www.moj.go.jp/isa/publications/press/13_00001.html), whereas OECD labels 2887116 as 2021 and 2760635 as 2022. Values are recorded here exactly as OECD publishes them; to align with the ISA national series subtract one from the year label.",yes,EXACT
JPN,2012,foreign_nationals,2078508,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/JPN.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Registered foreign residents (在留外国人), OECD IMD series sourced from Japan's Immigration Services Agency. Excludes short stays under 90 days. IMPORTANT REFERENCE-DATE CAVEAT (verified): the OECD year label is offset one year later than Japan's ISA 31-December series. ISA reports end-2021 = 2760635 and end-2020 = 2887116 (https://www.moj.go.jp/isa/publications/press/13_00001.html), whereas OECD labels 2887116 as 2021 and 2760635 as 2022. Values are recorded here exactly as OECD publishes them; to align with the ISA national series subtract one from the year label.",yes,EXACT
JPN,2013,foreign_nationals,2033656,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/JPN.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Registered foreign residents (在留外国人), OECD IMD series sourced from Japan's Immigration Services Agency. Excludes short stays under 90 days. IMPORTANT REFERENCE-DATE CAVEAT (verified): the OECD year label is offset one year later than Japan's ISA 31-December series. ISA reports end-2021 = 2760635 and end-2020 = 2887116 (https://www.moj.go.jp/isa/publications/press/13_00001.html), whereas OECD labels 2887116 as 2021 and 2760635 as 2022. Values are recorded here exactly as OECD publishes them; to align with the ISA national series subtract one from the year label.",yes,EXACT
JPN,2014,foreign_nationals,2066445,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/JPN.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Registered foreign residents (在留外国人), OECD IMD series sourced from Japan's Immigration Services Agency. Excludes short stays under 90 days. IMPORTANT REFERENCE-DATE CAVEAT (verified): the OECD year label is offset one year later than Japan's ISA 31-December series. ISA reports end-2021 = 2760635 and end-2020 = 2887116 (https://www.moj.go.jp/isa/publications/press/13_00001.html), whereas OECD labels 2887116 as 2021 and 2760635 as 2022. Values are recorded here exactly as OECD publishes them; to align with the ISA national series subtract one from the year label.",yes,EXACT
JPN,2015,foreign_nationals,2121831,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/JPN.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Registered foreign residents (在留外国人), OECD IMD series sourced from Japan's Immigration Services Agency. Excludes short stays under 90 days. IMPORTANT REFERENCE-DATE CAVEAT (verified): the OECD year label is offset one year later than Japan's ISA 31-December series. ISA reports end-2021 = 2760635 and end-2020 = 2887116 (https://www.moj.go.jp/isa/publications/press/13_00001.html), whereas OECD labels 2887116 as 2021 and 2760635 as 2022. Values are recorded here exactly as OECD publishes them; to align with the ISA national series subtract one from the year label.",yes,EXACT
JPN,2016,foreign_nationals,2232189,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/JPN.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Registered foreign residents (在留外国人), OECD IMD series sourced from Japan's Immigration Services Agency. Excludes short stays under 90 days. IMPORTANT REFERENCE-DATE CAVEAT (verified): the OECD year label is offset one year later than Japan's ISA 31-December series. ISA reports end-2021 = 2760635 and end-2020 = 2887116 (https://www.moj.go.jp/isa/publications/press/13_00001.html), whereas OECD labels 2887116 as 2021 and 2760635 as 2022. Values are recorded here exactly as OECD publishes them; to align with the ISA national series subtract one from the year label.",yes,EXACT
JPN,2017,foreign_nationals,2382822,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/JPN.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Registered foreign residents (在留外国人), OECD IMD series sourced from Japan's Immigration Services Agency. Excludes short stays under 90 days. IMPORTANT REFERENCE-DATE CAVEAT (verified): the OECD year label is offset one year later than Japan's ISA 31-December series. ISA reports end-2021 = 2760635 and end-2020 = 2887116 (https://www.moj.go.jp/isa/publications/press/13_00001.html), whereas OECD labels 2887116 as 2021 and 2760635 as 2022. Values are recorded here exactly as OECD publishes them; to align with the ISA national series subtract one from the year label.",yes,EXACT
JPN,2018,foreign_nationals,2561848,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/JPN.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Registered foreign residents (在留外国人), OECD IMD series sourced from Japan's Immigration Services Agency. Excludes short stays under 90 days. IMPORTANT REFERENCE-DATE CAVEAT (verified): the OECD year label is offset one year later than Japan's ISA 31-December series. ISA reports end-2021 = 2760635 and end-2020 = 2887116 (https://www.moj.go.jp/isa/publications/press/13_00001.html), whereas OECD labels 2887116 as 2021 and 2760635 as 2022. Values are recorded here exactly as OECD publishes them; to align with the ISA national series subtract one from the year label.",yes,EXACT
JPN,2019,foreign_nationals,2731093,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/JPN.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Registered foreign residents (在留外国人), OECD IMD series sourced from Japan's Immigration Services Agency. Excludes short stays under 90 days. IMPORTANT REFERENCE-DATE CAVEAT (verified): the OECD year label is offset one year later than Japan's ISA 31-December series. ISA reports end-2021 = 2760635 and end-2020 = 2887116 (https://www.moj.go.jp/isa/publications/press/13_00001.html), whereas OECD labels 2887116 as 2021 and 2760635 as 2022. Values are recorded here exactly as OECD publishes them; to align with the ISA national series subtract one from the year label.",yes,EXACT
