iso3,variable,years,n_obs,source_name,source_url,local_file,note,superseded_source_name,superseded_source_url
JPN,foreign_born,2010-2020,3,"UN DESA Population Division, International Migrant Stock 2024: Total destination, Table 1",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2024_ims_stock_by_sex_and_destination.xlsx,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
JPN,foreign_nationals,2010-2022,13,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/JPN.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",data_raw/,Re-queried live and compared value by value on 2026-08-17,,
JPN,irregular,2010-2015,6,"Japan Immigration Services Agency, Immigration Control in Recent Years (historical report)",https://www.moj.go.jp/isa/content/930003133.pdf,irregular__ccfa80d7df__www.moj.go.jp.pdf,,,
JPN,irregular,2021-2022,2,"Japan Immigration Services Agency, Immigration Control and Residency Management 2022",https://www.moj.go.jp/isa/content/001385114.pdf,irregular__cccd1ea084__www.moj.go.jp.pdf,,,
JPN,irregular_proxy_overstayers,2011-2011,1,"Global Detention Project, Japan Immigration Detention Profile (reproducing Ministry of Justice, 2011, p.34)",https://www.globaldetentionproject.org/countries/asia-pacific/japan,irregular_proxy_overstayers__d9d919a65a__www.globaldetentionproject.o.html,,,
JPN,irregular_proxy_overstayers,2014-2014,1,"出入国在留管理庁 本邦における不法残留者数について (Immigration Services Agency of Japan, Number of Overstayers in Japan)",https://www.moj.go.jp/isa/content/001459199.pdf,irregular_proxy_overstayers__a54f439438__www.moj.go.jp.pdf,"A mirror of this figure originally cited at nisshinkyo.org now returns HTTP 404. It is not needed: 59,061 for 1 January 2014 is printed in the Immigration Services Agency document archived here.","Ministry of Justice Immigration Bureau, Honpo ni okeru fuho zanryusha su ni tsuite (Heisei 26-nen 1-gatsu 1-nichi genzai), mirrored by Nisshinkyo",https://www.nisshinkyo.org/news/pdf/G-26-2.pdf
JPN,irregular_proxy_overstayers,2017-2019,3,"Immigration Services Agency of Japan, Honpo ni okeru fuho zanryusha su ni tsuite (Reiwa 3-nen 1-gatsu 1-nichi genzai), Table 1 (Dai-1-hyo)",https://www.moj.go.jp/isa/content/001344148.pdf,irregular_proxy_overstayers__3c80fc7397__www.moj.go.jp.pdf,,,
JPN,irregular_proxy_overstayers,2018-2022,5,"出入国在留管理庁 本邦における不法残留者数について (Immigration Services Agency of Japan, Number of Overstayers in Japan)",https://www.moj.go.jp/isa/content/001344904.pdf,irregular_proxy_overstayers__079fcae015__www.moj.go.jp.pdf,,,
JPN,irregular_proxy_overstayers,2020-2021,2,"Immigration Services Agency of Japan, Overstayers as of 1 January (本邦における不法残留者数について)",https://www.moj.go.jp/isa/publications/press/13_00013.html,irregular_proxy_overstayers__b84a36a0c9__www.moj.go.jp.html,,,
JPN,irregular_proxy_overstayers,2022-2022,1,"Immigration Services Agency of Japan, Overstayers as of 1 January (本邦における不法残留者数について)",https://www.moj.go.jp/isa/publications/press/13_00003.html,irregular_proxy_overstayers__9ff4b8949e__www.moj.go.jp.html,,,
JPN,population,2010-2022,13,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
JPN,population,2010-2022,13,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,data_raw/,Re-queried live and compared value by value on 2026-08-17,,
