workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Japan,JPN,2010,foreign_born,S2 UN DESA IMS2024,2161780.0,2161780.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2015,foreign_born,S2 UN DESA IMS2024,2577487.0,2577487.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2020,foreign_born,S2 UN DESA IMS2024,3289042.0,3289042.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2010,foreign_nationals,OECD IMD JPN_B15,2184724.0,2184724.0,0.0,0.0,EXACT,ok
FILE2,Japan,JPN,2011,foreign_nationals,OECD IMD JPN_B15,2132913.0,2132913.0,0.0,0.0,EXACT,ok
FILE2,Japan,JPN,2012,foreign_nationals,OECD IMD JPN_B15,2078508.0,2078508.0,0.0,0.0,EXACT,ok
FILE2,Japan,JPN,2013,foreign_nationals,OECD IMD JPN_B15,2033656.0,2033656.0,0.0,0.0,EXACT,ok
FILE2,Japan,JPN,2014,foreign_nationals,OECD IMD JPN_B15,2066445.0,2066445.0,0.0,0.0,EXACT,ok
FILE2,Japan,JPN,2015,foreign_nationals,OECD IMD JPN_B15,2121831.0,2121831.0,0.0,0.0,EXACT,ok
FILE2,Japan,JPN,2016,foreign_nationals,OECD IMD JPN_B15,2232189.0,2232189.0,0.0,0.0,EXACT,ok
FILE2,Japan,JPN,2017,foreign_nationals,OECD IMD JPN_B15,2382822.0,2382822.0,0.0,0.0,EXACT,ok
FILE2,Japan,JPN,2018,foreign_nationals,OECD IMD JPN_B15,2561848.0,2561848.0,0.0,0.0,EXACT,ok
FILE2,Japan,JPN,2019,foreign_nationals,OECD IMD JPN_B15,2731093.0,2731093.0,0.0,0.0,EXACT,ok
FILE2,Japan,JPN,2020,foreign_nationals,OECD IMD JPN_B15,2933137.0,2933137.0,0.0,0.0,EXACT,ok
FILE2,Japan,JPN,2021,foreign_nationals,OECD IMD JPN_B15,2887116.0,2887116.0,0.0,0.0,EXACT,ok
FILE2,Japan,JPN,2022,foreign_nationals,OECD IMD JPN_B15,2760635.0,2760635.0,0.0,0.0,EXACT,ok
FILE1,Japan,JPN,2010,population,S1 UN WPP2024,128185275.0,128185275.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2010,population,World Bank SP.POP.TOTL,128070000.0,128070000.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2011,population,S1 UN WPP2024,128096432.0,128096432.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2011,population,World Bank SP.POP.TOTL,127833000.0,127833000.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2012,population,S1 UN WPP2024,127928285.0,127928285.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2012,population,World Bank SP.POP.TOTL,127629000.0,127629000.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2013,population,S1 UN WPP2024,127723645.0,127723645.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2013,population,World Bank SP.POP.TOTL,127445000.0,127445000.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2014,population,S1 UN WPP2024,127486605.0,127486605.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2014,population,World Bank SP.POP.TOTL,127276000.0,127276000.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2015,population,S1 UN WPP2024,127275872.0,127275872.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2015,population,World Bank SP.POP.TOTL,127141000.0,127141000.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2016,population,S1 UN WPP2024,127159951.0,127159951.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2016,population,World Bank SP.POP.TOTL,127076000.0,127076000.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2017,population,S1 UN WPP2024,127064690.0,127064690.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2017,population,World Bank SP.POP.TOTL,126972000.0,126972000.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2018,population,S1 UN WPP2024,126913432.0,126913432.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2018,population,World Bank SP.POP.TOTL,126811000.0,126811000.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2019,population,S1 UN WPP2024,126699424.0,126699424.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2019,population,World Bank SP.POP.TOTL,126633000.0,126633000.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2020,population,S1 UN WPP2024,126304543.0,126304543.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2020,population,World Bank SP.POP.TOTL,126261000.0,126261000.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2021,population,S1 UN WPP2024,125679338.0,125679338.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2021,population,World Bank SP.POP.TOTL,125681593.0,125681593.0,0.0,0.0,EXACT,
FILE1,Japan,JPN,2022,population,S1 UN WPP2024,124997578.0,124997578.0,0.0,0.0,EXACT,
FILE2,Japan,JPN,2022,population,World Bank SP.POP.TOTL,125124989.0,125124989.0,0.0,0.0,EXACT,
