iso3,year,variable,value,source_name,source_url,notes,used_in_panel,live_source_check
KOR,2010,foreign_born,566098,UN DESA International Migrant Stock (retrieved via World Bank indicator SM.POP.TOTL),https://api.worldbank.org/v2/country/KOR/indicator/SM.POP.TOTL?format=json&date=2010:2022,"UN DESA International Migrant Stock, mid-year estimate. UN DESA publishes only 1990/1995/2000/2005/2010/2015/2020 - this is a 5-year-interval estimate, NOT an annual national figure. Korea does not publish an annual foreign-born stock; OECD IMD has no foreign-born series for Korea.",yes,EXACT
KOR,2015,foreign_born,1312172,UN DESA International Migrant Stock (retrieved via World Bank indicator SM.POP.TOTL),https://api.worldbank.org/v2/country/KOR/indicator/SM.POP.TOTL?format=json&date=2010:2022,"UN DESA International Migrant Stock, mid-year estimate. UN DESA publishes only 1990/1995/2000/2005/2010/2015/2020 - this is a 5-year-interval estimate, NOT an annual national figure. Korea does not publish an annual foreign-born stock; OECD IMD has no foreign-born series for Korea.",yes,EXACT
KOR,2020,foreign_born,1723389,UN DESA International Migrant Stock (retrieved via World Bank indicator SM.POP.TOTL),https://api.worldbank.org/v2/country/KOR/indicator/SM.POP.TOTL?format=json&date=2010:2022,"UN DESA International Migrant Stock, mid-year estimate. UN DESA publishes only 1990/1995/2000/2005/2010/2015/2020 - this is a 5-year-interval estimate, NOT an annual national figure. Korea does not publish an annual foreign-born stock; OECD IMD has no foreign-born series for Korea.",yes,EXACT
KOR,2010,foreign_nationals,1010020,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2011,foreign_nationals,1088638,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2012,foreign_nationals,1200079,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2013,foreign_nationals,1202270,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2014,foreign_nationals,1303777,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2015,foreign_nationals,1488882,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2016,foreign_nationals,1594768,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2017,foreign_nationals,1662759,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2018,foreign_nationals,1749563,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2019,foreign_nationals,1951097,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2020,foreign_nationals,2024578,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2021,foreign_nationals,1889454,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2022,foreign_nationals,1829774,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign residents in Korea (Ministry of Justice / Korea Immigration Service) as compiled by OECD IMD. Reference date 31 December.,yes,EXACT
KOR,2010,irregular_proxy_overstayers,168515,"Korean National Police University press, Cheryu oegugin beomjoe-e gwanhan gyeongchal-ui daeeung bangan (2015), Table 1, citing Ministry of Justice Korea Immigration Service statistical yearbook",https://press.police.ac.kr/pds/1476878914562.pdf,"illegal residents (불법체류자), calendar-year figure as tabulated in the MOJ Korea Immigration Service statistical yearbook (통계연보); the yearbook series is compiled as of 31 December. Predominantly visa overstayers. Source line: '출처: 법무부 출입국·외국인 정책본부, 통계연보 자료'. Korean government portals (data.go.kr, index.go.kr, kosis) block the fetcher, so this secondary academic tabulation of the MOJ series was used.",yes,not_machine_checkable
KOR,2011,irregular_proxy_overstayers,167780,"Korean National Police University press, Cheryu oegugin beomjoe-e gwanhan gyeongchal-ui daeeung bangan (2015), Table 1, citing Ministry of Justice Korea Immigration Service statistical yearbook",https://press.police.ac.kr/pds/1476878914562.pdf,"illegal residents (불법체류자), calendar-year figure as tabulated in the MOJ Korea Immigration Service statistical yearbook (통계연보); the yearbook series is compiled as of 31 December. Predominantly visa overstayers. Source line: '출처: 법무부 출입국·외국인 정책본부, 통계연보 자료'. Korean government portals (data.go.kr, index.go.kr, kosis) block the fetcher, so this secondary academic tabulation of the MOJ series was used.",yes,not_machine_checkable
KOR,2012,irregular_proxy_overstayers,177854,"Korean National Police University press, Cheryu oegugin beomjoe-e gwanhan gyeongchal-ui daeeung bangan (2015), Table 1, citing Ministry of Justice Korea Immigration Service statistical yearbook",https://press.police.ac.kr/pds/1476878914562.pdf,"illegal residents (불법체류자), calendar-year figure as tabulated in the MOJ Korea Immigration Service statistical yearbook (통계연보); the yearbook series is compiled as of 31 December. Predominantly visa overstayers. Source line: '출처: 법무부 출입국·외국인 정책본부, 통계연보 자료'. Korean government portals (data.go.kr, index.go.kr, kosis) block the fetcher, so this secondary academic tabulation of the MOJ series was used.",yes,not_machine_checkable
