workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Lithuania,LTU,2010,foreign_born,S2 UN DESA IMS2024,160772.0,160772.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2010,foreign_born,Eurostat migr_pop3ctb,160772.0,160772.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2011,foreign_born,Eurostat migr_pop3ctb,149544.0,149544.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2012,foreign_born,Eurostat migr_pop3ctb,143675.0,143675.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2013,foreign_born,Eurostat migr_pop3ctb,138297.0,138297.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2014,foreign_born,Eurostat migr_pop3ctb,133746.0,133746.0,0.0,0.0,EXACT,
FILE1,Lithuania,LTU,2015,foreign_born,S2 UN DESA IMS2024,136021.0,136021.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2015,foreign_born,Eurostat migr_pop3ctb,131929.0,131929.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2016,foreign_born,Eurostat migr_pop3ctb,126264.0,126264.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2017,foreign_born,Eurostat migr_pop3ctb,124964.0,124964.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2018,foreign_born,Eurostat migr_pop3ctb,132127.0,132127.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2019,foreign_born,Eurostat migr_pop3ctb,148679.0,148679.0,0.0,0.0,EXACT,
FILE1,Lithuania,LTU,2020,foreign_born,S2 UN DESA IMS2024,145184.0,145184.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2020,foreign_born,Eurostat migr_pop3ctb,153697.0,153697.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2021,foreign_born,Eurostat migr_pop3ctb,155586.0,155586.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2022,foreign_born,Eurostat migr_pop3ctb,168787.0,168787.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2010,foreign_nationals,Eurostat migr_pop1ctz,27318.0,27318.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2011,foreign_nationals,Eurostat migr_pop1ctz,24031.0,24031.0,0.0,0.0,EXACT,
FILE2,Lithuania,LTU,2012,foreign_nationals,Eurostat migr_pop1ctz,22865.0,22865.0,0.0,0.0,EXACT,
