iso3,year,variable,value,source_name,source_url,notes,used_in_panel,live_source_check
MEX,2010,foreign_born,961121,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/MEX.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Population born abroad; OECD IMD series sourced from INEGI. 2010 value (961121) corresponds to the Censo de Población y Vivienda 2010. Years 2016, 2017, 2019, 2021 and 2022 are not published.",yes,EXACT
MEX,2011,foreign_born,966778,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/MEX.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Population born abroad; OECD IMD series sourced from INEGI. 2010 value (961121) corresponds to the Censo de Población y Vivienda 2010. Years 2016, 2017, 2019, 2021 and 2022 are not published.",yes,EXACT
MEX,2012,foreign_born,973650,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/MEX.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Population born abroad; OECD IMD series sourced from INEGI. 2010 value (961121) corresponds to the Censo de Población y Vivienda 2010. Years 2016, 2017, 2019, 2021 and 2022 are not published.",yes,EXACT
MEX,2013,foreign_born,991160,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/MEX.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Population born abroad; OECD IMD series sourced from INEGI. 2010 value (961121) corresponds to the Censo de Población y Vivienda 2010. Years 2016, 2017, 2019, 2021 and 2022 are not published.",yes,EXACT
MEX,2014,foreign_born,939905,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/MEX.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Population born abroad; OECD IMD series sourced from INEGI. 2010 value (961121) corresponds to the Censo de Población y Vivienda 2010. Years 2016, 2017, 2019, 2021 and 2022 are not published.",yes,EXACT
MEX,2015,foreign_born,1007063,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/MEX.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Population born abroad; OECD IMD series sourced from INEGI. 2010 value (961121) corresponds to the Censo de Población y Vivienda 2010. Years 2016, 2017, 2019, 2021 and 2022 are not published.",yes,EXACT
MEX,2018,foreign_born,1074752,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/MEX.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Population born abroad; OECD IMD series sourced from INEGI. 2010 value (961121) corresponds to the Censo de Población y Vivienda 2010. Years 2016, 2017, 2019, 2021 and 2022 are not published.",yes,EXACT
MEX,2020,foreign_born,1169883,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/MEX.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Population born abroad; OECD IMD series sourced from INEGI. 2010 value (961121) corresponds to the Censo de Población y Vivienda 2010. Years 2016, 2017, 2019, 2021 and 2022 are not published.",yes,EXACT
MEX,2010,foreign_nationals,262672,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/MEX.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign nationals resident in Mexico; OECD IMD series sourced from INEGI (Census/ENADID/ENOE). Reference date varies by source year.,yes,EXACT
MEX,2011,foreign_nationals,281053,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/MEX.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",Foreign nationals resident in Mexico; OECD IMD series sourced from INEGI (Census/ENADID/ENOE). Reference date varies by source year.,yes,EXACT
