workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Mexico,MEX,2010,foreign_born,S2 UN DESA IMS2024,957593.0,957593.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2010,foreign_born,OECD IMD MEX_B14,961121.0,961121.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2011,foreign_born,OECD IMD MEX_B14,966778.0,966778.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2012,foreign_born,OECD IMD MEX_B14,973650.0,973650.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2013,foreign_born,OECD IMD MEX_B14,991160.0,991160.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2014,foreign_born,OECD IMD MEX_B14,939905.0,939905.0,0.0,0.0,EXACT,ok
FILE1,Mexico,MEX,2015,foreign_born,S2 UN DESA IMS2024,1088731.0,1088731.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2015,foreign_born,OECD IMD MEX_B14,1007063.0,1007063.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2018,foreign_born,OECD IMD MEX_B14,1074752.0,1074752.0,0.0,0.0,EXACT,ok
FILE1,Mexico,MEX,2020,foreign_born,S2 UN DESA IMS2024,1335154.0,1335154.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2020,foreign_born,OECD IMD MEX_B14,1169883.0,1169883.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2010,foreign_nationals,OECD IMD MEX_B15,262672.0,262672.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2011,foreign_nationals,OECD IMD MEX_B15,281053.0,281053.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2012,foreign_nationals,OECD IMD MEX_B15,303936.0,303936.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2013,foreign_nationals,OECD IMD MEX_B15,296447.0,296447.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2015,foreign_nationals,OECD IMD MEX_B15,325979.0,325979.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2016,foreign_nationals,OECD IMD MEX_B15,355206.0,355206.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2017,foreign_nationals,OECD IMD MEX_B15,381770.0,381770.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2018,foreign_nationals,OECD IMD MEX_B15,423864.0,423864.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2019,foreign_nationals,OECD IMD MEX_B15,461988.0,461988.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2020,foreign_nationals,OECD IMD MEX_B15,480328.0,480328.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2021,foreign_nationals,OECD IMD MEX_B15,579843.0,579843.0,0.0,0.0,EXACT,ok
FILE2,Mexico,MEX,2022,foreign_nationals,OECD IMD MEX_B15,720371.0,720371.0,0.0,0.0,EXACT,ok
FILE1,Mexico,MEX,2010,population,S1 UN WPP2024,113623895.0,113623895.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2010,population,World Bank SP.POP.TOTL,113623895.0,113623895.0,0.0,0.0,EXACT,
FILE1,Mexico,MEX,2011,population,S1 UN WPP2024,115243504.0,115243504.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2011,population,World Bank SP.POP.TOTL,115243504.0,115243504.0,0.0,0.0,EXACT,
FILE1,Mexico,MEX,2012,population,S1 UN WPP2024,116818208.0,116818208.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2012,population,World Bank SP.POP.TOTL,116818208.0,116818208.0,0.0,0.0,EXACT,
FILE1,Mexico,MEX,2013,population,S1 UN WPP2024,118343573.0,118343573.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2013,population,World Bank SP.POP.TOTL,118343573.0,118343573.0,0.0,0.0,EXACT,
FILE1,Mexico,MEX,2014,population,S1 UN WPP2024,119784261.0,119784261.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2014,population,World Bank SP.POP.TOTL,119784261.0,119784261.0,0.0,0.0,EXACT,
FILE1,Mexico,MEX,2015,population,S1 UN WPP2024,121072306.0,121072306.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2015,population,World Bank SP.POP.TOTL,121072306.0,121072306.0,0.0,0.0,EXACT,
FILE1,Mexico,MEX,2016,population,S1 UN WPP2024,122251351.0,122251351.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2016,population,World Bank SP.POP.TOTL,122251351.0,122251351.0,0.0,0.0,EXACT,
FILE1,Mexico,MEX,2017,population,S1 UN WPP2024,123400057.0,123400057.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2017,population,World Bank SP.POP.TOTL,123400057.0,123400057.0,0.0,0.0,EXACT,
FILE1,Mexico,MEX,2018,population,S1 UN WPP2024,124573711.0,124573711.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2018,population,World Bank SP.POP.TOTL,124573711.0,124573711.0,0.0,0.0,EXACT,
FILE1,Mexico,MEX,2019,population,S1 UN WPP2024,125762982.0,125762982.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2019,population,World Bank SP.POP.TOTL,125762982.0,125762982.0,0.0,0.0,EXACT,
FILE1,Mexico,MEX,2020,population,S1 UN WPP2024,126799054.0,126799054.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2020,population,World Bank SP.POP.TOTL,126799054.0,126799054.0,0.0,0.0,EXACT,
FILE1,Mexico,MEX,2021,population,S1 UN WPP2024,127648148.0,127648148.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2021,population,World Bank SP.POP.TOTL,127648148.0,127648148.0,0.0,0.0,EXACT,
FILE1,Mexico,MEX,2022,population,S1 UN WPP2024,128613117.0,128613117.0,0.0,0.0,EXACT,
FILE2,Mexico,MEX,2022,population,World Bank SP.POP.TOTL,128613117.0,128613117.0,0.0,0.0,EXACT,
