workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Netherlands,NLD,2010,foreign_born,S2 UN DESA IMS2024,1850649.0,1850649.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2010,foreign_born,Eurostat migr_pop3ctb,1832510.0,1832510.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2011,foreign_born,Eurostat migr_pop3ctb,1868655.0,1868655.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2012,foreign_born,Eurostat migr_pop3ctb,1906295.0,1906295.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2013,foreign_born,Eurostat migr_pop3ctb,1927728.0,1927728.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2014,foreign_born,Eurostat migr_pop3ctb,1953436.0,1953436.0,0.0,0.0,EXACT,
FILE1,Netherlands,NLD,2015,foreign_born,S2 UN DESA IMS2024,2024059.0,2024059.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2015,foreign_born,Eurostat migr_pop3ctb,1996318.0,1996318.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2016,foreign_born,Eurostat migr_pop3ctb,2056520.0,2056520.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2017,foreign_born,Eurostat migr_pop3ctb,2137234.0,2137234.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2018,foreign_born,Eurostat migr_pop3ctb,2215849.0,2215849.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2019,foreign_born,Eurostat migr_pop3ctb,2298705.0,2298705.0,0.0,0.0,EXACT,
FILE1,Netherlands,NLD,2020,foreign_born,S2 UN DESA IMS2024,2425521.0,2425521.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2020,foreign_born,Eurostat migr_pop3ctb,2399804.0,2399804.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2021,foreign_born,Eurostat migr_pop3ctb,2451157.0,2451157.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2022,foreign_born,Eurostat migr_pop3ctb,2550837.0,2550837.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2010,foreign_nationals,Eurostat migr_pop1ctz,652188.0,652188.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2011,foreign_nationals,Eurostat migr_pop1ctz,673235.0,673235.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2012,foreign_nationals,Eurostat migr_pop1ctz,697741.0,697741.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2013,foreign_nationals,Eurostat migr_pop1ctz,714552.0,714552.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2014,foreign_nationals,Eurostat migr_pop1ctz,735354.0,735354.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2015,foreign_nationals,Eurostat migr_pop1ctz,773288.0,773288.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2016,foreign_nationals,Eurostat migr_pop1ctz,834786.0,834786.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2017,foreign_nationals,Eurostat migr_pop1ctz,914997.0,914997.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2018,foreign_nationals,Eurostat migr_pop1ctz,991440.0,991440.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2019,foreign_nationals,Eurostat migr_pop1ctz,1068107.0,1068107.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2020,foreign_nationals,Eurostat migr_pop1ctz,1154830.0,1154830.0,0.0,0.0,EXACT,
FILE2,Netherlands,NLD,2021,foreign_nationals,Eurostat migr_pop1ctz,1171380.0,1171380.0,0.0,0.0,EXACT,
