workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Norway,NOR,2010,foreign_born,S2 UN DESA IMS2024,524601.0,524601.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2010,foreign_born,Eurostat migr_pop3ctb,529532.0,529532.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2011,foreign_born,Eurostat migr_pop3ctb,572231.0,572231.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2012,foreign_born,Eurostat migr_pop3ctb,619978.0,619978.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2013,foreign_born,Eurostat migr_pop3ctb,668178.0,668178.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2014,foreign_born,Eurostat migr_pop3ctb,709566.0,709566.0,0.0,0.0,EXACT,
FILE1,Norway,NOR,2015,foreign_born,S2 UN DESA IMS2024,746375.0,746375.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2015,foreign_born,Eurostat migr_pop3ctb,747423.0,747423.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2016,foreign_born,Eurostat migr_pop3ctb,778764.0,778764.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2017,foreign_born,Eurostat migr_pop3ctb,806618.0,806618.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2018,foreign_born,Eurostat migr_pop3ctb,829705.0,829705.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2019,foreign_born,Eurostat migr_pop3ctb,849354.0,849354.0,0.0,0.0,EXACT,
FILE1,Norway,NOR,2020,foreign_born,S2 UN DESA IMS2024,852238.0,852238.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2020,foreign_born,Eurostat migr_pop3ctb,875977.0,875977.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2021,foreign_born,Eurostat migr_pop3ctb,878153.0,878153.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2022,foreign_born,Eurostat migr_pop3ctb,906843.0,906843.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2010,foreign_nationals,Eurostat migr_pop1ctz,333791.0,333791.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2011,foreign_nationals,Eurostat migr_pop1ctz,369132.0,369132.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2012,foreign_nationals,Eurostat migr_pop1ctz,407171.0,407171.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2013,foreign_nationals,Eurostat migr_pop1ctz,448665.0,448665.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2014,foreign_nationals,Eurostat migr_pop1ctz,483057.0,483057.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2015,foreign_nationals,Eurostat migr_pop1ctz,512024.0,512024.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2016,foreign_nationals,Eurostat migr_pop1ctz,538087.0,538087.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2017,foreign_nationals,Eurostat migr_pop1ctz,559059.0,559059.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2018,foreign_nationals,Eurostat migr_pop1ctz,567594.0,567594.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2019,foreign_nationals,Eurostat migr_pop1ctz,584062.0,584062.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2020,foreign_nationals,Eurostat migr_pop1ctz,604362.0,604362.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2021,foreign_nationals,Eurostat migr_pop1ctz,601525.0,601525.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2022,foreign_nationals,Eurostat migr_pop1ctz,585964.0,585964.0,0.0,0.0,EXACT,
FILE1,Norway,NOR,2010,irregular_detections,S3 Eurostat migr_eipre,2410.0,2410.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2010,irregular_detections,Eurostat migr_eipre,2410.0,2410.0,0.0,0.0,EXACT,
FILE1,Norway,NOR,2011,irregular_detections,S3 Eurostat migr_eipre,1925.0,1925.0,0.0,0.0,EXACT,
FILE2,Norway,NOR,2011,irregular_detections,Eurostat migr_eipre,1925.0,1925.0,0.0,0.0,EXACT,
FILE1,Norway,NOR,2012,irregular_detections,S3 Eurostat migr_eipre,2760.0,2760.0,0.0,0.0,EXACT,
