iso3,year,variable,value,source_name,source_url,notes,used_in_panel,live_source_check
NZL,2010,foreign_born,956982,UN DESA International Migrant Stock (retrieved via World Bank indicator SM.POP.TOTL),https://api.worldbank.org/v2/country/NZL/indicator/SM.POP.TOTL?format=json&date=2010:2022,"UN DESA International Migrant Stock, mid-year estimate. UN DESA publishes only 1990/1995/2000/2005/2010/2015/2020 - 5-year-interval estimate, NOT an annual national figure. Stats NZ publishes overseas-born counts only in census years (2013, 2018, 2023).",yes,EXACT
NZL,2013,foreign_born,1001772,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/NZL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Overseas-born usually resident population from the New Zealand Census of Population and Dwellings (census years only), as compiled by OECD IMD.",yes,EXACT
NZL,2015,foreign_born,1132201,UN DESA International Migrant Stock (retrieved via World Bank indicator SM.POP.TOTL),https://api.worldbank.org/v2/country/NZL/indicator/SM.POP.TOTL?format=json&date=2010:2022,"UN DESA International Migrant Stock, mid-year estimate. UN DESA publishes only 1990/1995/2000/2005/2010/2015/2020 - 5-year-interval estimate, NOT an annual national figure. Stats NZ publishes overseas-born counts only in census years (2013, 2018, 2023).",yes,EXACT
NZL,2018,foreign_born,1329633,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/NZL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Overseas-born usually resident population from the New Zealand Census of Population and Dwellings (census years only), as compiled by OECD IMD.",yes,EXACT
NZL,2020,foreign_born,1343900,UN DESA International Migrant Stock (retrieved via World Bank indicator SM.POP.TOTL),https://api.worldbank.org/v2/country/NZL/indicator/SM.POP.TOTL?format=json&date=2010:2022,"UN DESA International Migrant Stock, mid-year estimate. UN DESA publishes only 1990/1995/2000/2005/2010/2015/2020 - 5-year-interval estimate, NOT an annual national figure. Stats NZ publishes overseas-born counts only in census years (2013, 2018, 2023).",yes,EXACT
NZL,2010,irregular_proxy_overstayers,15614,"Immigration New Zealand (MBIE), 'OVERSTAYERS' factsheet, October 2018, released under the Official Information Act and published on FYI.org.nz",https://fyi.org.nz/request/29926/response/118942/attach/4/Appendix%20A%20Immigration%20New%20Zealand%20Overstayers%20Factsheet%202017.pdf,"estimated overstayer population (people unlawfully in New Zealand), reference date October 2010. Register-derived estimate from the INZ overstayer estimate series; INZ notes the methodology was revised for the December 2017 estimate, so figures up to October 2014 / January 2016 are on the older basis. The same table also reports 15,760 for April 2010; the later 2010 estimate is used here.",yes,not_machine_checkable
NZL,2011,irregular_proxy_overstayers,15030,"Immigration New Zealand (MBIE), 'OVERSTAYERS' factsheet, October 2018, released under the Official Information Act and published on FYI.org.nz",https://fyi.org.nz/request/29926/response/118942/attach/4/Appendix%20A%20Immigration%20New%20Zealand%20Overstayers%20Factsheet%202017.pdf,"estimated overstayer population (people unlawfully in New Zealand), reference date May 2011. Register-derived estimate from the INZ overstayer estimate series; INZ notes the methodology was revised for the December 2017 estimate, so figures up to October 2014 / January 2016 are on the older basis.",yes,not_machine_checkable
NZL,2012,irregular_proxy_overstayers,14044,"Immigration New Zealand (MBIE), 'OVERSTAYERS' factsheet, October 2018, released under the Official Information Act and published on FYI.org.nz",https://fyi.org.nz/request/29926/response/118942/attach/4/Appendix%20A%20Immigration%20New%20Zealand%20Overstayers%20Factsheet%202017.pdf,"estimated overstayer population (people unlawfully in New Zealand), reference date August 2012. Register-derived estimate from the INZ overstayer estimate series; INZ notes the methodology was revised for the December 2017 estimate, so figures up to October 2014 / January 2016 are on the older basis.",yes,not_machine_checkable
NZL,2013,irregular_proxy_overstayers,13151,"Immigration New Zealand (MBIE), 'OVERSTAYERS' factsheet, October 2018, released under the Official Information Act and published on FYI.org.nz",https://fyi.org.nz/request/29926/response/118942/attach/4/Appendix%20A%20Immigration%20New%20Zealand%20Overstayers%20Factsheet%202017.pdf,"estimated overstayer population (people unlawfully in New Zealand), reference date September 2013. Register-derived estimate from the INZ overstayer estimate series; INZ notes the methodology was revised for the December 2017 estimate, so figures up to October 2014 / January 2016 are on the older basis.",yes,not_machine_checkable
NZL,2014,irregular_proxy_overstayers,12162,"Immigration New Zealand (MBIE), 'OVERSTAYERS' factsheet, October 2018, released under the Official Information Act and published on FYI.org.nz",https://fyi.org.nz/request/29926/response/118942/attach/4/Appendix%20A%20Immigration%20New%20Zealand%20Overstayers%20Factsheet%202017.pdf,"estimated overstayer population (people unlawfully in New Zealand), reference date October 2014. Register-derived estimate from the INZ overstayer estimate series; INZ notes the methodology was revised for the December 2017 estimate, so figures up to October 2014 / January 2016 are on the older basis.",yes,not_machine_checkable
NZL,2016,irregular_proxy_overstayers,10894,"Immigration New Zealand (MBIE), 'OVERSTAYERS' factsheet, October 2018, released under the Official Information Act and published on FYI.org.nz",https://fyi.org.nz/request/29926/response/118942/attach/4/Appendix%20A%20Immigration%20New%20Zealand%20Overstayers%20Factsheet%202017.pdf,"estimated overstayer population (people unlawfully in New Zealand), reference date December 2016. Register-derived estimate from the INZ overstayer estimate series; INZ notes the methodology was revised for the December 2017 estimate, so figures up to October 2014 / January 2016 are on the older basis. The same table also reports 10,848 for January 2016; the December 2016 estimate is used here.",yes,not_machine_checkable
NZL,2017,irregular_proxy_overstayers,14000,"Immigration New Zealand, New estimate of people who have overstayed their visa (5 September 2025)",https://immigration.govt.nz/assets/inz/documents/visa-paks/5-September-2025-New-estimate-of-people-who-have-overstayed-their-visa.pdf,"Reference year 2017. Register-derived estimate of the overstayer population, published as 'approximately 14,000'; INZ states it is not directly comparable with its later (2025) estimate because the methodology changed.",yes,not_machine_checkable
NZL,2010,population,4350700,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
NZL,2011,population,4384000,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
NZL,2012,population,4408100,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
NZL,2013,population,4442100,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
NZL,2014,population,4516500,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
NZL,2015,population,4609400,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
NZL,2016,population,4714100,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
NZL,2017,population,4813600,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
NZL,2018,population,4900600,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
NZL,2019,population,4970300,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
NZL,2020,population,5072400,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
NZL,2021,population,5084600,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
NZL,2022,population,5081700,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
