workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Philippines,PHL,2010,foreign_born,S2 UN DESA IMS2024,178147.0,178147.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2010,foreign_born,World Bank SM.POP.TOTL,178147.0,178147.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2015,foreign_born,S2 UN DESA IMS2024,131897.0,131897.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2015,foreign_born,World Bank SM.POP.TOTL,131897.0,131897.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2020,foreign_born,S2 UN DESA IMS2024,87212.0,87212.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2020,foreign_born,World Bank SM.POP.TOTL,87212.0,87212.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2010,population,S1 UN WPP2024,96337125.0,96337125.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2010,population,World Bank SP.POP.TOTL,96337125.0,96337125.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2011,population,S1 UN WPP2024,98248614.0,98248614.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2011,population,World Bank SP.POP.TOTL,98248614.0,98248614.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2012,population,S1 UN WPP2024,100175512.0,100175512.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2012,population,World Bank SP.POP.TOTL,100175512.0,100175512.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2013,population,S1 UN WPP2024,102076336.0,102076336.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2013,population,World Bank SP.POP.TOTL,102076336.0,102076336.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2014,population,S1 UN WPP2024,103767130.0,103767130.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2014,population,World Bank SP.POP.TOTL,103767130.0,103767130.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2015,population,S1 UN WPP2024,105312992.0,105312992.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2015,population,World Bank SP.POP.TOTL,105312992.0,105312992.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2016,population,S1 UN WPP2024,106735719.0,106735719.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2016,population,World Bank SP.POP.TOTL,106735719.0,106735719.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2017,population,S1 UN WPP2024,108119693.0,108119693.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2017,population,World Bank SP.POP.TOTL,108119693.0,108119693.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2018,population,S1 UN WPP2024,109465287.0,109465287.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2018,population,World Bank SP.POP.TOTL,109465287.0,109465287.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2019,population,S1 UN WPP2024,110804683.0,110804683.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2019,population,World Bank SP.POP.TOTL,110804683.0,110804683.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2020,population,S1 UN WPP2024,112081264.0,112081264.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2020,population,World Bank SP.POP.TOTL,112081264.0,112081264.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2021,population,S1 UN WPP2024,113100950.0,113100950.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2021,population,World Bank SP.POP.TOTL,113100950.0,113100950.0,0.0,0.0,EXACT,
FILE1,Philippines,PHL,2022,population,S1 UN WPP2024,113964338.0,113964338.0,0.0,0.0,EXACT,
FILE2,Philippines,PHL,2022,population,World Bank SP.POP.TOTL,113964338.0,113964338.0,0.0,0.0,EXACT,
