workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Poland,POL,2010,foreign_born,S2 UN DESA IMS2024,649114.0,649114.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2010,foreign_born,Eurostat migr_pop3ctb,642417.0,642417.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2011,foreign_born,Eurostat migr_pop3ctb,637408.0,637408.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2012,foreign_born,Eurostat migr_pop3ctb,630478.0,630478.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2013,foreign_born,Eurostat migr_pop3ctb,625363.0,625363.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2014,foreign_born,Eurostat migr_pop3ctb,620308.0,620308.0,0.0,0.0,EXACT,
FILE1,Poland,POL,2015,foreign_born,S2 UN DESA IMS2024,683663.0,683663.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2015,foreign_born,Eurostat migr_pop3ctb,611855.0,611855.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2016,foreign_born,Eurostat migr_pop3ctb,626396.0,626396.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2017,foreign_born,Eurostat migr_pop3ctb,651845.0,651845.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2018,foreign_born,Eurostat migr_pop3ctb,695850.0,695850.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2019,foreign_born,Eurostat migr_pop3ctb,760849.0,760849.0,0.0,0.0,EXACT,
FILE1,Poland,POL,2020,foreign_born,S2 UN DESA IMS2024,738099.0,738099.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2020,foreign_born,Eurostat migr_pop3ctb,849320.0,849320.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2021,foreign_born,Eurostat migr_pop3ctb,935740.0,935740.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2022,foreign_born,Eurostat migr_pop3ctb,931158.0,931158.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2010,foreign_nationals,Eurostat migr_pop1ctz,75210.0,75210.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2011,foreign_nationals,Eurostat migr_pop1ctz,79338.0,79338.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2012,foreign_nationals,Eurostat migr_pop1ctz,85829.0,85829.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2013,foreign_nationals,Eurostat migr_pop1ctz,93265.0,93265.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2014,foreign_nationals,Eurostat migr_pop1ctz,101204.0,101204.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2015,foreign_nationals,Eurostat migr_pop1ctz,108279.0,108279.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2016,foreign_nationals,Eurostat migr_pop1ctz,149586.0,149586.0,0.0,0.0,EXACT,
FILE2,Poland,POL,2017,foreign_nationals,Eurostat migr_pop1ctz,210328.0,210328.0,0.0,0.0,EXACT,
