workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Portugal,PRT,2010,foreign_born,S2 UN DESA IMS2024,762825.0,762825.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2010,foreign_born,Eurostat migr_pop3ctb,762825.0,762825.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2011,foreign_born,Eurostat migr_pop3ctb,755484.0,755484.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2012,foreign_born,Eurostat migr_pop3ctb,1221227.0,1221227.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2013,foreign_born,Eurostat migr_pop3ctb,1197532.0,1197532.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2014,foreign_born,Eurostat migr_pop3ctb,1176104.0,1176104.0,0.0,0.0,EXACT,
FILE1,Portugal,PRT,2015,foreign_born,S2 UN DESA IMS2024,864814.0,864814.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2015,foreign_born,Eurostat migr_pop3ctb,1160656.0,1160656.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2016,foreign_born,Eurostat migr_pop3ctb,1170320.0,1170320.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2017,foreign_born,Eurostat migr_pop3ctb,1200249.0,1200249.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2018,foreign_born,Eurostat migr_pop3ctb,1236888.0,1236888.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2019,foreign_born,Eurostat migr_pop3ctb,1307266.0,1307266.0,0.0,0.0,EXACT,
FILE1,Portugal,PRT,2020,foreign_born,S2 UN DESA IMS2024,1001963.0,1001963.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2020,foreign_born,Eurostat migr_pop3ctb,1416498.0,1416498.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2021,foreign_born,Eurostat migr_pop3ctb,1495524.0,1495524.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2022,foreign_born,Eurostat migr_pop3ctb,1568066.0,1568066.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2010,foreign_nationals,Eurostat migr_pop1ctz,454191.0,454191.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2011,foreign_nationals,Eurostat migr_pop1ctz,445262.0,445262.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2012,foreign_nationals,Eurostat migr_pop1ctz,413011.0,413011.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2013,foreign_nationals,Eurostat migr_pop1ctz,393908.0,393908.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2014,foreign_nationals,Eurostat migr_pop1ctz,377436.0,377436.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2015,foreign_nationals,Eurostat migr_pop1ctz,366869.0,366869.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2016,foreign_nationals,Eurostat migr_pop1ctz,360961.0,360961.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2017,foreign_nationals,Eurostat migr_pop1ctz,370080.0,370080.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2018,foreign_nationals,Eurostat migr_pop1ctz,387943.0,387943.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2019,foreign_nationals,Eurostat migr_pop1ctz,441863.0,441863.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2020,foreign_nationals,Eurostat migr_pop1ctz,520487.0,520487.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2021,foreign_nationals,Eurostat migr_pop1ctz,595794.0,595794.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2022,foreign_nationals,Eurostat migr_pop1ctz,643347.0,643347.0,0.0,0.0,EXACT,
FILE1,Portugal,PRT,2010,irregular_detections,S3 Eurostat migr_eipre,10085.0,10085.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2010,irregular_detections,Eurostat migr_eipre,9230.0,10085.0,-855.0,-8.477937530986614,MISMATCH,
FILE1,Portugal,PRT,2011,irregular_detections,S3 Eurostat migr_eipre,9230.0,9230.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2011,irregular_detections,Eurostat migr_eipre,9110.0,9230.0,-120.0,-1.3001083423618636,MISMATCH,
FILE1,Portugal,PRT,2012,irregular_detections,S3 Eurostat migr_eipre,9110.0,9110.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2012,irregular_detections,Eurostat migr_eipre,5155.0,9110.0,-3955.0,-43.41383095499451,MISMATCH,
FILE1,Portugal,PRT,2013,irregular_detections,S3 Eurostat migr_eipre,5155.0,5155.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2013,irregular_detections,Eurostat migr_eipre,4530.0,5155.0,-625.0,-12.124151309408342,MISMATCH,
FILE1,Portugal,PRT,2014,irregular_detections,S3 Eurostat migr_eipre,4530.0,4530.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2014,irregular_detections,Eurostat migr_eipre,5145.0,4530.0,615.0,13.57615894039735,MISMATCH,
FILE1,Portugal,PRT,2015,irregular_detections,S3 Eurostat migr_eipre,5145.0,5145.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2015,irregular_detections,Eurostat migr_eipre,6500.0,5145.0,1355.0,26.336248785228378,MISMATCH,
FILE1,Portugal,PRT,2016,irregular_detections,S3 Eurostat migr_eipre,6500.0,6500.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2016,irregular_detections,Eurostat migr_eipre,6005.0,6500.0,-495.0,-7.615384615384616,MISMATCH,
FILE1,Portugal,PRT,2017,irregular_detections,S3 Eurostat migr_eipre,6005.0,6005.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2017,irregular_detections,Eurostat migr_eipre,4760.0,6005.0,-1245.0,-20.73272273105745,MISMATCH,
FILE1,Portugal,PRT,2018,irregular_detections,S3 Eurostat migr_eipre,4760.0,4760.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2018,irregular_detections,Eurostat migr_eipre,5890.0,4760.0,1130.0,23.739495798319325,MISMATCH,
FILE1,Portugal,PRT,2019,irregular_detections,S3 Eurostat migr_eipre,5890.0,5890.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2019,irregular_detections,Eurostat migr_eipre,3145.0,5890.0,-2745.0,-46.6044142614601,MISMATCH,
FILE1,Portugal,PRT,2020,irregular_detections,S3 Eurostat migr_eipre,3145.0,3145.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2020,irregular_detections,Eurostat migr_eipre,1855.0,3145.0,-1290.0,-41.0174880763116,MISMATCH,
FILE1,Portugal,PRT,2021,irregular_detections,S3 Eurostat migr_eipre,1855.0,1855.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2021,irregular_detections,Eurostat migr_eipre,2170.0,1855.0,315.0,16.9811320754717,MISMATCH,
FILE1,Portugal,PRT,2022,irregular_detections,S3 Eurostat migr_eipre,2170.0,2170.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2022,irregular_detections,Eurostat migr_eipre,1615.0,2170.0,-555.0,-25.57603686635945,MISMATCH,
FILE1,Portugal,PRT,2010,population,S1 UN WPP2024,10578660.0,10578660.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2010,population,World Bank SP.POP.TOTL,10573100.0,10573100.0,0.0,0.0,EXACT,
FILE1,Portugal,PRT,2011,population,S1 UN WPP2024,10557052.0,10557052.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2011,population,World Bank SP.POP.TOTL,10557560.0,10557560.0,0.0,0.0,EXACT,
FILE1,Portugal,PRT,2012,population,S1 UN WPP2024,10513150.0,10513150.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2012,population,World Bank SP.POP.TOTL,10514844.0,10514844.0,0.0,0.0,EXACT,
FILE1,Portugal,PRT,2013,population,S1 UN WPP2024,10458298.0,10458298.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2013,population,World Bank SP.POP.TOTL,10457295.0,10457295.0,0.0,0.0,EXACT,
FILE1,Portugal,PRT,2014,population,S1 UN WPP2024,10406199.0,10406199.0,0.0,0.0,EXACT,
FILE2,Portugal,PRT,2014,population,World Bank SP.POP.TOTL,10401062.0,10401062.0,0.0,0.0,EXACT,
