workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Russia,RUS,2010,foreign_born,S2 UN DESA IMS2024,11199727.0,11199727.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2010,foreign_born,World Bank SM.POP.TOTL,11199727.0,11199727.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2015,foreign_born,S2 UN DESA IMS2024,9098229.0,9098229.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2015,foreign_born,World Bank SM.POP.TOTL,9098229.0,9098229.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2020,foreign_born,S2 UN DESA IMS2024,7297611.0,7297611.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2020,foreign_born,World Bank SM.POP.TOTL,7297611.0,7297611.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2010,population,S1 UN WPP2024,143934465.0,143934465.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2010,population,World Bank SP.POP.TOTL,142849468.0,142849468.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2011,population,S1 UN WPP2024,144043748.0,144043748.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2011,population,World Bank SP.POP.TOTL,143018195.0,143018195.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2012,population,S1 UN WPP2024,144291029.0,144291029.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2012,population,World Bank SP.POP.TOTL,143378447.0,143378447.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2013,population,S1 UN WPP2024,144604098.0,144604098.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2013,population,World Bank SP.POP.TOTL,143805638.0,143805638.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2014,population,S1 UN WPP2024,144925638.0,144925638.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2014,population,World Bank SP.POP.TOTL,144237223.0,144237223.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2015,population,S1 UN WPP2024,145307616.0,145307616.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2015,population,World Bank SP.POP.TOTL,144640716.0,144640716.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2016,population,S1 UN WPP2024,145778677.0,145778677.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2016,population,World Bank SP.POP.TOTL,145015460.0,145015460.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2017,population,S1 UN WPP2024,146186799.0,146186799.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2017,population,World Bank SP.POP.TOTL,145293260.0,145293260.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2018,population,S1 UN WPP2024,146430146.0,146430146.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2018,population,World Bank SP.POP.TOTL,145398106.0,145398106.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2019,population,S1 UN WPP2024,146533067.0,146533067.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2019,population,World Bank SP.POP.TOTL,145453291.0,145453291.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2020,population,S1 UN WPP2024,146371299.0,146371299.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2020,population,World Bank SP.POP.TOTL,145245148.0,145245148.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2021,population,S1 UN WPP2024,145836175.0,145836175.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2021,population,World Bank SP.POP.TOTL,144746762.0,144746762.0,0.0,0.0,EXACT,
FILE1,Russia,RUS,2022,population,S1 UN WPP2024,145579899.0,145579899.0,0.0,0.0,EXACT,
FILE2,Russia,RUS,2022,population,World Bank SP.POP.TOTL,144236933.0,144236933.0,0.0,0.0,EXACT,
