workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Suriname,SUR,2010,foreign_born,S2 UN DESA IMS2024,39713.0,39713.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2010,foreign_born,World Bank SM.POP.TOTL,39713.0,39713.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2015,foreign_born,S2 UN DESA IMS2024,43127.0,43127.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2015,foreign_born,World Bank SM.POP.TOTL,43127.0,43127.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2020,foreign_born,S2 UN DESA IMS2024,47801.0,47801.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2020,foreign_born,World Bank SM.POP.TOTL,47801.0,47801.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2010,population,S1 UN WPP2024,549923.0,549923.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2010,population,World Bank SP.POP.TOTL,549923.0,549923.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2011,population,S1 UN WPP2024,556269.0,556269.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2011,population,World Bank SP.POP.TOTL,556269.0,556269.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2012,population,S1 UN WPP2024,562633.0,562633.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2012,population,World Bank SP.POP.TOTL,562633.0,562633.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2013,population,S1 UN WPP2024,569020.0,569020.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2013,population,World Bank SP.POP.TOTL,569020.0,569020.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2014,population,S1 UN WPP2024,575373.0,575373.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2014,population,World Bank SP.POP.TOTL,575373.0,575373.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2015,population,S1 UN WPP2024,581627.0,581627.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2015,population,World Bank SP.POP.TOTL,581627.0,581627.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2016,population,S1 UN WPP2024,587757.0,587757.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2016,population,World Bank SP.POP.TOTL,587757.0,587757.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2017,population,S1 UN WPP2024,593713.0,593713.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2017,population,World Bank SP.POP.TOTL,593713.0,593713.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2018,population,S1 UN WPP2024,599513.0,599513.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2018,population,World Bank SP.POP.TOTL,599513.0,599513.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2019,population,S1 UN WPP2024,605768.0,605768.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2019,population,World Bank SP.POP.TOTL,605768.0,605768.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2020,population,S1 UN WPP2024,612317.0,612317.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2020,population,World Bank SP.POP.TOTL,612317.0,612317.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2021,population,S1 UN WPP2024,617896.0,617896.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2021,population,World Bank SP.POP.TOTL,617896.0,617896.0,0.0,0.0,EXACT,
FILE1,Suriname,SUR,2022,population,S1 UN WPP2024,623164.0,623164.0,0.0,0.0,EXACT,
FILE2,Suriname,SUR,2022,population,World Bank SP.POP.TOTL,623164.0,623164.0,0.0,0.0,EXACT,
