workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Slovakia,SVK,2010,foreign_born,S2 UN DESA IMS2024,146319.0,146319.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2010,foreign_born,Eurostat migr_pop3ctb,64422.0,64422.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2011,foreign_born,Eurostat migr_pop3ctb,68135.0,68135.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2012,foreign_born,Eurostat migr_pop3ctb,156883.0,156883.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2013,foreign_born,Eurostat migr_pop3ctb,158164.0,158164.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2014,foreign_born,Eurostat migr_pop3ctb,174908.0,174908.0,0.0,0.0,EXACT,
FILE1,Slovakia,SVK,2015,foreign_born,S2 UN DESA IMS2024,177624.0,177624.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2015,foreign_born,Eurostat migr_pop3ctb,177624.0,177624.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2016,foreign_born,Eurostat migr_pop3ctb,181642.0,181642.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2017,foreign_born,Eurostat migr_pop3ctb,186217.0,186217.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2018,foreign_born,Eurostat migr_pop3ctb,190308.0,190308.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2019,foreign_born,Eurostat migr_pop3ctb,194389.0,194389.0,0.0,0.0,EXACT,
FILE1,Slovakia,SVK,2020,foreign_born,S2 UN DESA IMS2024,197161.0,197161.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2020,foreign_born,Eurostat migr_pop3ctb,198429.0,198429.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2021,foreign_born,Eurostat migr_pop3ctb,201941.0,201941.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2022,foreign_born,Eurostat migr_pop3ctb,213171.0,213171.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2010,foreign_nationals,Eurostat migr_pop1ctz,65894.0,65894.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2011,foreign_nationals,Eurostat migr_pop1ctz,69607.0,69607.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2012,foreign_nationals,Eurostat migr_pop1ctz,70727.0,70727.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2013,foreign_nationals,Eurostat migr_pop1ctz,72925.0,72925.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2014,foreign_nationals,Eurostat migr_pop1ctz,59151.0,59151.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2015,foreign_nationals,Eurostat migr_pop1ctz,61766.0,61766.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2016,foreign_nationals,Eurostat migr_pop1ctz,65840.0,65840.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2017,foreign_nationals,Eurostat migr_pop1ctz,69695.0,69695.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2018,foreign_nationals,Eurostat migr_pop1ctz,72883.0,72883.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2019,foreign_nationals,Eurostat migr_pop1ctz,76116.0,76116.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2020,foreign_nationals,Eurostat migr_pop1ctz,78936.0,78936.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2021,foreign_nationals,Eurostat migr_pop1ctz,82075.0,82075.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2022,foreign_nationals,Eurostat migr_pop1ctz,60142.0,60142.0,0.0,0.0,EXACT,
FILE1,Slovakia,SVK,2010,irregular_detections,S3 Eurostat migr_eipre,1440.0,1440.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2010,irregular_detections,Eurostat migr_eipre,1440.0,1440.0,0.0,0.0,EXACT,
FILE1,Slovakia,SVK,2011,irregular_detections,S3 Eurostat migr_eipre,1145.0,1145.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2011,irregular_detections,Eurostat migr_eipre,1145.0,1145.0,0.0,0.0,EXACT,
FILE1,Slovakia,SVK,2012,irregular_detections,S3 Eurostat migr_eipre,1395.0,1395.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2012,irregular_detections,Eurostat migr_eipre,1395.0,1395.0,0.0,0.0,EXACT,
FILE1,Slovakia,SVK,2013,irregular_detections,S3 Eurostat migr_eipre,1025.0,1025.0,0.0,0.0,EXACT,
FILE2,Slovak Republic,SVK,2013,irregular_detections,Eurostat migr_eipre,1025.0,1025.0,0.0,0.0,EXACT,
FILE1,Slovakia,SVK,2014,irregular_detections,S3 Eurostat migr_eipre,1155.0,1155.0,0.0,0.0,EXACT,
