workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Slovenia,SVN,2010,foreign_born,S2 UN DESA IMS2024,253786.0,253786.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2010,foreign_born,Eurostat migr_pop3ctb,253786.0,253786.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2011,foreign_born,Eurostat migr_pop3ctb,228588.0,228588.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2012,foreign_born,Eurostat migr_pop3ctb,230109.0,230109.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2013,foreign_born,Eurostat migr_pop3ctb,232703.0,232703.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2014,foreign_born,Eurostat migr_pop3ctb,235310.0,235310.0,0.0,0.0,EXACT,
FILE1,Slovenia,SVN,2015,foreign_born,S2 UN DESA IMS2024,237616.0,237616.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2015,foreign_born,Eurostat migr_pop3ctb,237616.0,237616.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2016,foreign_born,Eurostat migr_pop3ctb,241203.0,241203.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2017,foreign_born,Eurostat migr_pop3ctb,245369.0,245369.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2018,foreign_born,Eurostat migr_pop3ctb,250226.0,250226.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2019,foreign_born,Eurostat migr_pop3ctb,265072.0,265072.0,0.0,0.0,EXACT,
FILE1,Slovenia,SVN,2020,foreign_born,S2 UN DESA IMS2024,277964.0,277964.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2020,foreign_born,Eurostat migr_pop3ctb,281621.0,281621.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2021,foreign_born,Eurostat migr_pop3ctb,292824.0,292824.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2022,foreign_born,Eurostat migr_pop3ctb,294533.0,294533.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2010,foreign_nationals,Eurostat migr_pop1ctz,82176.0,82176.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2011,foreign_nationals,Eurostat migr_pop1ctz,82746.0,82746.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2012,foreign_nationals,Eurostat migr_pop1ctz,85555.0,85555.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2013,foreign_nationals,Eurostat migr_pop1ctz,91385.0,91385.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2014,foreign_nationals,Eurostat migr_pop1ctz,96608.0,96608.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2015,foreign_nationals,Eurostat migr_pop1ctz,101532.0,101532.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2016,foreign_nationals,Eurostat migr_pop1ctz,107766.0,107766.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2017,foreign_nationals,Eurostat migr_pop1ctz,114438.0,114438.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2018,foreign_nationals,Eurostat migr_pop1ctz,121875.0,121875.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2019,foreign_nationals,Eurostat migr_pop1ctz,138193.0,138193.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2020,foreign_nationals,Eurostat migr_pop1ctz,156351.0,156351.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2021,foreign_nationals,Eurostat migr_pop1ctz,168651.0,168651.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2022,foreign_nationals,Eurostat migr_pop1ctz,172442.0,172442.0,0.0,0.0,EXACT,
FILE1,Slovenia,SVN,2010,irregular_detections,S3 Eurostat migr_eipre,3415.0,3415.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2010,irregular_detections,Eurostat migr_eipre,3415.0,3415.0,0.0,0.0,EXACT,
FILE1,Slovenia,SVN,2011,irregular_detections,S3 Eurostat migr_eipre,4350.0,4350.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2011,irregular_detections,Eurostat migr_eipre,4350.0,4350.0,0.0,0.0,EXACT,
FILE1,Slovenia,SVN,2012,irregular_detections,S3 Eurostat migr_eipre,1555.0,1555.0,0.0,0.0,EXACT,
FILE2,Slovenia,SVN,2012,irregular_detections,Eurostat migr_eipre,1555.0,1555.0,0.0,0.0,EXACT,
