workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Sweden,SWE,2010,foreign_born,S2 UN DESA IMS2024,1372074.0,1372074.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2010,foreign_born,Eurostat migr_pop3ctb,1337214.0,1337214.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2011,foreign_born,Eurostat migr_pop3ctb,1384111.0,1384111.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2012,foreign_born,Eurostat migr_pop3ctb,1426402.0,1426402.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2013,foreign_born,Eurostat migr_pop3ctb,1472353.0,1472353.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2014,foreign_born,Eurostat migr_pop3ctb,1532563.0,1532563.0,0.0,0.0,EXACT,
FILE1,Sweden,SWE,2015,foreign_born,S2 UN DESA IMS2024,1638195.0,1638195.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2015,foreign_born,Eurostat migr_pop3ctb,1602522.0,1602522.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2016,foreign_born,Eurostat migr_pop3ctb,1675116.0,1675116.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2017,foreign_born,Eurostat migr_pop3ctb,1783179.0,1783179.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2018,foreign_born,Eurostat migr_pop3ctb,1875637.0,1875637.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2019,foreign_born,Eurostat migr_pop3ctb,1954065.0,1954065.0,0.0,0.0,EXACT,
FILE1,Sweden,SWE,2020,foreign_born,S2 UN DESA IMS2024,2033902.0,2033902.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2020,foreign_born,Eurostat migr_pop3ctb,2018191.0,2018191.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2021,foreign_born,Eurostat migr_pop3ctb,2045234.0,2045234.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2022,foreign_born,Eurostat migr_pop3ctb,2089008.0,2089008.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2010,foreign_nationals,Eurostat migr_pop1ctz,590475.0,590475.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2011,foreign_nationals,Eurostat migr_pop1ctz,622275.0,622275.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2012,foreign_nationals,Eurostat migr_pop1ctz,646095.0,646095.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2013,foreign_nationals,Eurostat migr_pop1ctz,659374.0,659374.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2014,foreign_nationals,Eurostat migr_pop1ctz,687192.0,687192.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2015,foreign_nationals,Eurostat migr_pop1ctz,731215.0,731215.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2016,foreign_nationals,Eurostat migr_pop1ctz,773232.0,773232.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2017,foreign_nationals,Eurostat migr_pop1ctz,841165.0,841165.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2018,foreign_nationals,Eurostat migr_pop1ctz,885839.0,885839.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2019,foreign_nationals,Eurostat migr_pop1ctz,920144.0,920144.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2020,foreign_nationals,Eurostat migr_pop1ctz,927774.0,927774.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2021,foreign_nationals,Eurostat migr_pop1ctz,892254.0,892254.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2022,foreign_nationals,Eurostat migr_pop1ctz,868193.0,868193.0,0.0,0.0,EXACT,
FILE1,Sweden,SWE,2010,irregular_detections,S3 Eurostat migr_eipre,27460.0,27460.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2010,irregular_detections,Eurostat migr_eipre,20765.0,27460.0,-6695.0,-24.3809176984705,MISMATCH,
FILE1,Sweden,SWE,2011,irregular_detections,S3 Eurostat migr_eipre,20765.0,20765.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2011,irregular_detections,Eurostat migr_eipre,23205.0,20765.0,2440.0,11.750541777028657,MISMATCH,
FILE1,Sweden,SWE,2012,irregular_detections,S3 Eurostat migr_eipre,23205.0,23205.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2012,irregular_detections,Eurostat migr_eipre,24400.0,23205.0,1195.0,5.1497522085757375,MISMATCH,
FILE1,Sweden,SWE,2013,irregular_detections,S3 Eurostat migr_eipre,24400.0,24400.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2013,irregular_detections,Eurostat migr_eipre,72835.0,24400.0,48435.0,198.50409836065572,MISMATCH,
FILE1,Sweden,SWE,2014,irregular_detections,S3 Eurostat migr_eipre,72835.0,72835.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2014,irregular_detections,Eurostat migr_eipre,1445.0,72835.0,-71390.0,-98.01606370563604,MISMATCH,
FILE1,Sweden,SWE,2015,irregular_detections,S3 Eurostat migr_eipre,1445.0,1445.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2015,irregular_detections,Eurostat migr_eipre,1210.0,1445.0,-235.0,-16.26297577854671,MISMATCH,
FILE1,Sweden,SWE,2016,irregular_detections,S3 Eurostat migr_eipre,1210.0,1210.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2016,irregular_detections,Eurostat migr_eipre,2145.0,1210.0,935.0,77.27272727272727,MISMATCH,
FILE1,Sweden,SWE,2017,irregular_detections,S3 Eurostat migr_eipre,2145.0,2145.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2017,irregular_detections,Eurostat migr_eipre,1720.0,2145.0,-425.0,-19.81351981351981,MISMATCH,
FILE1,Sweden,SWE,2018,irregular_detections,S3 Eurostat migr_eipre,1720.0,1720.0,0.0,0.0,EXACT,
FILE2,Sweden,SWE,2018,irregular_detections,Eurostat migr_eipre,2170.0,1720.0,450.0,26.16279069767442,MISMATCH,
FILE1,Sweden,SWE,2019,irregular_detections,S3 Eurostat migr_eipre,2170.0,2170.0,0.0,0.0,EXACT,
