workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Thailand,THA,2010,foreign_born,S2 UN DESA IMS2024,2640454.0,2640454.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2010,foreign_born,World Bank SM.POP.TOTL,2640454.0,2640454.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2015,foreign_born,S2 UN DESA IMS2024,2853248.0,2853248.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2015,foreign_born,World Bank SM.POP.TOTL,2853248.0,2853248.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2020,foreign_born,S2 UN DESA IMS2024,3015007.0,3015007.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2020,foreign_born,World Bank SM.POP.TOTL,3015007.0,3015007.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2010,population,S1 UN WPP2024,68579447.0,68579447.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2010,population,World Bank SP.POP.TOTL,68579447.0,68579447.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2011,population,S1 UN WPP2024,69007208.0,69007208.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2011,population,World Bank SP.POP.TOTL,69007208.0,69007208.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2012,population,S1 UN WPP2024,69436098.0,69436098.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2012,population,World Bank SP.POP.TOTL,69436098.0,69436098.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2013,population,S1 UN WPP2024,69845114.0,69845114.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2013,population,World Bank SP.POP.TOTL,69845114.0,69845114.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2014,population,S1 UN WPP2024,70216367.0,70216367.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2014,population,World Bank SP.POP.TOTL,70216367.0,70216367.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2015,population,S1 UN WPP2024,70540795.0,70540795.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2015,population,World Bank SP.POP.TOTL,70540795.0,70540795.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2016,population,S1 UN WPP2024,70859841.0,70859841.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2016,population,World Bank SP.POP.TOTL,70859841.0,70859841.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2017,population,S1 UN WPP2024,71160187.0,71160187.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2017,population,World Bank SP.POP.TOTL,71160187.0,71160187.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2018,population,S1 UN WPP2024,71376079.0,71376079.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2018,population,World Bank SP.POP.TOTL,71376079.0,71376079.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2019,population,S1 UN WPP2024,71522271.0,71522271.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2019,population,World Bank SP.POP.TOTL,71522271.0,71522271.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2020,population,S1 UN WPP2024,71641484.0,71641484.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2020,population,World Bank SP.POP.TOTL,71641484.0,71641484.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2021,population,S1 UN WPP2024,71727332.0,71727332.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2021,population,World Bank SP.POP.TOTL,71727332.0,71727332.0,0.0,0.0,EXACT,
FILE1,Thailand,THA,2022,population,S1 UN WPP2024,71735329.0,71735329.0,0.0,0.0,EXACT,
FILE2,Thailand,THA,2022,population,World Bank SP.POP.TOTL,71735329.0,71735329.0,0.0,0.0,EXACT,
