iso3,year,variable,value,source_name,source_url,notes,used_in_panel,live_source_check
TUR,2014,foreign_born,1459775,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/TUR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born population, OECD IMD series sourced from TurkStat. Unlike the foreign-national (B15) series, this INCLUDES Syrians under temporary protection, which explains the much larger level.",yes,EXACT
TUR,2015,foreign_born,1592437,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/TUR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born population, OECD IMD series sourced from TurkStat. Unlike the foreign-national (B15) series, this INCLUDES Syrians under temporary protection, which explains the much larger level.",yes,EXACT
TUR,2016,foreign_born,1777290,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/TUR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born population, OECD IMD series sourced from TurkStat. Unlike the foreign-national (B15) series, this INCLUDES Syrians under temporary protection, which explains the much larger level.",yes,EXACT
TUR,2017,foreign_born,1923894,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/TUR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born population, OECD IMD series sourced from TurkStat. Unlike the foreign-national (B15) series, this INCLUDES Syrians under temporary protection, which explains the much larger level.",yes,EXACT
TUR,2018,foreign_born,2278490,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/TUR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born population, OECD IMD series sourced from TurkStat. Unlike the foreign-national (B15) series, this INCLUDES Syrians under temporary protection, which explains the much larger level.",yes,EXACT
TUR,2019,foreign_born,2668594,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/TUR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born population, OECD IMD series sourced from TurkStat. Unlike the foreign-national (B15) series, this INCLUDES Syrians under temporary protection, which explains the much larger level.",yes,EXACT
TUR,2020,foreign_born,2609982,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/TUR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born population, OECD IMD series sourced from TurkStat. Unlike the foreign-national (B15) series, this INCLUDES Syrians under temporary protection, which explains the much larger level.",yes,EXACT
TUR,2021,foreign_born,3141351,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/TUR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born population, OECD IMD series sourced from TurkStat. Unlike the foreign-national (B15) series, this INCLUDES Syrians under temporary protection, which explains the much larger level.",yes,EXACT
TUR,2022,foreign_born,3242683,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/TUR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born population, OECD IMD series sourced from TurkStat. Unlike the foreign-national (B15) series, this INCLUDES Syrians under temporary protection, which explains the much larger level.",yes,EXACT
TUR,2010,foreign_nationals,167344,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/TUR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign nationals registered in the Address Based Population Registration System (ABPRS/ADNKS), TurkStat, as compiled by OECD IMD. Reference date 31 December. EXCLUDES Syrians under temporary protection, who are registered separately (approx. 3.6 million in 2021).",yes,EXACT
