iso3,variable,years,n_obs,workbook,source_name,source_url,retrieval_status,local_file,note
TWN,population,2010-2022,13,FILE1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
TWN,foreign_born,2010-2020,3,FILE1,"UN DESA Population Division, International Migrant Stock 2024: Total destination, Table 1",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2024_ims_stock_by_sex_and_destination.xlsx,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
TWN,irregular,2012-2018,7,FILE1,Taiwan Legislative Yuan report citing National Immigration Agency data (2019),https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=33342&pid=184411,DOWNLOADED,irregular__539a03cf36__www.ly.gov.tw.html,
TWN,irregular,2019-2021,3,FILE1,Taiwan Legislative Yuan report citing National Immigration Agency data (2021),https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=45128&pid=211927,DOWNLOADED,irregular__40806cb930__www.ly.gov.tw.html,
TWN,foreign_nationals,2012-2021,10,FILE2,"Taiwan Ministry of the Interior, Department of Statistics (內政統計通報), foreign residents 外僑居留人數",https://ws.moi.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNDAwL3JlbGZpbGUvMC8xNjA3NS8yZTk5ODk4OC05MTI4LTQ3Y2MtYTUwZi0yZjIwNzkzODk4ZDUucGRm&n=Mi7lpJbnsY3kurrlo6sucGRm&icon=.pdf,DOWNLOADED,foreign_nationals__5669f2f014__ws.moi.gov.tw.pdf,
TWN,foreign_nationals,2022-2022,1,FILE2,"Taiwan Ministry of the Interior, Department of Statistics (內政統計通報), foreign residents 外僑居留人數",https://ws.moi.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNDAwL3JlbGZpbGUvMC8yMTkxNi9jYmRkNDNlYy0wOGU0LTRjMzMtOTBjMy05MGYyOGEyZjE3NDIucGRm&n=MTE05bm056ysMTbpgLHlhafmlL%2FntbHoqIjpgJrloLFf5aSW5YOR566h55CGLnBkZg%3D%3D&icon=.pdf,DOWNLOADED,foreign_nationals__8280cc6d01__ws.moi.gov.tw.pdf,
TWN,foreign_workers,2011-2011,1,FILE2,"Ministry of Labor (勞動部) Labour Statistics Database, monthly statistics Table 12-2 ""Foreign Workers in Taiwan by Work Responsibilities""",https://statdb.mol.gov.tw/html/mon/c12020.pdf,DOWNLOADED,foreign_workers__d0a0269c40__statdb.mol.gov.tw.pdf,
TWN,irregular_proxy_overstayers,2011-2022,7,FILE2,"Ministry of Labor, Republic of China (Taiwan), Monthly Bulletin of Labour Statistics, Table 12-7 Status of the Missing Foreign Workers by Nationality (表 12-7 失聯移工概況—按國籍分)",https://statdb.mol.gov.tw/html/mon/212070.pdf,DOWNLOADED,irregular_proxy_overstayers__0756fa9f58__statdb.mol.gov.tw.pdf,
TWN,irregular_proxy_overstayers,2014-2018,5,FILE2,"National Immigration Agency (內政部移民署), reported by the Legislative Yuan Budget Center",https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=33580&pid=188916,DOWNLOADED,irregular_proxy_overstayers__5d0d32cf1c__www.ly.gov.tw.html,
TWN,irregular_proxy_overstayers,2019-2019,1,FILE2,"National Immigration Agency / Ministry of Labor (失聯移工), reported by the Legislative Yuan Budget Center",https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=33580&pid=188916,DOWNLOADED,irregular_proxy_overstayers__5d0d32cf1c__www.ly.gov.tw.html,
TWN,population,2010-2016,7,FILE2,"內政部統計處 內政統計年報 108年版 (MOI Dept. of Statistics, Statistical Yearbook of Interior, 2019 ed.)",https://ws.moi.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNDAwL3JlbGZpbGUvMC8xMzMzNy9jNDg1YjU2OC1lNWU2LTRkYTItYWIwZS1lMTJlNmVmZjBkZTIucGRm&n=MTA45bm05YWn5pS%2f57Wx6KiI5bm05aCx6Zu75a2Q5pu4LnBkZg%3d%3d&icon=.pdf,DOWNLOADED,population__19060caafa__ws.moi.gov.tw.pdf,
TWN,population,2017-2022,6,FILE2,"內政部統計處 內政統計月報 115年5月 (MOI Dept. of Statistics, Monthly Bulletin of Interior Statistics, May 2026)",https://ws.moi.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNDAwL3JlbGZpbGUvMC8yMzQ1NC85M2FlNzY2MC0xMDEwLTQxNGQtOGQ4NC00NjM3ZDE2ZjY4ZTcucGRm&n=MTE1MDUucGRm,DOWNLOADED,population__0c3445011b__ws.moi.gov.tw.pdf,
