workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Taiwan,TWN,2010,foreign_born,S2 UN DESA IMS2024,587646.0,587646.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2015,foreign_born,S2 UN DESA IMS2024,866324.0,866324.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2020,foreign_born,S2 UN DESA IMS2024,1055191.0,1055191.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2010,population,S1 UN WPP2024,23224049.0,23224049.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2011,population,S1 UN WPP2024,23273076.0,23273076.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2012,population,S1 UN WPP2024,23345961.0,23345961.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2013,population,S1 UN WPP2024,23416875.0,23416875.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2014,population,S1 UN WPP2024,23472816.0,23472816.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2015,population,S1 UN WPP2024,23529254.0,23529254.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2016,population,S1 UN WPP2024,23586143.0,23586143.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2017,population,S1 UN WPP2024,23632948.0,23632948.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2018,population,S1 UN WPP2024,23659305.0,23659305.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2019,population,S1 UN WPP2024,23674138.0,23674138.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2020,population,S1 UN WPP2024,23663459.0,23663459.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2021,population,S1 UN WPP2024,23558333.0,23558333.0,0.0,0.0,EXACT,
FILE1,Taiwan,TWN,2022,population,S1 UN WPP2024,23420111.0,23420111.0,0.0,0.0,EXACT,
