iso3,year,variable,value,source_name,source_url,notes,used_in_panel,live_source_check
USA,2010,foreign_born,39916875,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/USA.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born resident population, Census Bureau American Community Survey 1-year estimates, as compiled by OECD IMD. The 2020 value derives from the ACS 2020 experimental estimates because the standard 2020 1-year release was not published.",yes,EXACT
USA,2011,foreign_born,40381570,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/USA.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born resident population, Census Bureau American Community Survey 1-year estimates, as compiled by OECD IMD. The 2020 value derives from the ACS 2020 experimental estimates because the standard 2020 1-year release was not published.",yes,EXACT
USA,2012,foreign_born,40738224,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/USA.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born resident population, Census Bureau American Community Survey 1-year estimates, as compiled by OECD IMD. The 2020 value derives from the ACS 2020 experimental estimates because the standard 2020 1-year release was not published.",yes,EXACT
USA,2013,foreign_born,41344354,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/USA.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born resident population, Census Bureau American Community Survey 1-year estimates, as compiled by OECD IMD. The 2020 value derives from the ACS 2020 experimental estimates because the standard 2020 1-year release was not published.",yes,EXACT
USA,2014,foreign_born,42390705,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/USA.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born resident population, Census Bureau American Community Survey 1-year estimates, as compiled by OECD IMD. The 2020 value derives from the ACS 2020 experimental estimates because the standard 2020 1-year release was not published.",yes,EXACT
USA,2015,foreign_born,43289646,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/USA.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born resident population, Census Bureau American Community Survey 1-year estimates, as compiled by OECD IMD. The 2020 value derives from the ACS 2020 experimental estimates because the standard 2020 1-year release was not published.",yes,EXACT
USA,2016,foreign_born,43738901,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/USA.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born resident population, Census Bureau American Community Survey 1-year estimates, as compiled by OECD IMD. The 2020 value derives from the ACS 2020 experimental estimates because the standard 2020 1-year release was not published.",yes,EXACT
USA,2017,foreign_born,44525458,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/USA.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born resident population, Census Bureau American Community Survey 1-year estimates, as compiled by OECD IMD. The 2020 value derives from the ACS 2020 experimental estimates because the standard 2020 1-year release was not published.",yes,EXACT
USA,2018,foreign_born,44728502,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/USA.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born resident population, Census Bureau American Community Survey 1-year estimates, as compiled by OECD IMD. The 2020 value derives from the ACS 2020 experimental estimates because the standard 2020 1-year release was not published.",yes,EXACT
USA,2019,foreign_born,44932799,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/USA.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","Foreign-born resident population, Census Bureau American Community Survey 1-year estimates, as compiled by OECD IMD. The 2020 value derives from the ACS 2020 experimental estimates because the standard 2020 1-year release was not published.",yes,EXACT
