iso3,variable,years,n_obs,workbook,source_name,source_url,retrieval_status,local_file,note
USA,population,2010-2022,13,FILE1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
USA,foreign_born,2010-2020,3,FILE1,"UN DESA Population Division, International Migrant Stock 2024: Total destination, Table 1",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2024_ims_stock_by_sex_and_destination.xlsx,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
USA,irregular,2010-2017,8,FILE1,"Pew Research Center, Immigrants in America: Key Charts and Facts (2020)",https://www.pewresearch.org/hispanic/2020/08/20/facts-on-u-s-immigrants/,RECOVERED,irregular__PewResearch_2020_facts-on-us-immigrants.html,Retrieved with full browser headers.
USA,irregular,2021-2022,2,FILE1,"Pew Research Center, What we know about unauthorized immigrants living in the U.S. (2024)",https://www.pewresearch.org/short-reads/2024/07/22/what-we-know-about-unauthorized-immigrants-living-in-the-us/,DOWNLOADED,irregular_stock__4b5c514e18__www.pewresearch.org.html,
USA,foreign_born,2010-2022,13,FILE2,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/USA.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
USA,foreign_nationals,2010-2022,13,FILE2,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/USA.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
USA,irregular_stock,2019-2022,4,FILE2,"Center for Migration Studies of New York (Robert Warren), After a Decade of Decline, the US Undocumented Population Increased by 650,000 in 2022, Journal on Migration and Human Security",https://journals.sagepub.com/doi/10.1177/23315024241226624,DOWNLOADED,irregular_stock__acbbe0d526__journals.sagepub.com.html,
USA,irregular_stock,2020-2020,1,FILE2,"Center for Migration Studies of New York (Robert Warren), US Undocumented Population Increased to 11.7 Million in July 2023",https://cmsny.org/us-undocumented-population-increased-in-july-2023-warren-090624/,DOWNLOADED,irregular_stock__693e3d8133__cmsny.org.html,
USA,irregular_stock,2019-2022,3,FILE2,"DHS Office of Homeland Security Statistics (Baker & Warren 2024), Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2018-January 2022, as reproduced in Choices Magazine (AAEA)",https://www.choicesmagazine.org/UserFiles/file/cmsarticle_991.pdf,DOWNLOADED,irregular_stock__f07e822120__www.choicesmagazine.org.pdf,
USA,irregular_stock,2010-2018,9,FILE2,"DHS Office of Homeland Security Statistics, Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2015-January 2018, Table A2-1",https://ohss.dhs.gov/sites/default/files/2023-12/unauthorized_immigrant_population_estimates_2015_-_2018.pdf,DOWNLOADED,irregular_stock__61d67a1914__ohss.dhs.gov.pdf,
USA,irregular_stock,2010-2010,1,FILE2,"DHS Office of Homeland Security Statistics, Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2015-January 2018, Table A2-1 (pre-revision entry)",https://ohss.dhs.gov/sites/default/files/2023-12/unauthorized_immigrant_population_estimates_2015_-_2018.pdf,DOWNLOADED,irregular_stock__61d67a1914__ohss.dhs.gov.pdf,
USA,irregular_stock,2015-2015,1,FILE2,"DHS Office of Homeland Security Statistics, Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2015-January 2018, Table A2-1 (pre-update entry)",https://ohss.dhs.gov/sites/default/files/2023-12/unauthorized_immigrant_population_estimates_2015_-_2018.pdf,DOWNLOADED,irregular_stock__61d67a1914__ohss.dhs.gov.pdf,
USA,irregular_stock,2019-2022,3,FILE2,"Migration Policy Institute (with Jennifer Van Hook, Penn State), Diverse Flows Drive Increase in U.S. Unauthorized Immigrant Population (July 2024)",https://www.migrationpolicy.org/commentary/diverse-flows-drive-increase-us-unauthorized-immigrant-population,DOWNLOADED,irregular_stock__a21b7d97cf__www.migrationpolicy.org.html,
USA,irregular_stock,2011-2018,2,FILE2,"Migration Policy Institute, Unauthorized Immigrants in the United States: Stable Numbers, Changing Origins",https://www.migrationpolicy.org/sites/default/files/publications/mpi-unauthorized-immigrants-stablenumbers-changingorigins_final.pdf,DOWNLOADED,irregular_stock__66eb6dec29__www.migrationpolicy.org.pdf,
USA,irregular_stock,2010-2010,1,FILE2,"Pew Hispanic Center, Unauthorized Immigrant Population: National and State Trends, 2010",https://www.pewresearch.org/race-and-ethnicity/2011/02/01/unauthorized-immigrant-population-brnational-and-state-trends-2010/,DOWNLOADED,irregular_stock__1db68f77f4__www.pewresearch.org.html,
USA,irregular_stock,2021-2022,2,FILE2,"Pew Research Center, Q&A: How Pew Research Center estimates the number of unauthorized immigrants living in the U.S. (22 August 2025)",https://www.pewresearch.org/short-reads/2025/08/22/qa-how-pew-research-center-estimates-the-number-of-unauthorized-immigrants-living-in-the-us/,DOWNLOADED,irregular_stock__5f9277ca27__www.pewresearch.org.html,
USA,irregular_stock,2017-2017,1,FILE2,"Pew Research Center, Unauthorized immigrant population trends",https://www.pewresearch.org/race-and-ethnicity/feature/unauthorized-trends/,DOWNLOADED,irregular_stock__6832664b64__www.pewresearch.org.html,
USA,irregular_stock,2021-2022,2,FILE2,"Pew Research Center, What we know about unauthorized immigrants living in the U.S. (July 2024)",https://www.pewresearch.org/short-reads/2024/07/22/what-we-know-about-unauthorized-immigrants-living-in-the-us/,DOWNLOADED,irregular_stock__4b5c514e18__www.pewresearch.org.html,
USA,population,2010-2022,13,FILE2,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
