iso3,year,variable,value,source_name,source_url,notes,used_in_panel,live_source_check
ZAF,2010,foreign_born,2274466,UN DESA International Migrant Stock (World Bank indicator SM.POP.TOTL),https://api.worldbank.org/v2/country/CHN;IND;PHL;RUS;ZAF;SUR;THA/indicator/SM.POP.TOTL?format=json&date=2010:2022&per_page=200,"UN estimate (not annual); mid-year benchmark year only; retrieved from World Bank mirror of UN DESA International Migrant Stock, accessed 2026-08",yes,EXACT
ZAF,2011,foreign_born,2184408,Statistics South Africa - Census 2011 (as tabulated in the Census 2022 Statistical Release P0301.4),https://census.statssa.gov.za/assets/documents/2022/P03014_Census_2022_Statistical_Release.pdf,"Census count, reference date 9-31 Oct 2011; persons born outside South Africa; comparable series in the same table: Census 1996 = 835216, Census 2001 = 1025076",yes,not_machine_checkable
ZAF,2015,foreign_born,3162564,UN DESA International Migrant Stock (World Bank indicator SM.POP.TOTL),https://api.worldbank.org/v2/country/CHN;IND;PHL;RUS;ZAF;SUR;THA/indicator/SM.POP.TOTL?format=json&date=2010:2022&per_page=200,"UN estimate (not annual); mid-year benchmark year only; markedly higher than the Stats SA census counts for adjacent years; retrieved from World Bank mirror of UN DESA International Migrant Stock, accessed 2026-08",yes,EXACT
ZAF,2016,foreign_born,1578541,Statistics South Africa - Community Survey 2016 (presented to the UN Expert Forum on International Migration Statistics 2023),https://unstats.un.org/unsd/demographic-social/migrationstat-forum-2023/presentations/E.3/4.Itani-StatsSA.pdf,"Large-scale household survey (not a census); persons born outside South Africa; Stats SA itself flags the 2011-2016 decline as anomalous, so treat with caution",yes,not_machine_checkable
ZAF,2020,foreign_born,2639076,UN DESA International Migrant Stock (World Bank indicator SM.POP.TOTL),https://api.worldbank.org/v2/country/CHN;IND;PHL;RUS;ZAF;SUR;THA/indicator/SM.POP.TOTL?format=json&date=2010:2022&per_page=200,"UN estimate (not annual); mid-year benchmark year only; retrieved from World Bank mirror of UN DESA International Migrant Stock, accessed 2026-08",yes,EXACT
ZAF,2022,foreign_born,2418197,Statistics South Africa - Census 2022 Statistical Release P0301.4,https://census.statssa.gov.za/assets/documents/2022/P03014_Census_2022_Statistical_Release.pdf,"Census count, reference night 2-3 Feb 2022 (nearest census to 2021); persons born outside South Africa, just above 3 per cent of the total population; a separate Stats SA Income and Expenditure Survey 2022/23 put the foreign-born population higher at about 3.1 million",yes,not_machine_checkable
ZAF,2010,population,52344051,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ZAF,2011,population,52995205,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ZAF,2012,population,53782567,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
ZAF,2013,population,54678791,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,"Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026.",yes,EXACT
