workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,South Africa,ZAF,2010,foreign_born,S2 UN DESA IMS2024,2274466.0,2274466.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2010,foreign_born,World Bank SM.POP.TOTL,2274466.0,2274466.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2015,foreign_born,S2 UN DESA IMS2024,3162564.0,3162564.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2015,foreign_born,World Bank SM.POP.TOTL,3162564.0,3162564.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2020,foreign_born,S2 UN DESA IMS2024,2639076.0,2639076.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2020,foreign_born,World Bank SM.POP.TOTL,2639076.0,2639076.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2010,population,S1 UN WPP2024,52344051.0,52344051.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2010,population,World Bank SP.POP.TOTL,52344051.0,52344051.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2011,population,S1 UN WPP2024,52995205.0,52995205.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2011,population,World Bank SP.POP.TOTL,52995205.0,52995205.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2012,population,S1 UN WPP2024,53782567.0,53782567.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2012,population,World Bank SP.POP.TOTL,53782567.0,53782567.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2013,population,S1 UN WPP2024,54678791.0,54678791.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2013,population,World Bank SP.POP.TOTL,54678791.0,54678791.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2014,population,S1 UN WPP2024,55594838.0,55594838.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2014,population,World Bank SP.POP.TOTL,55594838.0,55594838.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2015,population,S1 UN WPP2024,56723537.0,56723537.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2015,population,World Bank SP.POP.TOTL,56723537.0,56723537.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2016,population,S1 UN WPP2024,57259551.0,57259551.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2016,population,World Bank SP.POP.TOTL,57259551.0,57259551.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2017,population,S1 UN WPP2024,57635162.0,57635162.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2017,population,World Bank SP.POP.TOTL,57635162.0,57635162.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2018,population,S1 UN WPP2024,58613001.0,58613001.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2018,population,World Bank SP.POP.TOTL,58613001.0,58613001.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2019,population,S1 UN WPP2024,59587885.0,59587885.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2019,population,World Bank SP.POP.TOTL,59587885.0,59587885.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2020,population,S1 UN WPP2024,60562381.0,60562381.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2020,population,World Bank SP.POP.TOTL,60562381.0,60562381.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2021,population,S1 UN WPP2024,61502603.0,61502603.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2021,population,World Bank SP.POP.TOTL,61502603.0,61502603.0,0.0,0.0,EXACT,
FILE1,South Africa,ZAF,2022,population,S1 UN WPP2024,62378410.0,62378410.0,0.0,0.0,EXACT,
FILE2,South Africa,ZAF,2022,population,World Bank SP.POP.TOTL,62378410.0,62378410.0,0.0,0.0,EXACT,
