iso3,folder,values_checked,exact,discrepancies,doc_sources,doc_retrieved,files_in_sources
AUS,AUS_Australia,42,42,0,4,4,4
AUT,AUT_Austria,81,81,0,1,1,1
BEL,BEL_Belgium,81,81,0,0,0,0
BGR,BGR_Bulgaria,80,80,0,0,0,0
CHE,CHE_Switzerland,80,67,13,2,2,2
CHL,CHL_Chile,46,46,0,3,3,2
CHN,CHN_China,32,32,0,2,2,2
CZE,CZE_Czech_Republic,81,81,0,1,1,1
DEU,DEU_Germany,81,81,0,2,2,2
DNK,DNK_Denmark,81,81,0,0,0,0
ESP,ESP_Spain,81,81,0,4,4,3
FIN,FIN_Finland,81,81,0,0,0,0
FRA,FRA_France,81,81,0,1,1,1
GBR,GBR_United_Kingdom,59,59,0,5,5,5
HRV,HRV_Croatia,69,69,0,2,2,2
HUN,HUN_Hungary,81,81,0,0,0,0
IND,IND_India,32,32,0,1,1,1
ISL,ISL_Iceland,62,62,0,0,0,0
ISR,ISR_Israel,42,42,0,1,1,1
ITA,ITA_Italy,81,81,0,7,7,7
JPN,JPN_Japan,42,42,0,10,9,8
KOR,KOR_Korea_South,45,45,0,3,2,4
LTU,LTU_Lithuania,81,81,0,0,0,0
MEX,MEX_Mexico,49,49,0,1,1,1
NLD,NLD_Netherlands,81,81,0,2,2,2
NOR,NOR_Norway,81,81,0,0,0,0
NZL,NZL_New_Zealand,34,34,0,2,2,2
PHL,PHL_Philippines,32,32,0,2,2,2
POL,POL_Poland,81,81,0,0,0,0
PRT,PRT_Portugal,81,68,13,0,0,0
RUS,RUS_Russia,32,32,0,1,1,1
SUR,SUR_Suriname,32,32,0,2,2,2
SVK,SVK_Slovak_Republic,81,81,0,0,0,0
SVN,SVN_Slovenia,81,81,0,0,0,0
SWE,SWE_Sweden,81,68,13,0,0,0
THA,THA_Thailand,32,32,0,1,1,1
TUR,TUR_Turkey,51,51,0,2,2,2
TWN,TWN_Taiwan,16,16,0,10,10,9
USA,USA_United_States,55,55,0,14,14,12
ZAF,ZAF_South_Africa,32,32,0,3,3,2
