iso3,workbook,variable,source_id,source_name,source_url,landing_url,years,n_obs,kind,url_id,folder
AUS,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\AUS_Australia
AUT,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\AUT_Austria
BEL,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\BEL_Belgium
BGR,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\BGR_Bulgaria
CHE,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\CHE_Switzerland
CHL,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\CHL_Chile
CHN,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\CHN_China
CZE,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\CZE_Czech_Republic
DEU,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\DEU_Germany
DNK,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\DNK_Denmark
ESP,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\ESP_Spain
FIN,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\FIN_Finland
FRA,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\FRA_France
GBR,FILE1,population,S1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,2010-2022,13,bulk_api,5112b2466d,D:\研究計畫\其他投稿\2026_移民對非本國籍使用公共醫療態度（葉明叡）\claude-work\countries\GBR_United_Kingdom
