iso3,variable,source_url,http_status,content_type,bytes,local_file,source_name,error
AUS,irregular,https://www.homeaffairs.gov.au/research-and-stats/files/trends-in-migration-2010-11.pdf,200,application/pdf,1963756,irregular__4ff1da10a5__www.homeaffairs.gov.au.pdf,"Australian Department of Immigration and Citizenship, Trends in Migration: Australia 2010–11, Table 11",
AUS,irregular,https://www.homeaffairs.gov.au/reports-and-pubs/Annualreports/dibp-annual-report-2015-16.pdf,200,application/pdf,3147781,irregular__9fcb57f01c__www.homeaffairs.gov.au.pdf,"Australian Department of Immigration and Border Protection, Annual Report 2015–16",
JPN,irregular,https://www.moj.go.jp/isa/content/930003133.pdf,200,application/pdf,7589110,irregular__ccfa80d7df__www.moj.go.jp.pdf,"Japan Immigration Services Agency, Immigration Control in Recent Years (historical report)",
JPN,irregular,https://www.moj.go.jp/isa/content/001385114.pdf,200,application/pdf,14787767,irregular__cccd1ea084__www.moj.go.jp.pdf,"Japan Immigration Services Agency, Immigration Control and Residency Management 2022",
KOR,irregular,https://www.moj.go.kr/moj/2415/subview.do,200,text/html,264197,irregular__be27eb2dc4__www.moj.go.kr.html,"Korea Ministry of Justice, annual illegal-stay foreigner statistics",
TWN,irregular,https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=33342&pid=184411,200,text/html,132028,irregular__539a03cf36__www.ly.gov.tw.html,Taiwan Legislative Yuan report citing National Immigration Agency data (2019),
TWN,irregular,https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=45128&pid=211927,200,text/html,109402,irregular__40806cb930__www.ly.gov.tw.html,Taiwan Legislative Yuan report citing National Immigration Agency data (2021),
USA,irregular,https://www.pewresearch.org/hispanic/2020/08/20/facts-on-u-s-immigrants/,403,text/html,4215,,"Pew Research Center, Immigrants in America: Key Charts and Facts (2020)",HTTP 403
USA,irregular,https://www.pewresearch.org/short-reads/2024/07/22/what-we-know-about-unauthorized-immigrants-living-in-the-us/,200,text/html,444847,irregular__4b5c514e18__www.pewresearch.org.html,"Pew Research Center, What we know about unauthorized immigrants living in the U.S. (2024)",
AUS,irregular_proxy_overstayers,https://press-files.anu.edu.au/downloads/press/n4016/html/ch02.xhtml,200,text/html,123993,irregular_proxy_overstayers__6b569b4ed3__press-files.anu.edu.au.html,"ANU Press, A Long Way to Go, Chapter 2, Table 2.3 Estimated size of irregular migrant populations by region/country",
AUS,irregular_proxy_overstayers,https://www.aph.gov.au/~/media/Committees/legcon_ctte/estimates/bud_1718/DIBP/QoNs/BE17171.pdf,200,application/pdf,358411,irregular_proxy_overstayers__f49a534fbe__www.aph.gov.au.pdf,"Australian Department of Immigration and Border Protection, Senate Legal and Constitutional Affairs Committee, Budget Estimates Question on Notice BE17171",
AUT,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,200,text/html,504541,irregular_stock__dccd321871__www.pewresearch.org.html,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off",
CHE,irregular_stock,https://www.sem.admin.ch/dam/sem/de/data/internationales/illegale-migration/sans_papiers/ber-sanspapiers-2015-d.pdf,404,text/html,4353,,"Morlok, Oswald, Meier, Efionayi-Mader, Ruedin, Bader, Wanner (2015), Sans-Papiers in der Schweiz 2015, State Secretariat for Migration (SEM)",HTTP 404
CHE,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,200,text/html,504541,irregular_stock__dccd321871__www.pewresearch.org.html,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off",
CHL,irregular_stock,https://www.ine.gob.cl/docs/default-source/demografia-y-migracion/publicaciones-y-anuarios/migraci%C3%B3n-internacional/estimaci%C3%B3n-poblaci%C3%B3n-extranjera-en-chile-2018/sintesis-epe2023.pdf?sfvrsn=cc51129c_10,200,application/pdf,1110426,irregular_stock__f8f04e39ba__www.ine.gob.cl.pdf,"Instituto Nacional de Estadisticas (INE) and Servicio Nacional de Migraciones (SERMIG), Estimacion de Personas Extranjeras Residentes Habituales en Chile 2023 - Sintesis (2022 methodology series)",
