workbook,source_key,variable,source_name,source_url,landing_url,citation,n_obs,n_countries,iso3_list,year_min,year_max,url_id,host
FILE1,S2,foreign_born,"UN DESA Population Division, International Migrant Stock 2024: Total destination, Table 1",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2024_ims_stock_by_sex_and_destination.xlsx,https://www.un.org/development/desa/pd/content/international-migrant-stock,"United Nations, Department of Economic and Social Affairs, Population Division (2024). International Migrant Stock 2024: Total destination, Table 1 (international migrant stock at mid-year, both sexes combined).",120,40,AUS;AUT;BEL;BGR;CHE;CHL;CHN;CZE;DEU;DNK;ESP;FIN;FRA;GBR;HRV;HUN;IND;ISL;ISR;ITA;JPN;KOR;LTU;MEX;NLD;NOR;NZL;PHL;POL;PRT;RUS;SUR;SVK;SVN;SWE;THA;TUR;TWN;USA;ZAF,2010,2020,fcd1d03d,www.un.org
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=AT&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,AUT,2010,2022,4d2bbc20,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=BE&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,BEL,2010,2022,96864f16,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=BG&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,BGR,2010,2022,3e16572d,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=CH&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,CHE,2010,2022,51fcab4e,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=CZ&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,CZE,2010,2022,6a9c4385,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=DE&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,DEU,2010,2022,849231b5,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=DK&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,DNK,2010,2022,56dfd883,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=ES&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,ESP,2010,2022,bb5b8299,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=FI&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,FIN,2010,2022,3f0a95f3,ec.europa.eu
